profession,profile_image,birth_date,cycle_base_cyclist_id,cycling_discipline,cq_ranking_male_cyclist_id,first_name,first_cycling_rider_id,events_participated,commons_category,pro_cycling_stats_cyclist_id,current_team,cyclist_name,birth_place,uci_rider_id,languages,cycling_archives_cyclist_id
0,2,13,56070.0,3,20777.0,8,18575.0,3,8,179769,14,8,9,86568,6,79781
0,6,19,70678.0,2,27025.0,6,45349.0,7,6,194068,8,6,11,101820,1,120394
0,9,9,50824.0,1,18498.0,3,16154.0,5,3,138830,9,3,20,63841,1,58906
0,15,8,,0,16957.0,13,6097.0,12,20,139873,15,20,10,64668,5,38447
0,10,12,56436.0,2,20917.0,16,9746.0,10,15,156570,12,16,8,77380,3,71706
1,14,0,2747.0,3,3448.0,12,14.0,12,12,140768,11,13,5,32923,1,16824
0,8,7,43344.0,0,16653.0,1,2337.0,0,1,140818,3,1,3,64670,2,52068
0,20,3,46998.0,2,16666.0,19,2338.0,1,19,140492,19,19,4,64680,4,48356
0,7,1,8760.0,2,4179.0,0,406.0,2,0,140749,4,0,17,32691,5,19407
0,12,6,46847.0,3,16697.0,5,10382.0,8,5,138471,20,5,6,70799,0,65315
0,11,17,65955.0,2,26396.0,20,41293.0,6,21,189441,7,21,2,92304,6,110201
0,16,2,8424.0,0,6784.0,11,1007.0,12,11,140342,14,12,1,45024,3,18093
0,3,20,,2,30595.0,14,67846.0,10,13,222307,5,14,19,159068,6,152981
0,13,18,,2,26392.0,9,45363.0,9,9,193131,1,9,12,148275,5,89152
0,0,14,57256.0,3,23463.0,10,34624.0,4,18,189196,6,11,15,89712,6,72654
0,5,21,82827.0,2,30643.0,15,97547.0,10,14,217465,16,15,14,227110,5,151350
0,19,15,59207.0,3,,18,,13,17,192552,0,18,18,91180,5,74088
0,1,10,47767.0,3,18714.0,2,16752.0,11,2,137724,18,2,16,68950,2,38737
0,17,5,41076.0,3,13362.0,18,3277.0,11,16,139405,2,17,21,65995,5,51551
0,18,11,51744.0,0,19238.0,4,7720.0,5,4,138396,17,4,0,72932,5,66031
0,21,16,49495.0,2,23426.0,7,37748.0,10,7,177246,13,7,7,87061,5,88470
0,4,4,47686.0,0,17534.0,17,2325.0,11,10,140333,10,10,13,59773,6,37589
