Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
0,12,3083,3366.0,0,10,24074.0,140270,10,9,7,30329,2,63.0,1,2,132502.0,2,10,15181,568,1,175,2
1,0,28095,12823.0,9,9,,137337,9,8,0,58891,2,71.0,8,1,123794.0,5,9,34412,2322,7,182,2
1,8,39287,13240.0,6,4,66281.0,140835,4,13,5,55029,4,67.0,5,5,122451.0,13,4,21075,1310,7,178,2
0,14,41885,13080.0,10,11,142323.0,140628,11,10,6,64737,3,65.0,9,4,,11,11,58535,860,5,180,1
0,10,60759,22794.0,7,5,37069.0,168760,5,6,1,86857,0,61.0,14,6,,9,5,81087,1527,4,177,1
0,15,54395,20730.0,11,14,252749.0,168961,14,11,4,75859,1,70.0,13,0,141009.0,14,14,74709,18258,4,187,0
0,4,53630,19651.0,4,3,40766.0,168753,3,4,14,78094,2,61.0,12,10,,6,3,71432,16573,2,165,2
0,7,41095,10467.0,0,6,8374.0,140713,6,14,10,58657,1,77.0,7,9,,10,6,36298,1276,7,185,1
0,1,30118,9773.0,0,2,36240.0,140157,2,2,8,54875,5,68.0,6,2,,8,2,43137,2336,6,182,1
0,13,69327,,8,15,,205901,15,7,2,112276,6,,15,3,,12,15,96911,46625,7,179,1
0,9,3827,4557.0,5,12,120363.0,140194,12,5,13,48167,5,69.0,2,7,,3,12,25237,1783,7,179,1
0,3,41075,10536.0,3,1,8232.0,140489,1,1,9,60455,3,68.0,3,4,,10,1,46549,948,6,183,1
0,11,19478,7838.0,0,13,63706.0,140805,13,15,3,44337,3,69.0,4,7,125021.0,7,13,19062,918,0,180,1
0,5,47066,16881.0,0,8,41605.0,140633,8,3,15,59614,3,,10,4,,1,8,32178,2530,7,175,1
0,2,46381,18610.0,1,7,77168.0,137427,7,12,11,71557,3,62.0,11,8,133837.0,0,7,63999,12474,3,173,0
1,6,28995,7268.0,2,0,14079.0,140230,0,0,12,30942,4,67.0,0,1,134605.0,4,0,36522,3103,6,181,2
