Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,50,49,10,1,9,24,0
1,34744,158,157,10,1,41,33178,0
0,4776857,72,71,9,0,56,4776225,1
0,682801,117,116,9,0,4,681272,1
1,192280,162,161,10,1,13,190928,0
1,2991723,154,153,10,1,41,2990299,1
0,126298,63,62,12,0,56,124904,1
0,237565,106,105,7,0,12,236150,1
0,28198,37,36,7,0,36,26588,0
1,117932,4,4,10,1,48,116413,1
1,194108,16,16,10,1,50,192547,1
1,45373,137,136,10,1,57,43850,0
0,1783574,128,127,0,0,3,1782018,0
1,56811,2,2,10,1,57,55260,1
1,34085,99,98,12,1,23,32568,0
1,13747,44,43,11,1,1,12274,0
1,4722977,91,90,10,1,44,4721453,1
1,55488,41,40,10,1,0,53963,1
1,6514,23,23,10,1,18,4976,1
1,1182456,119,118,10,1,22,1180816,1
1,397,21,21,10,1,8,120,0
1,268059,140,139,10,1,41,266604,0
0,1799779,65,64,0,0,56,1798304,1
0,2586486,142,141,9,0,29,2584942,0
0,4109268,69,68,7,0,25,4108888,0
1,147206,102,101,10,1,1,145692,1
0,4874210,76,75,7,0,25,4872705,1
1,54617,121,120,10,1,11,53031,0
1,1134,48,47,10,1,55,394,1
1,5469370,56,55,10,1,16,5468462,0
0,4658068,88,87,7,0,51,4656557,0
1,189308,104,103,10,1,23,187760,0
1,147872,14,14,10,1,50,146312,1
0,4811681,75,74,7,0,25,4810350,1
1,43444,100,99,13,1,23,41978,0
1,4055896,84,83,10,1,10,4054376,0
0,47692,59,58,12,0,38,46340,1
1,87159,61,60,12,1,16,85747,1
1,2653794,143,142,10,1,13,2652725,1
1,3085393,156,155,10,1,41,3083824,1
0,1579460,124,123,9,0,43,1577859,1
1,1587516,122,121,10,1,33,1585925,1
0,4967327,79,78,7,0,25,4966602,1
1,4097911,86,85,10,1,21,4096637,0
1,4785610,92,91,6,1,37,4785032,1
1,1565211,132,131,10,1,6,1563723,1
1,926246,64,63,14,1,16,924816,1
0,4542881,70,69,7,0,25,4541535,0
1,2900714,151,150,10,1,41,2899262,1
0,31216,38,37,9,0,52,29741,1
0,616961,114,113,7,0,12,615417,1
1,135030,13,13,10,1,50,133507,0
1,13271,46,45,10,1,19,11830,0
0,2882434,67,66,9,0,25,2880989,0
0,140801,161,160,7,0,36,139203,0
1,32771,49,48,10,1,55,31464,0
1,120397,12,12,10,1,50,118489,0
0,1789201,129,128,0,0,3,1788008,0
0,76678,60,59,12,0,25,74915,1
1,12451,45,44,10,1,20,11360,1
0,1673892,127,126,0,0,43,1672390,1
0,2161844,66,65,7,0,25,2161053,0
1,2790703,146,145,10,1,13,2789186,1
1,4871690,95,94,1,1,37,4870365,1
1,167770,15,15,10,1,50,166233,1
1,4866989,94,93,1,1,37,4866255,1
0,138222,160,159,9,0,36,136702,0
0,47277,42,41,9,0,44,45691,0
1,3088628,157,156,10,1,13,3087307,1
1,18623,35,162,10,1,47,18300,1
1,10546,20,20,10,1,20,9201,1
0,40024,7,7,7,0,34,38597,1
1,5571,32,32,10,1,47,4160,1
1,121323,5,5,10,1,48,119770,1
1,10341,8,8,10,1,59,9201,0
1,364495,109,108,10,1,23,363050,1
0,5667,52,51,7,0,51,4153,0
0,4883498,78,77,9,0,25,4881942,1
1,4696555,90,89,4,1,37,4695357,0
0,98113,62,61,12,0,25,96665,1
0,4790735,74,73,9,0,56,4789134,1
1,2842847,150,149,10,1,13,2842087,1
1,335414,108,107,10,1,23,333937,1
1,11536,9,9,10,1,40,10562,0
1,208752,105,104,10,1,1,207286,1
1,56392,10,10,10,1,40,54844,0
0,26455,58,57,12,0,56,24893,1
0,673514,116,115,7,0,12,671973,1
1,106612,3,3,10,1,48,106202,1
1,4907622,97,96,3,1,44,4906250,1
1,1633265,126,125,10,1,7,1631685,1
0,4782124,73,72,9,0,56,4781585,1
1,4912,19,19,10,1,20,4080,1
0,4971029,80,79,7,0,25,4969470,1
1,93783,159,158,10,1,41,92470,0
1,21634,29,29,11,1,25,20639,0
