ViafId,LocatorMapImage,MusicBrainzAreaId,AssociatedPeopleCategory,CapitalCity,OpenStreetMapRelationId,CommonsCategory,GeoNamesId,HeadOfGovernmentOffice,IsniIdentifier,MainCategory,CoatOfArmsImage,PopulationCount,FreebaseId,FandomArticleId,CountryName,StoreNorskeLeksikonId,INaturalistPlaceId
141901355.0,9,11,10,5,,6,2706767.0,0,8,6,8,113828.0,5,8,6,6,
135958350.0,1,3,3,1,50046.0,1,2623032.0,3,8,1,6,5827463.0,11,1,1,1,8051.0
127756949.0,6,8,2,4,62149.0,10,2635167.0,9,2,10,9,67326569.0,8,10,10,9,6857.0
130168302.0,10,4,0,9,148838.0,11,6252001.0,1,5,11,4,331449281.0,9,3,11,11,1.0
155855229.0,5,5,7,6,1059668.0,8,3144096.0,7,3,8,2,5550203.0,7,4,8,8,7016.0
152454340.0,9,2,8,5,,2,2715953.0,0,8,2,8,69948.0,6,6,2,2,
159364209.0,4,1,11,8,52822.0,9,2661886.0,8,4,9,10,10551707.0,10,9,9,10,7599.0
131265011.0,3,7,5,0,192307.0,4,390903.0,5,7,5,1,10482487.0,3,0,5,5,7094.0
153614928.0,0,0,1,2,184640.0,0,1210997.0,2,1,0,7,169356251.0,0,0,0,0,7154.0
146717301.0,7,9,9,5,,5,2711537.0,0,8,4,5,607882.0,2,7,4,4,
132440532.0,2,6,4,3,54224.0,3,660013.0,4,6,3,0,5608218.0,1,5,3,3,7020.0
152361066.0,8,10,6,7,365331.0,7,3175395.0,6,0,7,3,58850717.0,4,2,7,7,6973.0
