Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Birth_Place,Uci_Rider_Id,Native_Name,Weight_Kg,Birth_Date,Last_Name,First_Name,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Cycling_Discipline
1,5,65688.0,24926.0,2,198937,2,14,95844,1,60.0,8,0,2,2,100412,58275,0,175.0,0
1,14,,27977.0,14,198635,14,4,152373,6,,10,13,14,9,116701,56038,3,,0
1,6,54277.0,19548.0,3,141131,3,13,110814,6,64.0,2,3,3,12,72903,9302,2,184.0,1
1,9,65227.0,26509.0,6,194909,6,2,111440,3,57.0,11,4,6,5,99609,46163,2,173.0,1
1,2,69978.0,26420.0,0,198040,0,0,500320,0,,9,6,0,8,70760,53723,3,177.0,0
1,1,,30595.0,11,222307,10,12,159068,6,,14,7,10,10,152981,67846,3,189.0,0
1,12,49272.0,17881.0,12,140294,11,5,76092,7,56.0,0,1,11,13,38092,4863,4,169.0,1
1,13,,22744.0,9,132419,9,3,747569,5,68.0,4,11,9,3,70980,16576,4,180.0,0
1,11,84444.0,,10,209865,12,6,266691,6,,12,2,12,11,140707,51252,3,182.0,0
0,10,48143.0,21971.0,7,168754,7,8,79462,4,,5,14,7,13,64280,16672,3,184.0,1
1,7,69190.0,25740.0,5,196424,5,7,112082,6,,7,12,5,4,115868,38195,3,175.0,1
1,8,,21163.0,8,174487,8,11,87485,6,,1,5,8,1,84304,18241,4,185.0,1
1,3,62259.0,24110.0,1,181212,1,1,250807,6,,6,9,1,7,94988,27301,3,184.0,1
1,0,69634.0,26526.0,13,194619,13,9,149727,8,66.0,13,10,13,6,115790,45992,2,176.0,0
1,4,59981.0,22676.0,4,170164,4,10,95753,2,69.0,3,8,4,0,81741,28781,1,182.0,1
