Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Birth_Place,Uci_Rider_Id,Native_Name,Weight_Kg,Birth_Date,Last_Name,First_Name,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Cycling_Discipline
0,14,,18633.0,12,133660,12,9,66758.0,5,,6,7,11,9,62182,9347,7,,1
0,8,57074.0,21113.0,8,162756,8,18,79350.0,4,69.0,11,10,7,0,71921,16660,6,189.0,1
1,5,46326.0,13153.0,0,137531,0,0,44055.0,0,71.0,5,5,0,10,25006,17940,0,181.0,3
0,2,80654.0,,1,202483,1,13,157221.0,1,60.0,16,0,1,6,121401,65240,7,176.0,1
0,11,38259.0,13066.0,10,140384,10,2,62919.0,5,72.0,4,9,9,10,39964,2211,10,178.0,1
0,18,41885.0,13080.0,17,140628,17,7,64737.0,9,65.0,3,13,16,10,58535,860,8,180.0,1
0,9,61866.0,23334.0,11,185156,11,10,97634.0,5,65.0,10,8,10,10,100717,35077,2,170.0,1
0,13,,21974.0,15,162704,15,1,86919.0,5,,9,11,14,2,71627,16680,7,,1
0,15,3827.0,4557.0,18,140194,18,12,48167.0,10,69.0,0,3,17,10,25237,1783,11,179.0,1
0,6,47953.0,17665.0,5,140161,5,8,74917.0,5,68.0,7,4,5,10,67625,3356,1,185.0,0
0,0,,30630.0,4,216126,4,11,238270.0,5,,18,15,3,7,130903,94645,7,169.0,0
0,10,63024.0,23763.0,3,193292,3,14,97805.0,5,66.0,13,12,3,3,108136,42186,3,188.0,1
0,3,73687.0,27198.0,2,205784,2,3,98207.0,2,65.0,15,16,2,5,120019,69890,5,186.0,1
0,1,,32225.0,9,216940,9,15,,5,,17,17,8,8,158475,94804,9,,1
0,12,56041.0,20719.0,14,174582,14,16,88889.0,7,65.0,1,14,13,10,72449,18655,4,177.0,2
0,17,56672.0,22018.0,16,168758,16,6,86735.0,8,,12,6,15,10,74063,16639,11,183.0,3
0,4,51602.0,20770.0,7,138672,7,17,86539.0,3,60.0,8,2,6,1,81864,18564,11,178.0,1
0,7,69190.0,25740.0,6,196424,6,5,112082.0,5,,14,18,4,4,115868,38195,7,175.0,1
0,16,49272.0,17881.0,13,140294,13,4,76092.0,6,56.0,2,1,12,10,38092,4863,11,169.0,1
