SportType,StageLabel,HostCountry,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,10,4,,,12,9,6,8,10,16,9,4,5,6
1,22,2,173.0,219660.0,21,3,9,18,18,14,23,4,8,6
1,26,4,36.8,,22,4,11,21,23,2,24,4,11,4
1,5,0,803.0,111844.0,10,6,18,4,5,16,6,4,16,6
0,3,4,179.3,,4,1,16,2,3,3,4,4,14,6
1,13,4,676.8,172498.0,14,10,2,10,15,7,14,4,1,6
1,16,2,450.7,181227.0,16,7,3,15,16,16,15,4,2,0
1,2,4,171.6,,0,2,16,1,2,1,3,4,14,4
1,11,4,534.6,150211.0,23,12,12,8,11,16,11,4,12,6
1,9,4,12.6,,6,16,0,7,8,5,23,0,9,4
1,1,4,3169.0,,5,13,1,20,1,16,2,4,0,6
1,7,0,758.5,114197.0,10,6,21,5,7,16,8,4,19,7
1,23,2,405.4,219513.0,1,7,20,18,19,16,17,4,18,3
1,6,4,491.4,,17,12,8,3,6,16,7,4,7,6
1,19,1,92.9,187742.0,9,15,13,13,22,12,20,3,3,8
1,20,4,500.6,181179.0,20,11,8,15,17,16,0,4,7,2
1,25,2,118.9,219512.0,13,14,20,17,22,13,23,1,18,4
1,17,2,133.3,181226.0,8,14,3,12,22,10,18,1,2,4
1,14,5,377.56,180514.0,19,8,8,14,21,16,13,4,7,1
1,21,4,126.6,,15,15,7,16,22,9,21,1,6,9
1,4,4,171.6,,0,2,10,2,4,4,5,4,10,4
1,15,5,116.7,180512.0,3,15,15,11,13,8,16,1,7,5
1,24,3,181.2,255522.0,18,0,17,19,20,15,22,4,15,4
1,0,4,198.6,,10,1,14,0,0,0,1,4,13,4
0,8,4,523.2,,2,12,4,6,9,16,10,4,4,6
1,12,4,165.7,,11,5,19,9,12,6,12,4,17,6
1,18,1,143.0,187741.0,7,14,5,13,14,11,19,2,3,8
