Strand_Orientation,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Entity_Type,Genomic_End_Position
0,1168695,188,2,188,101,0,1174010
0,127,1,2,0,103,0,7476
1,605538,155,1,155,123,0,609988
1,1158055,160,3,160,37,1,1168419
0,1158920,40,1,40,28,0,1169344
1,8548,149,3,149,75,1,18759
1,41772,58,1,58,60,0,52109
1,13358,37,1,37,11,0,18044
0,413739,138,1,138,64,0,424181
0,215040,222,1,222,116,0,225503
1,930293,88,1,88,36,0,940675
0,322282,107,1,107,72,0,330111
1,447770,52,1,52,110,0,458221
0,318764,65,1,65,67,0,328819
0,7588,173,1,173,65,0,18045
1,73238,100,1,100,90,0,83617
0,733188,12,3,12,93,1,743366
0,714922,129,3,129,8,1,723117
0,786038,42,3,42,134,1,796435
0,288610,108,3,108,74,1,296067
1,1,7,2,7,136,0,5595
0,810066,118,1,118,121,0,818767
0,563530,156,1,156,123,0,573981
1,380639,218,1,218,72,0,390898
1,2,26,3,26,29,1,5380
1,35644,190,1,190,71,0,46065
0,832124,211,1,211,7,0,842551
1,52823,174,1,174,77,0,63253
1,72588,196,1,196,139,0,78813
0,143326,113,2,113,28,0,149649
0,805796,67,1,67,92,0,816094
1,5925,32,1,32,57,0,11492
1,16478,62,1,62,53,0,26884
1,17262,2,2,1,23,0,22907
0,2987,158,1,158,124,0,13390
0,183374,183,2,183,97,0,193120
0,1,191,1,191,20,0,9732
1,959784,184,1,184,84,0,970184
0,203258,99,1,99,128,0,213628
0,636820,114,3,114,135,1,647211
1,127910,215,1,215,51,0,138304
1,3220,150,1,150,80,0,13701
0,318795,47,1,47,16,0,328850
0,3,4,2,4,66,0,6482
0,2334792,165,1,165,139,0,2345195
0,13795,110,3,110,25,1,24168
1,449073,63,1,63,138,0,459416
0,2,90,2,90,87,0,3034
1,245186,111,1,111,138,0,252973
1,52593,93,1,93,86,0,62951
1,339083,219,2,219,138,0,347060
1,38978,205,2,205,18,0,45907
1,130814,130,1,130,41,0,141214
0,779023,212,3,212,113,1,789447
0,470489,77,2,77,83,0,475972
1,399029,179,1,179,26,0,409474
1,39092,123,1,123,16,0,47512
1,791817,13,1,13,115,0,802151
0,23431,199,1,199,68,0,33876
1,1709332,170,2,170,82,0,1717944
0,734937,39,1,39,133,0,745319
0,881293,19,1,19,24,0,891588
1,926063,201,3,201,30,1,934030
1,117093,171,1,171,89,0,127475
0,2601,66,1,66,50,0,13163
1,20812,119,1,119,55,0,31191
0,2,192,2,192,66,0,7954
1,219184,213,1,213,94,0,229560
0,563645,14,1,14,105,0,571102
1,59128,217,1,217,51,0,69531
0,2,69,1,69,47,0,5243
0,2831,23,2,23,114,0,9826
1,1858,133,3,133,4,1,12411
1,1030,0,0,2,3,0,7614
1,44338,125,1,125,98,0,54831
0,2360422,163,1,163,95,0,2370774
1,30197,197,1,197,124,0,40663
1,14646,101,1,101,41,0,24830
1,69342,207,3,207,5,1,79790
1,55971,127,2,127,98,0,64484
1,117557,147,3,147,122,1,127990
1,28143,186,1,186,101,0,32850
0,204667,54,1,54,111,0,207695
1,25871,216,1,216,52,0,36235
0,4143,33,2,33,117,0,11147
1,1224493,177,3,177,135,1,1233807
0,20468,74,1,74,123,0,30892
1,50482,6,1,6,106,0,54812
0,306168,49,1,49,69,0,311779
1,43286,203,1,203,139,0,53674
1,14486,76,1,76,62,0,21015
0,1,153,2,153,39,0,5481
1,3028,24,3,24,12,1,9243
1,78604,116,1,116,15,0,89016
0,565420,141,3,141,99,1,574518
1,16665,193,3,193,137,1,27113
1,60752,81,1,81,19,0,71128
