TransportNetworkType,TrafficSignImage,CommonsCategory,FreebaseId,AdministrativeEntity,TerminusLocation
0,43,36,41,23,27
0,18,9,29,16,28
1,5,59,7,32,30
0,8,28,17,16,28
1,1,60,56,33,0
0,54,47,4,21,42
4,69,76,28,31,30
0,33,25,52,15,28
0,9,0,21,7,5
0,25,16,56,29,20
0,28,19,22,34,15
4,60,74,56,35,9
0,45,38,11,0,18
0,23,14,48,22,28
4,62,66,24,5,42
4,67,72,6,36,2
0,11,2,56,24,42
0,59,52,43,21,17
0,29,20,34,2,8
0,57,50,26,21,7
1,4,54,56,30,34
0,27,18,33,33,0
4,61,64,12,16,19
0,35,27,5,31,32
4,68,75,31,35,25
0,22,13,13,18,36
0,12,3,32,17,13
0,14,5,56,23,27
0,21,12,30,16,28
5,67,73,56,13,40
0,38,31,39,20,42
0,39,32,25,21,42
0,20,11,14,16,28
4,65,71,1,30,1
0,10,1,27,23,12
0,32,24,49,31,28
4,66,63,18,28,28
0,15,6,56,31,11
0,7,21,16,16,28
0,17,8,15,5,33
0,30,22,35,6,28
2,60,77,56,0,23
0,47,40,42,1,30
1,0,57,56,9,4
0,44,37,40,21,42
0,40,33,44,4,42
1,2,63,56,28,28
0,36,29,45,20,38
1,2,63,56,28,28
0,56,49,50,14,16
1,0,58,56,12,24
0,52,45,56,31,22
0,34,26,53,18,28
0,49,42,20,35,10
0,37,30,38,5,28
0,51,44,56,10,21
0,48,41,55,32,26
4,64,70,56,9,30
0,26,17,51,33,35
1,0,56,56,26,3
0,50,43,19,25,37
1,6,62,8,20,28
4,61,65,56,27,19
0,31,23,10,16,28
0,24,15,36,6,28
4,63,67,3,30,28
0,42,35,54,23,6
0,16,7,56,31,30
4,64,69,2,28,28
0,19,10,47,8,14
0,55,48,56,10,21
3,70,63,56,16,29
1,3,53,0,29,40
4,63,68,56,32,30
0,58,51,56,20,39
0,13,4,9,0,23
0,53,46,46,19,28
1,2,61,56,34,41
0,46,39,23,11,31
1,60,55,56,32,30
0,41,34,37,3,43
