Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,12909,144,1,10807,1
0,6110,100,1,3849,0
1,457048,88,0,454787,0
0,478833,231,1,476677,0
0,16869,154,1,14662,0
0,4025,165,1,1761,1
1,20192,203,0,18165,1
0,3770,49,2,732,1
1,828777,109,0,827212,1
1,9061,54,0,6806,1
0,2776,157,1,509,0
1,211189,118,0,209180,1
1,7765,27,0,5519,1
0,3747,23,1,1363,1
0,555948,171,1,553549,0
0,487264,94,1,485114,0
0,763294,176,1,761027,0
0,1178466,117,1,1176085,0
1,53359,116,0,52601,1
1,96434,222,0,94266,1
1,45480,197,0,43330,1
1,609383,77,0,607077,0
1,5633,11,0,4134,0
1,813661,182,0,811541,0
0,243718,96,3,243449,0
0,480713,35,1,478230,0
1,114439,8,0,112868,1
0,14957,62,1,12933,0
1,356577,107,0,354673,0
0,371476,172,1,369323,0
1,50723,122,0,48507,1
0,611448,112,2,610807,0
0,56175,83,1,53914,1
1,1621,63,0,2,1
0,4679,115,1,2307,1
0,11646,125,1,9286,1
0,45278,101,1,42840,0
0,47037,178,1,44773,1
0,487691,28,1,485538,0
1,619207,206,0,617003,0
0,828692,195,1,827244,1
1,909033,30,0,906619,0
0,1062,3,3,1,0
0,15153,209,1,12949,1
1,81519,10,0,79698,1
0,65232,218,1,62692,1
0,710857,47,2,709519,0
0,76316,26,1,74154,1
1,799420,225,0,796943,0
0,7491,128,1,5182,1
0,2056,48,3,2,1
0,4947,43,1,2638,0
1,441740,91,0,439797,1
0,2326647,16,3,2325364,0
1,777368,224,0,775140,0
1,51771,234,0,49540,1
0,59089,38,1,56687,1
1,552888,219,0,550654,0
0,79561,119,1,77369,1
1,1451239,130,0,1449053,0
0,1009290,42,1,1006993,0
1,170211,124,0,168412,1
0,4516,52,3,3179,1
1,122003,229,0,119982,1
0,5046,159,1,2860,1
1,1375691,121,0,1373202,0
0,27070,142,1,24536,1
1,224206,202,0,222371,1
1,689616,80,0,687517,0
1,372955,230,0,370655,1
1,1204656,198,0,1202680,0
1,11060,143,0,8994,1
1,2096,147,0,747,1
0,1138,5,3,2,0
1,8253,103,0,6340,1
1,1189025,189,0,1186812,0
1,496899,102,0,495853,0
0,1474,15,3,101,1
0,1039862,75,1,1037046,0
0,20107,67,1,17801,1
0,14203,56,1,11819,1
0,391932,7,1,389746,1
0,3932,162,1,1401,0
0,915393,61,2,914149,0
0,682195,68,1,679628,0
0,394758,19,2,393970,0
0,580782,169,3,579763,0
1,4883,39,0,2628,1
1,519612,205,0,517492,1
0,2976,164,1,781,0
0,1159648,145,1,1157084,0
0,7454,51,1,5259,1
1,654471,74,0,652312,1
0,2907,33,1,667,0
0,27924,6,3,26149,1
0,1705791,87,1,1703299,1
0,3230,129,1,921,1
0,2152,9,1,38,0
0,507624,192,1,505363,0
0,482055,113,1,479794,0
1,123424,232,0,121439,0
1,805063,180,0,803291,0
0,3147,40,1,535,1
0,7548,53,1,5362,0
0,11573,110,1,9210,0
1,369509,60,0,367296,1
0,707127,46,1,704929,0
0,351915,201,2,350539,1
0,6111,22,2,4843,1
0,307939,226,3,306221,1
1,464804,166,0,462621,1
0,1036,13,3,2,1
1,763015,81,0,760970,0
1,547726,136,0,545198,0
0,19404,200,1,17227,0
0,53099,223,1,50910,1
0,2191081,86,1,2188577,1
1,52834,184,0,50840,0
1,13918,123,0,11750,1
1,18062,135,0,16122,1
1,436942,177,0,434816,0
1,34512,89,0,32440,1
0,5683,55,3,3845,0
1,1835456,208,0,1833030,0
1,731499,29,0,729406,0
1,562476,173,0,560179,0
0,560608,181,1,558551,0
0,92121,141,1,90979,1
0,7735,186,1,5258,1
0,2352753,132,2,2351474,0
1,5117,217,0,2943,0
0,120751,187,3,119534,1
0,9642,214,1,7252,0
0,28514,111,1,26043,0
0,1699,84,3,101,1
1,3774,17,0,1570,0
1,468090,37,0,465892,0
0,3637,163,2,1680,1
1,22349,97,0,20226,1
0,369971,59,1,367785,0
1,10067,25,0,8418,1
1,1108,161,0,1,0
0,3468,69,1,1171,0
0,1009265,76,1,1006986,0
1,609450,134,0,607396,0
0,28523,79,1,26538,1
0,2650,24,1,386,1
0,6868,185,1,4559,1
0,50074,190,1,47909,1
1,669243,188,0,667156,0
1,17178,108,0,14941,1
0,4593,1,1,2230,1
0,161779,93,1,159506,1
0,798,167,3,1,1
1,1167843,146,0,1165567,0
1,299939,227,0,297915,1
1,18493,44,0,16673,1
0,5471,139,1,3207,1
0,5333,20,1,3093,1
0,59387,92,3,57738,1
0,477141,199,2,476586,0
0,5583,99,1,3223,0
1,40877,204,0,40377,1
1,175988,212,0,173664,0
0,180595,120,1,178343,0
0,827,12,2,3,0
0,140815,228,2,140096,1
0,16433,194,2,14709,1
1,35613,196,0,33460,1
1,16106,72,0,14127,0
0,194620,126,1,192110,0
0,85349,64,2,84366,1
0,311650,215,1,309482,1
0,703891,71,2,701787,0
0,7225,106,1,4853,0
0,3201,58,2,2560,1
0,17152,138,1,14774,1
0,43304,158,1,40902,1
0,52112,104,1,49749,1
0,2335,170,3,101,1
0,3704,21,1,1446,1
1,12933,114,0,10912,1
1,60946,148,0,58898,1
1,1287,18,0,1,0
0,3133,50,1,824,1
0,23314,236,1,21104,0
0,18709,32,1,16532,1
1,399311,90,0,397290,0
0,66424,233,1,64094,1
1,469090,31,0,466913,0
0,4184,235,1,1923,1
0,754574,175,1,752403,0
0,646569,183,2,644707,0
1,480279,207,0,478171,0
1,636865,78,0,634829,0
0,377705,98,1,375522,0
1,459000,174,0,456733,0
0,703107,150,2,702547,0
1,411395,34,0,410220,0
0,5540,41,2,3963,1
0,526037,36,3,525222,0
0,115059,160,1,112891,1
1,28472,221,0,26358,1
1,3258,211,0,754,1
1,961848,156,0,959689,0
1,16197,179,0,13717,1
0,1669,45,3,2,1
1,113111,168,0,111105,1
0,81116,4,2,80040,1
1,27218,66,0,24993,1
0,2152465,191,1,2150273,0
1,5726,0,0,3723,0
1,1909430,131,0,1907460,1
0,1835184,65,1,1832923,0
1,67187,210,0,64983,1
0,315631,216,1,313523,1
0,6765,193,1,4204,1
0,1518,57,3,1,1
1,477984,153,0,475453,0
1,19107,105,0,16912,1
1,2336,151,0,3,1
1,468765,82,0,466540,0
0,4334,95,1,1968,1
0,71096,140,1,68619,1
0,909502,73,1,907241,0
1,1116077,155,0,1113876,0
1,62927,152,0,60651,1
0,57522,127,1,55348,1
0,1333,14,2,3,0
1,811009,213,0,808763,0
0,1475,2,3,3,0
0,471716,220,2,470270,0
0,2123600,85,1,2121408,0
0,4215,70,1,1969,1
1,252998,133,0,250869,0
0,6479,137,2,5838,1
0,68193,149,1,66007,1
