Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,1169344,41,1,1158920,0
0,7614,2,0,1030,1
0,609988,158,1,605538,1
0,1211309,163,1,1200861,0
0,71128,81,1,60752,1
1,18759,152,3,8548,1
0,52109,55,1,41772,1
0,64484,127,2,55971,1
0,424181,138,1,413739,0
0,225503,223,1,215040,0
1,1026196,141,3,1015775,0
0,330111,109,1,322282,0
0,458221,50,1,447770,1
0,685626,119,1,675331,0
0,18045,174,1,7588,0
0,108909,130,1,98518,1
0,47512,124,1,39092,1
0,775910,131,1,765552,0
0,22103,171,1,14689,1
0,332104,168,1,321641,0
0,7780,8,2,2,1
1,11317,86,3,5433,1
0,573981,159,1,563530,0
0,459416,61,1,449073,1
1,5380,25,3,2,1
1,214744,9,3,206012,1
0,31572,75,1,21127,1
0,63253,175,1,52823,1
0,286931,192,1,283691,0
0,149649,115,2,143326,0
0,14171,180,2,4392,1
0,11492,32,1,5925,1
0,26884,60,1,16478,1
0,45907,207,2,38978,1
0,13390,161,1,2987,0
0,193120,185,2,183374,0
0,9732,193,1,1,0
1,1233807,178,3,1224493,1
0,62951,94,1,52593,1
0,970184,186,1,959784,1
0,138304,216,1,127910,1
0,13701,153,1,3220,1
0,689245,14,1,678794,0
0,5595,6,2,1,1
0,213628,100,1,203258,0
1,24168,112,3,13795,0
0,31191,121,1,20812,1
0,3034,91,2,2,0
0,347060,220,2,339083,1
1,127990,150,3,117557,1
0,390898,219,1,380639,1
0,60872,208,1,50520,1
0,225073,35,1,217409,1
0,842551,213,1,832124,0
0,475972,77,2,470489,0
0,534898,113,2,529028,1
0,59093,69,1,53591,1
0,2345983,166,1,2335691,0
0,33876,201,1,23431,0
0,2017022,4,2,2011656,0
1,796435,42,3,786038,0
0,908777,38,1,898398,0
1,1020605,202,3,1014285,0
1,25728,93,3,21774,1
0,13163,65,1,2601,0
1,789447,214,3,779023,0
0,7954,194,2,2,0
1,743366,12,3,733188,0
0,1028641,19,1,1018586,0
0,69531,218,1,59128,1
0,5243,68,1,2,0
0,9826,22,2,2831,0
1,12411,133,3,1858,1
0,6482,3,2,3,0
0,78813,198,1,72588,1
0,12312,197,2,7990,1
0,40663,199,1,30197,1
0,51361,101,1,40991,1
0,288082,210,1,277652,0
0,328819,64,1,318764,0
0,127475,172,1,117093,1
0,32850,188,1,28143,1
0,207695,52,1,204667,0
0,36235,217,1,25871,1
0,11147,33,2,4143,0
1,1351353,155,3,1340908,0
0,30892,74,1,20468,0
0,745319,40,1,734937,0
0,353296,97,2,348857,1
0,7476,0,2,127,0
0,21015,76,1,14486,1
0,5481,156,2,1,0
0,5231,27,1,1,1
0,78745,63,1,68291,1
1,574518,142,3,565420,0
1,27113,195,3,16665,1
1,647211,116,3,636820,0
0,802151,13,1,791817,1
0,65194,21,1,54806,0
0,6388,123,1,323,1
1,296067,110,3,288610,0
0,62219,39,1,51870,0
0,19188,34,1,11071,1
0,34912,170,1,27714,1
0,239506,162,2,231410,0
1,595061,48,3,584655,0
1,52443,44,3,42064,1
0,5929,151,1,3,0
1,35770,43,3,25298,1
0,5956,20,1,733,0
0,586972,46,1,576509,0
0,88568,200,1,78117,1
1,13525,108,3,3143,0
0,623676,90,1,613279,0
0,11537,176,1,1098,1
0,505288,11,1,494840,0
0,39653,24,1,33702,1
0,158064,215,1,147781,1
0,54831,125,1,44338,1
0,1392969,105,1,1382515,1
