SportType,HostCountry,RaceDescription,RaceImage,OfficialWebsite,PartOfSeries,MainTemplate,EditionNumber,CommonsCategory,RaceInstance,MainCategory,FreebaseId,RaceWinner
1,3,6,6,1,1,0,71.0,6,3,1,4,4
1,0,0,4,2,0,1,101.0,2,1,0,3,7
1,0,9,7,6,7,4,,1,0,7,1,5
1,3,6,6,1,1,0,71.0,6,3,1,4,4
1,0,2,3,0,4,3,107.0,4,1,6,4,2
1,0,3,5,3,2,0,104.0,3,1,2,4,1
1,3,6,6,1,1,0,71.0,6,3,1,4,4
1,3,7,2,5,5,5,,5,0,8,0,5
0,1,5,1,0,5,0,,0,4,9,2,5
1,3,7,2,5,5,5,,5,0,8,0,5
0,1,5,1,0,5,0,,0,4,9,2,5
1,0,3,5,3,2,0,104.0,3,1,2,4,1
1,0,0,4,2,0,1,101.0,2,1,0,3,7
1,3,7,2,5,5,5,,5,0,8,0,5
1,2,4,1,4,5,2,13.0,0,2,3,4,3
1,2,8,1,4,5,0,15.0,0,2,4,4,0
1,2,4,1,0,6,0,5.0,0,5,9,4,5
1,0,9,7,6,7,4,,1,0,7,1,5
1,0,2,3,0,4,3,107.0,4,1,6,4,2
1,0,9,7,6,7,4,,1,0,7,1,5
1,0,3,5,3,2,0,104.0,3,1,2,4,1
1,3,1,0,1,3,0,74.0,7,3,5,4,6
1,2,4,1,0,6,0,5.0,0,5,9,4,5
1,2,4,1,4,5,2,13.0,0,2,3,4,3
