Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,146,10807,1
0,0,6110,102,3849,0
1,0,457048,92,454787,0
0,0,478833,231,476677,0
0,0,16869,155,14662,0
1,0,552888,219,550654,0
0,0,835809,99,833647,0
0,0,3770,52,732,1
1,0,828777,111,827212,1
1,0,9061,57,6806,1
0,0,2776,158,509,0
1,0,211189,120,209180,1
1,0,7765,30,5519,1
0,0,3747,24,1363,1
0,1,692573,71,690150,0
0,0,27924,7,26149,1
0,0,754574,178,752403,0
0,0,1178466,119,1176085,0
1,0,53359,118,52601,1
1,0,96434,222,94266,1
1,0,45480,199,43330,1
0,0,604953,82,602554,0
1,0,5633,13,4134,0
1,0,813661,184,811541,0
0,0,4215,73,1969,1
0,0,480713,39,478230,0
1,0,114439,9,112868,1
0,0,14957,65,12933,0
1,0,356577,109,354673,0
0,0,45278,103,42840,0
1,0,50723,124,48507,1
1,0,562476,176,560179,0
0,0,56175,87,53914,1
1,0,1621,66,2,1
0,0,4679,117,2307,1
0,0,11646,127,9286,1
0,0,487264,97,485114,0
0,0,47037,180,44773,1
0,0,371476,175,369323,0
0,0,477337,11,476408,0
0,0,828692,197,827244,1
1,0,909033,34,906619,0
0,0,1062,3,1,0
1,0,441740,95,439797,1
1,0,81519,12,79698,1
0,0,65232,218,62692,1
0,0,707127,50,704929,0
0,0,76316,29,74154,1
1,0,777368,224,775140,0
0,0,3230,131,921,1
0,0,2056,51,2,1
0,0,4947,47,2638,0
1,0,372955,230,370655,1
0,0,2326647,17,2325364,0
1,0,11060,145,8994,1
1,0,51771,234,49540,1
0,0,59089,42,56687,1
1,0,113111,171,111105,1
0,0,79561,121,77369,1
1,0,1451239,132,1449053,0
0,0,1009290,46,1006993,0
1,0,170211,126,168412,1
0,0,4516,55,3179,1
0,0,611448,114,610807,0
0,0,5046,163,2860,1
1,0,1375691,123,1373202,0
0,0,4025,169,1761,1
1,0,224206,204,222371,1
1,0,689616,84,687517,0
1,0,335828,159,333633,1
1,0,1204656,200,1202680,0
1,0,7012,6,5501,1
1,0,2096,149,747,1
