Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,6,58,154221,0
0,447552,1,1,0,67,446896,0
0,1524263,38,38,14,4,1522857,0
0,919364,83,83,10,56,918156,0
0,10687,109,109,15,58,9590,0
0,1108489,108,108,23,53,1107152,1
0,33930,51,51,15,65,32737,0
0,340851,9,9,0,51,340480,0
0,580857,36,36,23,48,579490,0
1,6500,32,32,2,24,5433,0
1,597683,128,128,2,64,596868,1
0,480599,127,127,0,67,480417,0
0,1494962,39,39,4,38,1493559,1
0,437003,65,65,1,15,436320,0
0,726501,41,41,8,4,725125,1
0,1117420,107,107,10,20,1116176,1
1,630240,57,57,2,40,628903,1
0,1404649,104,104,10,14,1403372,0
1,3182,21,21,2,37,2247,0
0,85134,87,87,12,49,83866,1
0,1359,80,80,0,7,532,1
0,146779,91,91,5,45,145715,1
0,601068,111,111,15,78,599905,1
0,831522,13,13,15,39,830434,1
0,7259,7,7,0,28,6249,0
1,496522,93,93,2,58,495068,1
0,68405,137,137,17,76,67296,1
0,1047742,142,142,17,52,1046660,1
0,532332,151,151,23,60,531106,1
0,1898756,47,47,17,14,1897875,1
0,1944921,120,120,0,14,1944244,0
0,2480,74,74,17,3,1071,1
0,437973,96,96,0,76,437293,1
0,233697,3,3,0,80,233434,1
0,1587887,118,118,8,38,1586445,1
1,1867030,46,46,2,45,1865636,0
0,15753,11,11,17,66,14641,0
0,174865,132,132,10,23,173582,1
1,10644,92,92,2,39,9307,1
0,412929,52,52,23,60,411703,0
0,1267766,61,61,10,4,1266495,1
0,1506761,114,114,22,46,1505442,1
0,211328,152,152,17,48,209856,1
0,340376,73,73,1,9,339975,0
0,1172370,106,106,10,14,1171051,0
1,411413,88,88,2,70,410007,1
0,59441,99,99,17,74,58461,0
0,559992,89,89,23,0,558766,1
1,1789020,71,71,2,19,1787623,1
0,523945,112,112,23,76,522770,1
0,626028,42,42,15,34,624868,1
0,151073,139,139,17,76,149964,0
0,1733432,124,124,21,53,1732098,0
1,924253,84,84,2,19,923378,1
0,1651899,48,48,15,4,1651012,1
0,290343,72,72,21,57,289018,0
0,484137,79,79,15,11,482659,0
0,1002291,86,86,15,3,1001194,0
0,1751668,123,123,4,20,1750310,0
0,211061,153,153,4,1,209817,0
1,18783,26,26,2,73,17596,0
1,65502,30,30,2,27,63997,0
1,813285,54,54,2,42,812281,0
0,2018230,117,117,15,83,2016848,0
1,434666,126,126,2,23,433053,0
1,665716,129,129,2,64,664775,1
0,1248251,62,62,13,4,1246854,1
0,617159,56,56,23,72,615924,0
1,452810,94,94,2,58,452175,0
0,423600,146,146,17,18,422017,0
1,9275,49,49,2,2,7716,1
0,2090497,20,20,4,17,2089121,1
0,526360,150,150,23,77,525035,1
0,447752,149,149,23,47,446523,1
0,1933792,5,5,1,14,1933010,0
1,1778404,122,122,25,26,1777100,1
0,1127672,134,134,3,13,1126485,0
0,1741983,16,16,9,83,1740772,0
1,1072628,133,133,25,21,1071504,0
0,1152412,37,37,23,46,1151105,1
0,231983,81,81,7,69,230514,1
0,432268,6,6,17,71,431189,0
1,1015761,64,64,2,26,1014583,0
1,1365596,66,66,25,17,1364481,0
0,405983,8,8,1,75,405798,0
1,52782,136,136,2,30,51379,1
1,852,50,50,2,44,1,0
1,417432,101,101,2,54,415855,0
0,1601313,69,69,18,81,1599847,0
1,2053277,19,19,25,45,2051877,1
0,598434,75,75,0,45,597786,1
1,23787,25,25,2,23,22417,0
0,494627,43,43,21,61,493452,0
0,1622991,119,119,0,38,1622125,1
1,262696,60,60,2,63,261617,0
0,1413484,12,12,23,53,1412150,0
0,54854,27,27,0,3,53844,0
0,2157389,45,45,8,25,2156019,0
0,6378,59,59,15,3,4900,1
0,497535,155,155,0,22,496600,0
0,1093548,135,135,16,77,1092211,0
0,566165,35,35,18,15,564966,0
0,67849,98,98,17,50,66767,0
1,1804221,70,70,2,19,1803316,1
0,1547471,115,115,19,35,1546002,1
0,155993,110,110,20,39,154689,1
1,6733,24,24,2,65,6122,0
0,12244,29,29,15,3,11150,0
0,1499180,113,113,19,32,1497708,0
0,72377,31,31,15,33,71553,0
0,349644,10,10,21,29,348280,0
1,377112,2,2,25,10,375718,0
0,586,0,0,1,5,2,0
0,1398991,105,105,14,14,1398122,0
0,467679,95,95,0,57,466476,1
1,929394,77,77,2,43,928210,1
0,13267,22,22,0,3,11954,0
1,1459767,40,40,2,45,1458433,0
0,7956,34,34,20,42,6742,1
1,162444,140,140,25,30,161326,0
0,207419,58,58,0,83,207000,0
0,378535,53,53,18,36,377627,0
0,1683736,14,14,15,38,1682645,0
1,553803,90,90,2,54,552229,0
1,114367,138,138,2,31,112967,0
0,298468,78,78,15,11,296987,0
0,439354,100,100,15,43,437786,0
0,1420721,68,68,23,81,1419405,0
0,367224,148,148,0,47,366097,0
0,799780,141,141,0,41,799199,0
0,8841,17,17,17,23,7366,1
0,37052,130,130,24,79,35940,0
0,1361937,103,103,15,14,1361035,1
1,492874,55,55,2,21,492284,0
0,485,4,4,1,62,3,1
0,27971,82,82,5,3,26910,1
0,403184,97,97,21,68,402012,0
1,169772,33,33,2,8,168840,1
0,1951553,121,121,14,18,1950669,0
1,1386264,102,102,2,45,1384861,0
1,2074708,18,18,2,26,2073437,1
1,1071422,144,144,2,61,1070148,1
0,987463,85,85,0,83,986558,0
0,383794,23,23,17,14,382214,0
0,1370954,67,67,17,81,1369569,1
0,1156856,125,125,0,59,1155972,1
0,1026521,63,63,17,18,1025604,0
0,24760,145,145,15,16,23234,1
0,318880,147,147,15,12,317777,1
0,17944,131,131,15,15,16457,1
0,899374,76,76,3,55,898190,0
0,1672453,15,15,4,38,1671053,0
0,399489,28,28,21,29,398281,1
0,1558841,116,116,0,6,1557681,1
0,6048,44,44,9,3,4708,0
0,1065367,143,143,11,82,1064159,1
