MaintainingAuthority,AdministrativeArea,GoogleKnowledgeGraphId,InceptionDate,RoadType,ConnectingRoutes
2,15,64,10,0,74
2,18,206,4,0,58
2,8,212,1,0,107
2,2,27,12,0,19
2,14,129,1,0,75
2,2,224,9,0,125
2,0,44,1,0,35
2,18,116,1,0,19
2,13,37,12,0,29
2,0,208,1,0,89
2,2,215,1,0,114
2,0,2,12,0,23
2,8,3,1,0,56
2,18,174,12,0,19
2,18,108,12,0,62
2,17,43,0,0,73
2,18,138,1,0,51
2,18,182,12,0,66
2,4,82,1,0,59
2,18,213,1,0,111
2,18,18,12,0,65
2,18,130,1,0,117
2,8,89,1,0,84
2,4,179,1,0,11
2,2,24,4,0,19
2,15,114,12,0,116
2,17,173,1,0,9
2,2,134,3,0,8
2,0,207,4,0,27
2,6,86,8,0,19
2,18,148,1,0,19
2,14,47,1,0,76
2,18,20,12,0,118
2,8,165,12,0,30
2,17,171,4,0,95
2,1,60,1,0,42
2,19,13,1,0,19
2,14,125,1,0,19
2,14,124,12,0,122
2,14,87,1,0,72
2,18,205,10,0,13
2,15,5,12,0,109
2,18,216,1,0,112
2,18,6,4,0,92
2,8,176,4,0,31
2,18,78,12,0,63
2,4,156,1,0,123
2,18,196,12,0,119
2,18,72,1,0,19
2,20,177,12,0,33
2,4,9,1,0,14
2,2,218,1,0,8
2,16,83,12,0,112
2,18,163,9,0,83
2,0,219,1,0,25
2,18,169,1,0,36
2,18,63,1,0,53
2,20,91,12,0,117
2,12,1,12,0,28
2,11,8,12,0,79
2,18,195,12,0,60
2,15,127,12,0,110
2,11,97,1,0,80
2,20,42,12,0,14
2,4,113,12,0,59
2,4,190,1,0,11
0,7,21,3,0,7
2,18,62,1,0,108
2,15,132,12,0,70
2,18,197,10,0,119
2,18,92,12,0,112
2,16,140,12,0,22
2,18,187,12,0,108
2,18,137,10,0,93
2,18,202,3,0,88
2,18,32,12,0,14
2,9,31,3,0,4
2,16,45,1,0,99
2,18,210,2,0,54
2,18,149,1,0,19
2,20,99,12,0,19
2,10,183,10,0,87
2,10,55,12,0,39
2,20,76,12,0,90
2,4,120,1,0,123
2,14,36,6,0,122
2,6,67,1,0,19
2,18,164,12,0,19
2,13,74,4,0,103
2,18,201,4,0,85
2,6,71,1,0,38
2,18,93,12,0,60
2,4,100,4,0,19
2,17,4,1,0,46
2,8,84,12,0,33
2,19,161,7,0,3
2,14,23,1,0,122
2,18,153,2,0,92
2,0,103,10,0,26
2,13,79,12,0,2
2,18,104,1,0,102
2,18,73,12,0,19
2,15,53,12,0,6
2,18,15,12,0,61
2,10,151,1,0,19
2,16,170,12,0,42
2,11,22,9,0,5
2,4,109,9,0,110
2,16,166,12,0,19
2,15,185,4,0,71
2,13,199,1,0,56
0,3,51,1,0,12
2,15,56,12,0,68
2,20,142,12,0,56
2,15,26,1,0,86
2,0,178,1,0,25
2,4,29,12,0,97
2,18,186,12,0,106
2,18,141,12,0,19
2,2,111,1,0,19
2,8,198,4,0,35
2,2,144,5,0,82
2,15,146,12,0,19
2,6,223,1,0,45
2,17,191,6,0,124
2,15,19,0,0,1
2,19,175,10,0,19
2,11,194,6,0,78
2,18,222,12,0,11
2,10,70,12,0,38
2,16,61,1,0,112
2,6,90,1,0,40
2,15,12,12,0,11
2,11,145,1,0,77
2,20,180,12,0,117
2,15,117,12,0,14
2,15,58,12,0,68
2,11,217,12,0,19
2,8,167,12,0,32
2,18,135,12,0,24
2,14,209,12,0,124
2,18,160,1,0,19
2,10,11,12,0,14
2,11,192,12,0,5
2,4,119,4,0,14
2,13,96,1,0,29
2,18,54,1,0,42
2,4,143,1,0,96
2,18,14,12,0,98
2,18,172,8,0,101
2,4,189,4,0,67
2,20,85,12,0,34
2,6,7,1,0,41
2,11,17,1,0,9
2,18,128,4,0,19
2,8,139,6,0,31
2,0,95,1,0,27
2,18,40,1,0,120
2,16,181,1,0,50
2,17,188,6,0,122
2,0,69,1,0,103
2,8,52,12,0,2
2,18,221,12,0,19
2,16,68,1,0,49
2,2,112,1,0,19
2,18,122,10,0,10
2,15,131,4,0,19
2,10,168,12,0,37
2,18,59,12,0,9
2,13,220,1,0,103
2,18,147,12,0,19
2,18,214,4,0,102
2,11,105,12,0,5
2,18,50,1,0,55
2,18,33,12,0,11
2,18,203,12,0,10
2,15,110,1,0,69
2,6,118,1,0,113
2,18,94,1,0,92
2,13,159,1,0,19
2,13,126,1,0,43
2,16,30,1,0,48
2,18,65,1,0,119
2,15,10,12,0,109
2,4,39,0,0,17
2,2,106,1,0,121
2,18,184,1,0,53
2,9,77,1,0,7
2,17,211,12,0,20
2,8,81,12,0,32
2,18,133,12,0,2
2,2,157,6,0,18
2,10,25,12,0,23
2,16,162,8,0,45
2,18,154,12,0,52
2,6,136,1,0,104
2,18,101,12,0,94
2,6,115,12,0,91
2,2,121,1,0,114
2,4,204,12,0,124
2,6,123,4,0,19
2,6,200,4,0,19
2,18,98,12,0,47
2,18,28,1,0,100
2,8,48,12,0,23
2,18,34,12,0,44
2,15,16,12,0,0
2,8,57,1,0,56
2,2,193,12,0,11
2,20,75,12,0,19
2,18,41,12,0,21
2,11,35,12,0,57
2,15,46,12,0,124
2,11,80,1,0,105
2,17,66,12,0,15
2,18,107,10,0,115
2,18,152,4,0,81
2,15,150,12,0,16
2,15,0,11,0,19
2,8,38,12,0,56
2,10,158,4,0,19
2,18,155,12,0,51
2,11,49,12,0,5
1,5,102,12,0,14
2,18,88,1,0,64
