MaintainingAuthority,AdministrativeArea,GoogleKnowledgeGraphId,InceptionDate,RoadType,ConnectingRoutes
4,20,7,6,3,90
4,5,148,18,3,19
4,1,62,2,3,46
4,23,85,18,3,37
4,8,72,2,3,42
4,20,140,2,3,54
2,21,238,11,3,2
4,3,107,2,3,19
4,12,192,15,3,87
4,0,187,2,3,27
4,20,212,18,3,114
4,20,24,18,3,113
4,17,60,18,3,69
4,20,211,18,3,62
4,20,73,2,3,19
4,3,147,7,3,82
4,23,41,18,3,14
4,20,38,18,3,22
4,13,50,2,3,117
4,17,13,18,3,11
4,18,45,2,3,19
4,10,48,18,3,24
4,20,168,18,3,19
4,13,26,14,3,5
4,17,23,1,3,1
4,0,70,2,3,101
4,17,118,2,3,94
4,18,177,18,3,46
4,20,17,18,3,97
4,13,49,18,3,5
4,8,138,2,3,102
4,12,30,18,0,19
4,13,206,18,1,19
4,13,208,2,3,12
4,5,110,18,3,61
4,20,81,2,3,19
4,8,114,18,3,89
4,10,141,8,3,34
4,10,224,2,3,105
4,17,155,18,0,19
4,20,207,2,3,39
4,19,223,18,3,20
4,20,22,18,1,19
4,18,69,2,3,52
4,20,16,2,3,59
4,8,67,2,3,19
4,15,127,2,3,47
4,3,109,2,3,19
4,16,173,2,3,76
4,18,157,12,3,51
1,4,52,2,3,12
4,0,101,15,3,28
4,14,3,18,3,31
4,20,227,2,3,107
4,20,167,14,3,83
4,22,183,15,3,19
4,20,233,15,3,11
4,10,54,18,3,2
4,13,150,2,3,78
4,23,76,18,3,19
4,13,144,18,3,4
1,9,25,5,3,7
4,17,156,18,3,16
4,20,74,18,3,19
4,0,4,18,3,24
4,13,9,18,3,79
4,0,12,18,1,19
4,20,143,18,3,19
4,20,108,18,3,114
4,20,153,2,3,19
4,10,33,18,3,60
4,23,185,18,3,36
4,3,226,2,3,109
4,3,230,2,3,8
4,5,145,2,3,93
4,23,209,18,3,2
4,19,66,18,3,15
4,3,136,5,3,8
4,3,237,14,3,121
3,7,100,18,3,14
4,20,146,18,3,122
4,10,169,18,3,33
4,21,238,18,3,2
4,5,82,2,3,61
4,17,46,18,3,120
4,3,103,2,3,116
4,20,87,2,3,65
4,5,202,6,3,68
4,15,58,18,3,30
4,20,191,18,3,67
4,18,125,18,3,25
4,15,215,2,3,60
4,18,44,2,3,98
4,20,31,18,3,48
4,20,94,2,3,90
4,16,131,2,3,75
4,13,20,2,3,9
4,5,10,2,3,14
4,16,106,5,3,12
4,13,88,6,3,19
4,20,55,2,3,46
4,12,163,6,3,19
4,19,42,1,3,74
4,19,178,6,3,92
4,16,27,2,3,118
4,20,14,18,0,19
4,5,36,1,3,17
4,0,221,2,3,88
4,13,97,2,3,80
4,17,219,18,3,19
4,15,75,6,3,101
4,13,172,18,3,19
4,13,186,2,3,19
4,23,39,18,3,19
4,19,64,1,3,70
4,3,197,6,3,116
4,3,205,18,3,11
4,17,216,6,3,81
4,10,171,18,3,35
4,20,161,18,3,54
4,17,198,6,3,72
4,5,203,2,3,11
4,15,164,2,3,19
4,21,193,18,2,19
4,17,116,18,3,14
4,20,130,6,3,19
2,2,238,0,3,21
4,20,61,18,3,9
4,17,6,18,3,106
4,20,132,2,3,112
4,15,79,18,3,2
4,20,154,2,3,19
4,13,229,18,3,19
4,20,122,15,3,10
4,10,89,2,3,84
4,8,8,2,3,45
4,17,134,18,3,71
4,20,135,18,3,2
4,20,218,6,3,85
4,16,194,12,3,14
4,17,34,18,0,19
4,17,2,17,3,19
4,10,184,6,3,34
4,20,180,12,3,99
4,15,133,2,3,14
4,17,196,6,3,86
1,6,238,10,3,18
4,20,176,2,3,40
4,15,96,2,3,32
4,13,128,7,3,6
4,16,32,8,3,118
4,5,99,6,3,19
4,20,160,18,3,55
4,19,181,2,3,9
4,8,90,2,3,44
4,20,231,9,3,95
4,5,162,2,3,119
4,20,51,2,3,58
4,11,77,2,3,7
0,14,121,13,3,19
4,8,117,2,3,108
4,20,93,18,3,62
4,8,195,18,3,102
4,10,84,18,3,36
4,20,179,12,3,50
4,17,151,18,3,19
4,10,113,2,3,96
4,20,37,2,3,115
4,20,105,18,3,63
4,20,225,6,3,100
4,19,204,8,3,120
4,0,43,2,3,38
4,12,28,18,3,24
4,20,129,18,3,90
4,18,166,12,3,49
4,5,120,2,3,119
4,8,123,6,3,19
4,20,139,15,3,91
4,10,59,2,3,60
4,20,92,18,3,107
4,11,29,5,3,3
4,17,18,18,3,14
4,10,214,6,3,38
4,10,35,18,0,19
4,20,213,15,3,114
4,20,63,2,3,56
4,17,210,18,3,14
4,18,142,18,3,23
4,19,228,18,3,15
