Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Genomic_Start_Position
0,2058,40,40,1
0,326018,98,98,323649
0,476915,37,37,476025
1,114401,60,60,112584
0,2332647,195,195,2330257
1,80177,230,230,78453
1,8014,80,80,5234
1,38673,85,85,38134
1,74182,14,14,73355
1,346408,201,201,346178
0,921959,61,61,919047
0,1129891,141,141,1128836
0,1242,4,4,1100
1,40192,221,221,38090
1,612,67,67,103
0,929,170,170,3
1,9109,148,148,6119
1,35665,146,146,33647
0,223303,151,151,221369
1,30441,191,191,27628
0,1639600,194,194,1637255
1,67398,219,219,66466
0,122795,35,35,121053
0,1121147,211,211,1120731
1,216652,229,229,216302
1,53404,239,239,53066
1,20561,116,116,20007
1,215357,59,59,214062
0,543960,133,133,542011
1,23503,234,234,21764
1,56787,222,222,55507
0,857583,105,105,854629
0,615828,182,182,612868
1,282,114,114,1
0,640889,120,120,638082
1,119855,177,177,118959
0,202126,73,73,201683
0,157631,180,180,157230
0,218,150,150,3
0,578507,183,183,577500
1,1238,209,209,288
1,12423,124,124,10753
1,100170,26,26,98553
1,74123,119,119,73479
0,18217,115,115,15659
0,3521,171,171,564
0,1415811,19,19,1415230
0,229154,238,238,227562
1,47729,118,118,46503
1,10942,196,196,10619
1,45868,108,108,44981
0,11981,100,100,9216
0,706956,36,36,704473
0,6341,58,58,3546
1,2270,55,55,1968
0,1034156,71,71,1031220
0,1842055,205,205,1840004
1,7838,212,212,7741
1,4117,6,6,2168
0,1411,1,1,1097
0,51751,103,103,49106
1,2184398,82,82,2181870
1,76293,27,27,74227
1,28437,215,215,25624
0,1399795,23,23,1397420
0,8610,75,75,7165
1,46358,88,88,44298
0,1122061,140,140,1121249
1,57738,223,223,56893
0,11717,172,172,11061
0,629366,204,204,627348
1,34648,28,28,31775
1,41471,152,152,39177
1,42976,227,227,42014
0,2400,162,162,211
0,3058,134,134,647
1,71748,32,32,71398
0,202086,210,210,201577
0,368350,47,47,367493
1,83691,192,192,83233
1,33312,76,76,32212
0,1050263,154,154,1049748
0,358301,168,168,355485
1,23148,135,135,20869
1,1686,2,2,1
0,4959,96,96,2632
0,1130987,142,142,1130442
1,33975,34,34,32362
1,47107,231,231,46339
1,25397,147,147,23602
0,215,5,5,3
1,254233,176,176,251879
0,6051,106,106,3256
0,270124,225,225,267929
0,3364,166,166,1112
1,8105,56,56,5802
0,27721,87,87,25157
0,88109,216,216,87465
0,794,8,8,3
1,36817,145,145,35931
1,2248,20,20,1520
0,903359,156,156,902475
0,513917,236,236,513297
1,24472,184,184,23342
1,46075,232,232,44094
1,4117,224,224,1346
1,1991,174,174,321
1,6985,78,78,4031
0,281858,149,149,279111
0,581031,237,237,580762
0,783875,65,65,783721
0,228,17,17,1
0,8634,57,57,6310
1,28634,137,137,28311
0,392192,101,101,389835
1,1874,54,54,3
1,17833,30,30,17345
0,609376,203,203,606950
1,2735,213,213,1362
0,1444050,22,22,1442287
0,922,9,9,412
0,481120,104,104,478592
1,4965,123,123,2173
1,2208,139,139,1
1,15743,202,202,15195
1,2190,94,94,1
1,7580,83,83,6150
0,317768,188,188,315381
0,781276,163,163,779186
1,46181,179,179,45609
0,703894,110,110,701207
0,2011553,3,3,2010699
1,563,43,43,3
1,1066,0,0,947
0,617,52,52,1
0,498493,235,235,497942
0,6017,218,218,3066
1,52798,121,121,51977
0,585603,185,185,583600
0,805,62,62,2
1,89160,178,178,86623
1,88412,91,91,86619
1,101201,25,25,100433
0,5632,13,13,4214
0,1161359,89,89,1159086
0,929,16,16,492
1,10351,173,173,7736
0,1338938,189,189,1337487
0,699100,68,68,696140
1,16367,31,31,13620
0,1153652,143,143,1152030
0,32383,198,198,29822
1,69602,79,79,68706
1,71222,125,125,69540
0,24991,111,111,22313
0,57820,33,33,56951
1,73875,207,207,71692
0,5666,165,165,3972
1,33980,160,160,31590
0,578251,159,159,576644
0,475584,92,92,473026
0,583,155,155,2
1,3829,29,29,839
1,56560,220,220,55610
0,453362,128,128,452610
0,1381,99,99,2
0,915785,187,187,913926
0,772241,46,46,769332
1,1231,12,12,899
1,1575,18,18,712
1,74451,228,228,72187
1,17714,48,48,16719
0,45115,199,199,42281
1,7904,93,93,5580
0,147,10,10,1
0,521339,131,131,518895
0,612431,129,129,611934
0,750468,63,63,747616
0,10805,102,102,10074
1,10537,197,197,8039
1,4197,144,144,3526
0,6226,11,11,4295
0,1020701,158,158,1018377
1,63967,206,206,63425
1,2783,38,38,909
0,1852084,64,64,1850486
0,382722,97,97,380155
1,2706,84,84,1
0,8632,69,69,7892
0,521580,39,39,519241
0,814312,217,217,811961
1,34273,7,7,33176
1,58454,109,109,55821
0,504842,70,70,502038
1,26773,107,107,26201
0,856711,127,127,855554
0,112160,81,81,109194
0,752571,45,45,750136
1,6087,15,15,4936
0,630925,167,167,630173
