Gene_Type,Gene_Description,Genomic_Start_Position,Strand_Orientation,Gene_Db_Id,Gene_Classification,Genomic_End_Position
0,0,10807,1,144,0,12909
0,0,3849,0,100,0,6110
1,0,454787,0,91,1,457048
0,0,476677,0,231,0,478833
0,0,14662,0,154,0,16869
1,0,550654,0,219,1,552888
1,0,18165,1,203,1,20192
0,0,732,1,51,0,3770
1,0,827212,1,109,1,828777
1,0,6806,1,56,1,9061
0,0,509,0,157,0,2776
1,0,209180,1,118,1,211189
1,0,5519,1,29,1,7765
0,0,1363,1,24,0,3747
0,1,690150,0,70,0,692573
0,0,26149,1,6,0,27924
0,0,761027,0,176,0,763294
0,0,1176085,0,117,0,1178466
1,0,52601,1,116,1,53359
1,0,94266,1,222,1,96434
1,0,43330,1,197,1,45480
0,0,602554,0,81,0,604953
1,0,4134,0,12,1,5633
1,0,811541,0,182,1,813661
0,0,1969,1,72,0,4215
0,0,478230,0,37,0,480713
1,0,112868,1,8,1,114439
0,0,12933,0,64,0,14957
1,0,354673,0,107,1,356577
0,0,42840,0,101,0,45278
1,0,48507,1,122,1,50723
1,0,560179,0,173,1,562476
0,0,53914,1,86,0,56175
1,0,2,1,65,1,1621
0,0,2307,1,115,0,4679
0,0,9286,1,125,0,11646
0,0,485114,0,96,0,487264
0,0,44773,1,178,0,47037
0,0,369323,0,172,0,371476
0,0,476408,0,10,0,477337
0,0,827244,1,195,0,828692
1,0,906619,0,32,1,909033
0,0,1,0,3,0,1062
0,0,12949,1,209,0,15153
1,0,79698,1,11,1,81519
0,0,62692,1,218,0,65232
0,0,709519,0,49,0,710857
0,0,74154,1,28,0,76316
1,0,796943,0,225,1,799420
0,0,5182,1,128,0,7491
0,0,2,1,50,0,2056
0,0,2638,0,45,0,4947
1,0,439797,1,94,1,441740
0,0,2325364,0,17,0,2326647
1,0,775140,0,224,1,777368
1,0,49540,1,234,1,51771
0,0,56687,1,40,0,59089
1,0,111105,1,169,1,113111
0,0,77369,1,119,0,79561
1,0,1449053,0,130,1,1451239
0,0,1006993,0,44,0,1009290
1,0,168412,1,124,1,170211
0,0,3179,1,54,0,4516
0,0,610807,0,112,0,611448
0,0,2860,1,160,0,5046
1,0,1373202,0,121,1,1375691
0,0,1761,1,166,0,4025
1,0,222371,1,202,1,224206
1,0,687517,0,83,1,689616
