Gender,SiblingName,BirthDate,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
1,0,31,3,7,31,17,1,17,75
0,0,79,4,45,13,54,0,17,29
1,0,69,3,54,38,31,1,15,3
1,0,28,3,26,33,37,1,27,58
0,0,42,4,76,76,64,0,10,79
0,0,47,4,81,71,42,0,3,48
0,0,84,4,75,75,41,0,15,39
1,0,41,4,83,47,10,0,2,63
1,0,67,3,17,17,48,1,9,54
1,0,0,4,87,1,13,0,15,48
1,2,56,3,18,27,34,1,3,24
1,0,73,3,65,58,39,1,0,4
1,0,46,3,34,41,22,1,15,70
1,0,57,3,37,30,76,1,8,78
1,0,59,4,44,43,2,0,13,26
0,0,70,4,80,11,52,0,15,48
0,0,39,4,78,77,81,0,7,36
0,0,6,4,2,83,71,0,14,65
0,0,14,4,57,62,73,1,17,31
1,0,17,3,62,46,27,1,23,15
1,0,12,3,23,42,6,1,6,74
1,0,81,4,77,16,18,0,10,68
0,0,18,4,12,84,59,0,1,59
1,0,80,3,53,28,19,1,15,72
0,0,43,4,47,82,74,0,9,44
0,0,9,6,64,15,83,1,6,32
1,0,52,3,42,52,35,1,9,17
0,0,66,4,27,8,85,0,0,60
0,0,44,4,35,63,58,0,25,55
1,0,49,3,15,20,33,1,9,67
0,0,4,4,0,60,26,0,14,0
0,0,11,4,68,9,50,0,1,42
0,0,71,4,28,64,55,0,13,69
1,0,40,3,13,49,4,1,1,23
1,1,24,3,40,48,84,1,22,1
0,0,33,4,66,72,53,0,8,48
1,0,50,3,50,36,8,1,3,11
1,0,63,3,79,45,38,1,18,48
0,0,75,4,86,61,65,0,17,48
1,0,37,3,48,22,20,1,11,9
1,1,15,3,73,44,77,1,4,64
0,0,7,4,4,67,1,0,5,25
1,0,2,3,46,32,21,1,22,73
0,0,32,4,6,73,45,0,4,22
0,0,29,4,67,85,80,0,7,18
0,0,5,1,36,12,61,1,14,53
0,0,58,4,29,65,44,0,15,71
0,0,32,4,20,69,40,0,3,47
1,0,38,3,31,26,25,1,5,76
1,0,22,3,22,53,28,1,15,50
0,0,53,4,9,4,43,0,20,48
1,0,35,3,87,23,7,1,15,48
0,0,66,4,59,66,62,0,13,40
1,0,74,4,60,24,75,0,26,5
0,0,19,4,74,87,46,0,11,41
0,0,25,4,56,5,85,0,24,37
1,0,45,3,72,50,30,1,12,14
1,0,54,3,38,35,11,1,13,20
1,0,83,3,19,34,32,1,17,48
0,0,64,4,21,80,67,0,9,45
1,0,48,3,55,21,14,1,26,12
0,0,65,4,52,70,85,0,17,43
1,0,78,3,49,37,12,1,9,8
0,0,20,4,39,86,70,0,5,49
1,0,62,3,70,57,24,1,8,6
1,0,60,3,71,55,29,1,26,2
0,0,72,4,16,0,68,0,9,61
1,0,3,3,1,25,15,1,14,51
1,0,61,3,69,54,5,1,14,10
0,0,55,4,24,6,69,0,25,46
1,0,13,3,43,40,78,1,7,62
1,0,27,0,10,19,23,1,11,77
1,0,23,3,5,51,16,1,2,19
1,1,16,3,14,17,79,1,2,16
1,0,36,3,30,29,3,1,10,27
0,0,82,4,84,78,66,0,0,33
0,0,34,4,25,2,72,0,21,57
0,0,42,4,8,81,63,0,17,56
0,0,68,4,85,7,85,0,17,38
0,0,30,4,82,68,49,0,15,48
0,0,51,2,63,14,47,1,26,34
1,0,8,3,51,39,0,1,11,7
1,0,76,3,61,18,9,1,10,13
0,0,85,4,33,74,51,0,15,30
0,0,10,4,32,79,57,0,19,52
1,0,1,5,58,59,82,1,16,66
0,0,77,4,41,10,56,0,13,35
1,0,21,4,11,56,36,0,15,28
0,0,26,4,3,3,60,0,26,21
