HEIGHT_CM,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,FREEBASE_ID
7,1,11009.0,5139.0,1,188233.0,140904.0,1,15722.0,6,55131.0,7,65.0,8,12,1,27924.0,581.0,5
8,6,6679.0,2086.0,0,170534.0,140786.0,0,12728.0,13,22143.0,0,82.0,3,6,0,9414.0,377.0,14
9,11,38094.0,13229.0,11,92341.0,140659.0,11,17815.0,2,59962.0,7,72.0,14,17,11,32681.0,2313.0,7
8,14,26009.0,12193.0,15,1940308.0,140797.0,15,9096.0,19,54603.0,7,78.0,13,18,15,30229.0,784.0,9
5,2,10770.0,7089.0,2,,140301.0,2,15551.0,10,45955.0,1,70.0,11,11,2,16714.0,767.0,2
7,16,5275.0,846.0,18,,140758.0,18,11520.0,16,26885.0,7,74.0,4,5,18,10655.0,53.0,12
10,0,13279.0,243.0,8,,140771.0,8,17357.0,3,13747.0,7,80.0,0,16,8,4340.0,89.0,3
10,3,2453.0,73.0,6,475000.0,140846.0,6,1844.0,17,15924.0,7,81.0,1,14,6,703.0,12.0,8
1,13,2747.0,3448.0,13,1352523.0,140768.0,13,2120.0,4,32923.0,5,70.0,6,1,13,16824.0,14.0,10
0,19,49154.0,16941.0,5,300070.0,140071.0,5,55236.0,1,75873.0,3,54.0,12,2,5,39969.0,3213.0,19
2,15,2216.0,4658.0,10,,140060.0,10,6833.0,9,32722.0,7,62.0,10,10,10,19084.0,2349.0,16
11,4,,18239.0,3,6233.0,137576.0,3,,0,67201.0,7,,18,9,3,66614.0,6410.0,0
4,10,43329.0,17902.0,9,,131925.0,9,32534.0,5,68833.0,4,,17,8,9,39987.0,6100.0,18
3,12,58428.0,21992.0,12,23650.0,168776.0,12,,15,86895.0,7,,19,15,12,77835.0,16793.0,1
9,5,44733.0,16677.0,17,213342.0,140118.0,17,55213.0,7,73892.0,9,69.0,16,4,17,64982.0,2324.0,17
5,7,6978.0,4377.0,4,7658.0,140865.0,4,1203.0,14,198213.0,2,76.0,9,7,4,18964.0,31.0,4
6,9,20041.0,6807.0,16,61270.0,140781.0,16,28206.0,11,32596.0,8,67.0,7,3,16,21225.0,114.0,6
4,17,17431.0,358.0,7,27999.0,140926.0,7,20228.0,12,29268.0,7,76.0,2,14,7,9328.0,550.0,11
1,8,47066.0,16881.0,14,41605.0,140633.0,14,47478.0,18,59614.0,6,,15,0,14,32178.0,2530.0,15
5,18,11585.0,1994.0,19,569371.0,140778.0,19,16105.0,8,28378.0,10,65.0,5,13,19,13069.0,133.0,13
