GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,457299,23,24,5,0,36,444493,0,2
0,0,619973,32,32,9,0,38,615033,1,3
0,0,600126,1,4,5,0,26,586135,1,0
0,0,1580859,51,49,5,0,21,1568134,0,4
0,0,199249,71,2,2,0,44,186911,1,6
0,0,210224,117,2,3,0,39,202224,1,7
0,0,542942,86,80,5,0,55,540299,0,8
0,0,3008823,54,53,5,0,27,2996095,0,5
0,0,371878,14,16,5,0,24,357770,0,1
0,0,73304,78,72,5,0,19,72098,0,8
0,0,174817,122,114,8,0,26,161213,1,9
0,0,1061578,8,10,5,0,31,1048943,0,0
0,0,370561,44,43,5,0,22,356453,0,4
0,0,71996,99,93,6,0,29,70521,0,8
0,0,717862,55,1,1,0,27,704939,1,5
0,0,1128847,17,18,5,0,21,1116164,1,1
0,0,160124,115,109,6,0,43,152517,1,7
0,0,225452,81,75,6,0,23,219942,0,8
0,0,228655,62,2,2,0,27,216317,1,5
0,0,60020,114,108,6,0,43,51360,1,7
0,0,10979405,108,102,5,0,58,10975584,0,7
0,0,252137,61,57,5,0,27,238338,1,5
0,0,580175,41,41,9,0,15,575436,1,4
0,0,6427643,107,101,10,0,1,6425472,0,7
0,0,318888,15,2,2,0,4,306757,0,1
0,0,1492996,4,7,0,0,20,1480268,0,0
0,0,1085442,49,47,5,0,10,1072750,1,4
0,0,441009,34,34,5,0,33,428203,0,3
0,0,534020,12,14,5,0,13,520023,1,1
0,0,157361,68,63,5,0,40,143442,0,6
0,0,584215,5,8,5,0,42,569336,0,0
0,0,717468,90,84,6,0,22,715738,1,8
0,0,201028,116,2,3,0,20,198806,1,7
0,0,734032,37,37,0,0,0,720668,1,3
1,0,87262,121,113,7,1,58,74336,1,9
0,0,1324696,124,116,8,0,61,1314128,0,9
0,0,938171,58,55,5,0,26,925431,0,5
1,0,676825,79,73,0,1,20,663824,1,8
0,0,149332,85,79,0,0,24,139650,1,8
0,0,50841,113,107,5,0,9,46996,1,7
0,0,1468307,50,48,5,0,35,1454373,0,4
0,0,224159,83,77,5,0,32,211680,0,8
0,0,599025,42,50,5,0,7,585022,1,4
0,0,223727,48,46,5,0,10,211032,1,4
0,0,314367,25,2,2,0,1,302236,0,2
0,0,2295923,57,54,5,0,27,2283465,0,5
0,0,941340,56,50,5,0,27,927364,0,5
0,0,2397623,127,119,8,0,52,2385656,0,9
0,1,75479,97,91,5,0,50,74337,0,8
0,0,1038075,47,45,4,0,1,1025062,0,4
0,0,949894,120,112,5,0,37,937136,0,9
0,0,1119485,9,11,5,0,10,1106802,1,0
0,0,241937,28,28,5,0,32,229227,1,2
0,0,515155,11,13,9,0,16,510416,1,1
0,0,685191,64,59,5,0,38,672268,1,6
0,0,5454,73,67,6,0,5,1,1,8
0,0,635517,110,104,6,0,54,626020,0,7
0,0,4445734,106,100,6,0,58,4440768,0,7
0,0,614264,43,42,5,0,14,599991,0,4
1,0,139548,96,90,4,1,4,137248,1,8
0,0,3193108,128,120,8,0,52,3180295,0,9
