GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,457299,23,24,5,0,35,444493,0,2
0,0,619973,32,32,9,0,37,615033,1,3
0,0,600126,1,4,5,0,25,586135,1,0
0,0,1468307,49,48,5,0,34,1454373,0,4
0,0,1085442,48,47,5,0,9,1072750,1,4
0,0,201028,116,2,3,0,19,198806,1,7
0,0,542942,85,80,5,0,54,540299,0,8
0,0,2295923,57,55,5,0,26,2283465,0,5
0,0,371878,14,16,5,0,23,357770,0,1
0,0,71996,97,92,6,0,28,70521,0,8
0,0,174817,122,115,8,0,25,161213,1,9
0,0,1061578,8,10,5,0,30,1048943,0,0
0,0,173849,71,67,5,0,34,160050,1,6
0,0,70420,96,91,6,0,46,68651,0,8
0,0,3524450,53,53,5,0,24,3523044,1,5
0,0,1128847,17,18,5,0,20,1116164,1,1
0,0,151125,114,109,5,0,43,146248,1,7
0,0,225452,80,75,6,0,22,219942,0,8
0,0,228655,62,2,2,0,26,216317,1,5
0,0,50841,113,108,5,0,8,46996,1,7
0,0,10553720,107,102,6,0,2,10551144,0,7
0,0,252137,61,58,5,0,26,238338,1,5
0,0,3008823,54,54,5,0,26,2996095,0,5
0,0,6424585,105,100,5,0,2,6421568,0,7
0,0,318888,15,2,2,0,5,306757,0,1
0,0,1492996,4,7,0,0,19,1480268,0,0
0,0,223727,47,46,5,0,9,211032,1,4
0,0,441009,34,34,5,0,32,428203,0,3
0,0,534020,12,14,5,0,12,520023,1,1
0,0,672069,63,59,5,0,0,659329,0,6
0,0,584215,5,8,5,0,42,569336,0,0
0,0,717468,89,84,6,0,21,715738,1,8
0,0,160124,115,110,6,0,43,152517,1,7
0,0,734032,37,37,0,0,1,720668,1,3
1,0,87262,121,114,7,1,57,74336,1,9
0,0,1324696,124,117,8,0,60,1314128,0,9
0,0,938171,58,56,5,0,25,925431,0,5
1,0,676825,78,73,0,1,19,663824,1,8
0,0,149332,84,79,0,0,23,139650,1,8
0,0,69098,112,107,5,0,33,55130,0,7
0,0,792589,73,68,5,0,55,778640,0,6
0,0,10979405,108,103,5,0,57,10975584,0,7
0,0,580175,41,41,9,0,14,575436,1,4
0,0,1038075,46,45,4,0,2,1025062,0,4
0,0,314367,25,2,2,0,2,302236,0,2
0,0,947681,56,50,9,0,26,942792,0,5
0,0,717862,55,1,1,0,26,704939,1,5
0,0,2397623,127,120,8,0,51,2385656,0,9
0,0,563442,92,87,6,0,3,561070,1,8
0,0,709031,45,44,5,0,8,695619,1,4
0,0,949894,120,113,5,0,36,937136,0,9
0,0,1119485,9,11,5,0,9,1106802,1,0
0,0,241937,28,28,5,0,31,229227,1,2
0,0,515155,11,13,9,0,15,510416,1,1
