GENDER,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIOGRAPHY,NATIONALITY,SPORT_TYPE,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,33,1761.0,11.0,34,226940.0,140750.0,34,1363.0,4,1,3,19,13978.0,7,0,82.0,8,125415.0,4,33,2452.0,33.0,11,192.0,16,9
0,9,43344.0,16653.0,6,63128.0,140818.0,6,45469.0,14,2,0,1,64670.0,4,0,78.0,28,125020.0,9,5,52068.0,2337.0,1,181.0,30,3
0,18,7153.0,544.0,20,10861.0,140516.0,20,11845.0,1,0,3,4,12974.0,3,0,81.0,3,,12,19,7364.0,547.0,11,190.0,10,0
0,15,43387.0,14321.0,15,,140505.0,14,54516.0,24,12,3,23,422366.0,0,0,60.0,23,133661.0,14,14,24864.0,2977.0,4,173.0,31,11
0,13,16313.0,3333.0,12,134950.0,140752.0,12,19461.0,2,1,3,15,44513.0,2,0,74.0,15,126409.0,31,11,18746.0,150.0,11,181.0,8,1
0,6,785.0,989.0,3,,140417.0,3,593.0,25,4,3,5,26797.0,6,0,73.0,5,,2,2,9898.0,45.0,10,190.0,23,5
0,30,61775.0,23299.0,19,23252.0,164709.0,19,,21,12,3,30,89223.0,1,0,68.0,33,,24,18,72207.0,25726.0,7,186.0,4,9
0,11,4461.0,336.0,32,,140687.0,32,3514.0,25,1,3,14,13540.0,7,0,72.0,4,,7,31,8996.0,28.0,11,182.0,32,9
0,4,16289.0,5.0,2,470645.0,140924.0,2,19443.0,21,12,3,20,14575.0,7,0,61.0,6,103634.0,30,1,7005.0,38.0,10,177.0,18,11
0,29,15757.0,2321.0,26,105592.0,140747.0,26,19065.0,10,7,3,3,28366.0,7,0,75.0,12,111603.0,26,25,10533.0,29.0,11,190.0,9,8
0,19,49291.0,16898.0,17,,138803.0,17,54901.0,19,2,0,27,499064.0,4,0,,19,,15,16,58966.0,8094.0,9,,33,9
0,22,27794.0,12923.0,24,156620.0,140821.0,24,28843.0,18,9,3,6,58528.0,8,0,65.0,26,120895.0,16,23,36053.0,2961.0,10,176.0,26,9
0,26,41892.0,19165.0,25,16935.0,137797.0,25,,12,7,1,31,66315.0,7,0,73.0,31,,27,24,43238.0,11313.0,6,184.0,3,9
0,2,10227.0,3360.0,35,133768.0,140843.0,35,15207.0,15,3,0,7,28586.0,5,0,75.0,14,125462.0,17,34,18086.0,95.0,11,185.0,11,4
0,25,4616.0,1668.0,29,,139290.0,29,3625.0,25,2,3,12,22103.0,4,0,65.0,2,,8,28,10105.0,591.0,11,178.0,7,9
0,35,23059.0,5262.0,22,22846.0,140612.0,22,1434.0,25,2,4,2,30737.0,4,0,67.0,20,,5,21,19738.0,161.0,3,183.0,17,9
0,8,18162.0,990.0,7,,140851.0,7,20756.0,6,13,4,11,14422.0,3,1,83.0,7,90392.0,34,6,9574.0,47.0,11,190.0,13,12
0,10,22663.0,5789.0,8,1529344.0,140869.0,8,12014.0,5,5,3,21,43936.0,6,0,69.0,16,126950.0,10,7,22017.0,713.0,4,186.0,14,6
0,1,47885.0,18123.0,23,21399.0,139801.0,23,55661.0,7,6,3,32,68832.0,7,0,71.0,29,1303133.0,29,22,58401.0,6309.0,11,179.0,2,2
0,0,3262.0,387.0,1,1397142.0,137456.0,1,2513.0,22,12,3,17,518429.0,11,0,62.0,9,111578.0,6,0,1567.0,3.0,10,176.0,22,11
0,5,52038.0,20697.0,0,9866.0,156131.0,0,69727.0,19,4,3,25,86630.0,6,0,68.0,32,144169.0,3,0,68186.0,20584.0,6,180.0,1,5
0,27,23167.0,7728.0,30,78246.0,140240.0,30,34749.0,3,1,3,14,53912.0,7,0,76.0,21,,32,29,28216.0,1581.0,11,189.0,21,1
0,34,15225.0,2437.0,31,,140630.0,31,9635.0,25,11,3,29,30369.0,10,0,68.0,18,111612.0,35,30,13510.0,147.0,10,176.0,12,10
0,12,,2481.0,9,,140073.0,9,,11,7,0,8,30009.0,7,0,,11,,20,8,10591.0,1842.0,2,,34,9
0,16,19558.0,3828.0,14,65423.0,140870.0,15,5609.0,9,6,2,10,34012.0,7,0,69.0,13,113255.0,11,13,21215.0,264.0,1,182.0,15,2
0,3,46381.0,18610.0,16,77168.0,137427.0,16,56596.0,13,2,1,26,71557.0,4,0,62.0,30,133837.0,0,15,63999.0,12474.0,5,173.0,0,9
0,24,26009.0,12193.0,28,1940308.0,140797.0,28,9096.0,20,10,2,33,54603.0,9,0,78.0,25,125137.0,22,27,30229.0,784.0,0,184.0,20,9
0,31,30398.0,9794.0,4,37720.0,140493.0,4,31964.0,0,14,0,22,62315.0,7,0,63.0,22,,25,3,43241.0,2277.0,10,175.0,28,13
0,20,12135.0,101.0,18,,140774.0,18,16495.0,19,4,0,18,15461.0,6,0,66.0,1,103630.0,21,17,3302.0,281.0,11,174.0,24,5
0,32,60759.0,22794.0,11,37069.0,168760.0,11,,21,12,3,0,86857.0,1,0,61.0,35,,18,10,81087.0,1527.0,8,177.0,35,9
0,21,15997.0,67.0,21,,140418.0,21,19254.0,25,4,3,5,12711.0,6,0,74.0,0,,28,20,7526.0,184.0,11,181.0,25,5
0,7,14464.0,2022.0,5,,140242.0,5,18192.0,17,8,3,16,28862.0,7,0,68.0,17,111599.0,23,4,9556.0,7.0,11,186.0,19,7
0,23,54668.0,21392.0,27,18425.0,135315.0,27,,2,1,3,24,93654.0,2,0,71.0,27,,19,26,77634.0,22682.0,6,184.0,5,1
0,14,420.0,2023.0,13,,140422.0,13,327.0,23,12,3,9,32099.0,11,0,63.0,10,,13,12,14358.0,18.0,11,173.0,29,11
0,17,39287.0,13240.0,10,66281.0,140835.0,10,10495.0,16,4,4,13,55029.0,6,1,67.0,24,122451.0,33,9,21075.0,1310.0,11,178.0,27,5
0,28,55907.0,20793.0,33,2918.0,168755.0,33,,8,6,3,28,461093.0,7,0,73.0,34,,1,32,66627.0,16610.0,7,178.0,6,2
