GENDER,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIOGRAPHY,NATIONALITY,SPORT_TYPE,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,7,61538.0,24057.0,9,,177672.0,9,,16,5,5,37,91640.0,6,1,82.0,33,136635.0,14,8,79184.0,27099.0,18,193.0,27,6
1,21,61866.0,23334.0,23,160840.0,185156.0,24,,5,2,3,27,97634.0,11,1,65.0,26,133265.0,21,22,100717.0,35077.0,7,170.0,4,2
1,30,23167.0,7728.0,34,78246.0,140240.0,35,34749.0,3,1,3,16,53912.0,7,1,76.0,7,,38,33,28216.0,1581.0,17,189.0,15,1
1,39,,13274.0,29,11887.0,140884.0,29,54534.0,20,10,3,38,54576.0,9,1,67.0,9,125029.0,32,27,15712.0,1008.0,1,180.0,16,9
1,14,16313.0,3333.0,11,134950.0,140752.0,12,19461.0,2,1,3,17,44513.0,2,1,74.0,5,126409.0,37,11,18746.0,150.0,17,181.0,8,1
1,1,7764.0,1237.0,6,41367.0,140800.0,6,6404.0,24,12,3,13,29164.0,3,1,70.0,3,120395.0,17,6,10911.0,706.0,16,183.0,14,12
1,37,70304.0,26482.0,16,,196333.0,17,,19,10,3,5,107840.0,9,1,63.0,36,146032.0,1,15,108403.0,50303.0,14,178.0,27,10
1,8,52038.0,20697.0,0,9866.0,156131.0,0,69727.0,21,5,3,29,86630.0,6,1,68.0,23,144169.0,5,0,68186.0,20584.0,9,180.0,1,6
1,36,11585.0,1994.0,38,569371.0,140778.0,39,16105.0,17,5,3,21,28378.0,6,1,65.0,2,111576.0,23,37,13069.0,133.0,17,181.0,18,6
1,24,,,28,,244513.0,10,,2,1,3,2,650088.0,7,1,,40,,16,9,150206.0,123589.0,15,,27,9
1,13,44733.0,16677.0,37,213342.0,140118.0,38,55213.0,11,8,0,18,73892.0,7,1,69.0,16,135249.0,10,36,64982.0,2324.0,5,185.0,21,8
1,22,43388.0,14319.0,25,67673.0,140293.0,26,54517.0,29,13,0,23,68367.0,0,1,63.0,11,,20,24,58588.0,2278.0,17,173.0,19,9
1,18,19558.0,3828.0,14,65423.0,140870.0,16,5609.0,8,7,2,8,34012.0,7,1,69.0,4,113255.0,13,13,21215.0,264.0,2,182.0,11,3
1,20,27794.0,12923.0,22,156620.0,140821.0,23,28843.0,18,9,3,7,58528.0,8,1,65.0,15,120895.0,19,21,36053.0,2961.0,16,176.0,17,9
1,38,54395.0,20730.0,39,252749.0,168961.0,40,,2,1,1,12,75859.0,2,1,70.0,29,141009.0,39,38,74709.0,18258.0,11,187.0,5,1
1,23,53778.0,21261.0,26,2006.0,174179.0,27,,0,0,5,6,78098.0,7,1,74.0,25,,30,25,70986.0,21855.0,14,189.0,6,0
1,27,56041.0,20719.0,32,127549.0,174582.0,33,66232.0,23,11,4,34,88889.0,10,1,65.0,10,135863.0,28,31,72449.0,18655.0,9,177.0,25,9
1,11,22663.0,5789.0,4,1529344.0,140869.0,4,12014.0,4,6,3,24,43936.0,6,1,69.0,6,126950.0,12,4,22017.0,713.0,4,186.0,10,7
1,29,52044.0,20798.0,20,9184.0,132438.0,21,66541.0,15,4,3,3,86938.0,5,1,70.0,24,143404.0,29,19,71789.0,16643.0,11,183.0,27,5
1,31,39842.0,12843.0,27,1311517.0,140292.0,28,52504.0,6,2,3,35,67388.0,11,1,58.0,12,141955.0,27,26,57418.0,2276.0,3,166.0,20,2
1,16,62165.0,23497.0,12,18436.0,168768.0,14,,25,13,3,11,86585.0,11,1,,32,,15,12,74156.0,11828.0,17,183.0,27,9
1,10,3132.0,1861.0,17,,140928.0,18,2412.0,28,13,3,32,23069.0,11,1,69.0,1,,7,16,1472.0,288.0,0,175.0,9,9
1,34,60759.0,22794.0,7,37069.0,168760.0,7,,26,13,3,1,86857.0,1,1,61.0,30,,22,7,81087.0,1527.0,11,177.0,27,9
1,26,,16784.0,28,,139562.0,32,,9,8,0,36,60649.0,7,1,,17,,24,30,38446.0,7985.0,17,,7,9
1,17,69878.0,26378.0,13,,206876.0,15,,5,2,3,26,162777.0,7,1,,35,,33,12,118440.0,61639.0,8,168.0,27,2
1,4,16289.0,5.0,1,470645.0,140924.0,1,19443.0,26,13,3,22,14575.0,7,1,61.0,0,103634.0,36,1,7005.0,38.0,16,177.0,13,13
1,27,56041.0,20719.0,32,127549.0,174582.0,33,66232.0,23,11,4,34,88889.0,10,1,65.0,10,135863.0,28,31,72449.0,18655.0,9,177.0,25,9
1,11,22663.0,5789.0,4,1529344.0,140869.0,4,12014.0,4,6,3,24,43936.0,6,1,69.0,6,126950.0,12,4,22017.0,713.0,4,186.0,10,7
1,40,85759.0,29419.0,8,,210108.0,8,,16,5,3,20,306260.0,6,1,,39,,2,8,152554.0,80586.0,14,,27,9
1,5,,25671.0,10,,179909.0,11,,26,13,0,19,140235.0,11,1,,28,,31,10,81023.0,25690.0,14,177.0,27,9
1,9,47903.0,17632.0,3,2988.0,137714.0,3,,14,3,3,33,68792.0,4,1,67.0,18,,25,3,61490.0,16566.0,10,190.0,27,4
1,3,46381.0,18610.0,18,77168.0,137427.0,19,56596.0,13,3,1,31,71557.0,4,1,62.0,21,133837.0,0,17,63999.0,12474.0,6,173.0,0,9
