Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
0,1160395,346,346,55,1159709
0,18293,403,403,156,17649
0,7200,132,132,24,6637
0,55025,358,358,100,54438
0,1464254,86,86,96,1463646
1,494817,200,200,14,494134
0,2016292,328,328,62,2015537
0,9057,387,387,90,8128
0,4555,130,130,130,3962
0,683253,96,96,57,682675
0,844685,367,367,112,844098
0,112468,400,400,37,111971
0,4870,339,339,139,4217
0,2682,262,262,130,1954
1,163066,7,7,142,162521
0,1955674,331,331,160,1955171
1,756041,97,97,96,755460
1,1368555,308,308,75,1367977
1,1487064,90,90,28,1486369
1,44362,299,299,121,43754
0,265007,256,256,5,264339
0,128464,415,415,7,128075
1,1921473,106,106,57,1920904
0,458814,351,351,99,458125
0,316703,370,370,46,316059
0,548591,223,223,41,548190
0,1604078,114,114,75,1603452
0,85370,59,59,76,84681
0,17407,259,259,43,16820
0,1033564,296,296,167,1032920
0,1738968,26,26,41,1738420
1,6677,378,378,89,6162
1,278070,219,219,157,277438
0,1731530,335,335,57,1730895
0,477620,203,203,112,476973
0,567879,380,380,88,567310
0,10321,124,124,43,9749
0,1686468,110,110,96,1685914
0,7629,227,227,43,6979
0,1645,355,355,104,1004
1,376974,53,53,150,376393
1,807869,23,23,117,807330
1,426818,134,134,128,426186
1,39701,50,50,43,39237
0,307213,257,257,14,306524
1,782,44,44,126,129
1,1132814,316,316,57,1132212
1,36247,70,70,63,35642
1,170789,66,66,31,170208
1,717564,268,268,122,716974
1,1637787,112,112,57,1637185
0,487905,167,167,150,487330
1,628319,181,181,65,627354
0,1932015,105,105,96,1931470
0,2027,38,38,71,1341
0,1743790,334,334,57,1743146
0,515441,204,204,65,514617
1,1118634,318,318,152,1117975
0,347837,17,17,9,347313
0,250738,322,322,157,250097
1,1579,2,2,166,1004
0,570400,74,74,114,569783
1,552848,142,142,163,552180
0,52129,263,263,130,51491
1,19103,379,379,31,18480
0,4829,255,255,38,4128
1,603114,236,236,15,602248
0,436400,11,11,26,435816
0,1148872,409,409,34,1148204
0,339516,222,222,82,338926
1,1581481,212,212,84,1580900
1,1081012,405,405,169,1080440
0,15668,343,343,20,15015
1,6518,302,302,150,5874
1,33001,18,18,47,32291
1,504309,427,427,145,503911
1,668902,146,146,77,668282
0,1995197,214,214,149,1994529
0,216763,321,321,143,216122
1,588625,154,154,108,587969
0,416038,382,382,64,415541
1,463493,99,99,79,462885
1,14001,393,393,153,13402
0,385637,19,19,55,384969
1,602338,319,319,92,601643
1,1845,388,388,87,1489
1,375081,120,120,25,374536
0,1473130,85,85,27,1472456
1,1134002,407,407,48,1133424
0,444695,30,30,110,444042
0,42175,385,385,149,41594
0,9261,126,126,43,8539
0,382637,55,55,157,382086
1,35038,301,301,120,34388
0,416102,245,245,23,415509
1,13194,348,348,105,12661
1,653543,82,82,54,652923
1,320021,422,422,97,319437
0,78452,298,298,85,77844
0,2893,383,383,147,2228
1,38888,77,77,56,38181
1,22995,303,303,56,22609
1,1066542,404,404,69,1065931
0,438865,350,350,21,438233
0,345916,151,151,133,345353
0,499409,365,365,55,498789
0,262228,36,36,168,261515
1,350824,413,413,98,350453
0,224418,164,164,21,223792
0,17055,46,46,43,16375
1,1049,282,282,68,204
1,807166,149,149,116,806492
1,874302,273,273,117,873739
1,281,9,9,73,3
0,16035,341,341,53,15472
1,311595,411,411,98,311224
1,6125,10,10,73,5631
0,578960,75,75,114,578253
0,1670681,27,27,122,1670067
0,544317,144,144,112,543658
0,285006,244,244,133,284026
0,482096,252,252,109,481446
0,16573,162,162,126,15977
0,1236,123,123,0,691
1,2152710,104,104,160,2152117
0,218124,163,163,21,217234
1,505974,293,293,15,505327
0,314714,121,121,25,314181
0,729959,94,94,17,729363
1,358436,276,276,56,358038
1,594102,230,230,43,593512
1,22696,71,71,61,22061
0,1261581,323,323,129,1260970
0,160801,402,402,49,160181
0,10872,102,102,102,10210
1,412598,278,278,45,411981
1,517192,292,292,6,516578
1,53893,305,305,42,53279
0,253563,286,286,131,252895
0,237931,284,284,23,237338
0,266589,174,174,21,265723
0,1078119,190,190,160,1077559
1,468817,295,295,6,467864
1,1243238,184,184,160,1242540
0,1176204,398,398,5,1175530
0,6197,386,386,154,5628
1,47042,78,78,31,46335
0,374682,40,40,17,374062
0,1420673,89,89,160,1420101
1,388432,192,192,74,388043
0,70633,57,57,126,70109
0,11230,373,373,125,10535
0,694973,306,306,70,694383
0,1677970,116,116,136,1677395
0,5761,374,374,22,5141
0,1886263,215,215,101,1885670
1,311313,421,421,135,310645
1,282372,171,171,47,281740
0,456160,320,320,118,455483
1,36542,384,384,149,35961
0,541203,101,101,65,540331
1,377041,362,362,25,376496
1,1142859,408,408,48,1142287
1,1481322,91,91,75,1480762
1,1306828,206,206,91,1306226
1,1739,5,5,34,1236
0,410649,138,138,31,410251
0,1587490,209,209,91,1586741
1,2442,283,283,29,1612
1,327963,423,423,97,327337
0,1411596,20,20,17,1410949
0,260483,175,175,99,259935
0,917604,272,272,101,916954
1,371048,275,275,98,370350
1,11470,45,45,126,11081
0,377176,139,139,98,376607
0,1943209,8,8,57,1942577
1,7470,267,267,126,6853
0,120884,33,33,106,120498
1,21243,14,14,16,20602
1,617680,231,231,15,617066
0,340144,412,412,98,339536
0,862102,240,240,1,861431
0,1875155,216,216,48,1874526
1,633183,232,232,95,632827
0,59685,47,47,76,58891
0,1611491,329,329,122,1610868
0,31626,356,356,22,31012
1,76266,277,277,47,75574
0,430625,12,12,133,430509
0,288480,173,173,99,287506
0,1187163,345,345,168,1186465
0,1200244,311,311,57,1199621
0,18926,389,389,151,18276
1,2115566,24,24,96,2114982
1,1109679,315,315,96,1109041
1,1559,49,49,43,987
0,413954,417,417,17,413337
1,159847,65,65,98,159101
1,1139142,314,314,57,1138561
1,462219,363,363,115,461563
1,1348,165,165,43,512
0,1344856,196,196,123,1344239
1,203566,68,68,56,203195
1,3660,193,193,43,3085
0,1001979,93,93,165,1001410
0,1671935,117,117,120,1671336
1,3008,160,160,143,2760
0,17644,347,347,155,17072
0,393310,279,279,10,392783
0,1025055,189,189,75,1024453
1,1654543,29,29,150,1654004
1,11006,13,13,139,10434
0,1840810,108,108,57,1840178
1,1182146,312,312,57,1181541
1,356421,430,430,137,355831
0,398667,247,247,23,398035
1,1235855,185,185,96,1235211
0,1806636,336,336,146,1806064
0,7249,51,51,43,6641
0,452612,280,280,96,451995
0,425782,137,137,47,425384
0,1121,1,1,162,531
1,725245,148,148,116,724664
0,7534,342,342,148,7151
0,14571,376,376,101,14272
0,244449,287,287,119,243556
0,622513,25,25,96,621803
0,261062,172,172,31,260553
0,253089,176,176,21,252442
0,305429,371,371,9,304515
0,690105,145,145,55,689434
1,26110,304,304,31,25487
0,55203,79,79,31,54550
1,6670,225,225,43,6140
0,467996,364,364,163,467418
0,1079,125,125,76,750
1,1784731,332,332,146,1784156
0,1392058,307,307,165,1391459
1,174019,63,63,47,173294
1,44727,394,394,66,44119
0,978860,274,274,117,978390
0,7294,260,260,43,6638
0,9111,129,129,76,8734
1,641578,81,81,54,640880
0,2852,16,16,36,2211
0,1610144,113,113,75,1609563
1,225709,67,67,33,225092
1,873,4,4,32,262
0,462632,136,136,97,462006
0,1707,377,377,87,1054
0,555039,76,76,78,554104
0,897457,271,271,60,896894
1,528985,291,291,15,528356
1,930600,241,241,168,929947
0,459742,248,248,26,459083
0,8892,375,375,4,8245
0,410431,179,179,63,409799
1,95645,62,62,111,95094
1,296809,420,420,97,296102
1,438791,31,31,143,438168
0,302673,243,243,46,302005
0,332148,410,410,98,331510
0,22912,56,56,130,22523
1,20624,72,72,67,19953
0,276224,133,133,81,275592
1,605996,237,237,6,605367
0,610905,153,153,135,610333
1,893116,238,238,11,892445
1,9993,32,32,127,9376
1,1448091,87,87,17,1447573
1,12594,195,195,94,11959
0,389569,246,246,109,388676
0,28027,42,42,126,27344
0,406686,135,135,97,406078
0,32545,261,261,126,31979
0,11424,39,39,107,10828
0,474095,353,353,113,473496
1,891600,270,270,41,891058
1,1570983,119,119,96,1570405
1,487260,199,199,124,486679
0,28680,127,127,164,27985
0,478938,100,100,3,478315
0,1109266,397,397,138,1108595
0,21792,344,344,40,21193
1,652493,235,235,6,651543
1,538452,143,143,117,537880
0,21840,228,228,130,21079
0,567898,122,122,62,567485
0,53116,396,396,37,52718
0,308712,369,369,26,308044
1,641268,233,233,132,640657
0,1591262,330,330,70,1590720
0,559332,141,141,80,558976
1,627298,98,98,83,626603
1,555039,428,428,97,554545
0,269583,419,419,135,268954
0,1591401,210,210,129,1590901
1,1060193,187,187,57,1059636
0,272757,178,178,21,271798
0,21892,338,338,53,21179
1,400683,54,54,157,400036
0,11825,43,43,126,11139
1,610947,366,366,168,610288
0,1183104,324,324,39,1182499
0,1871216,107,107,17,1870641
1,1100102,406,406,101,1099440
0,223254,288,288,23,222562
1,2130876,103,103,96,2130250
1,5418,229,229,76,4696
1,274287,170,170,98,273715
0,643220,197,197,65,642618
0,253619,168,168,31,252897
1,190891,64,64,98,190256
1,33533,390,390,147,32910
0,66227,300,300,120,65685
1,1038285,188,188,96,1037734
0,1299223,183,183,96,1298663
0,549268,73,73,159,548651
1,1790185,217,217,34,1789544
1,110877,152,152,161,110344
0,70385,297,297,158,69732
1,375323,425,425,128,374682
1,1894275,109,109,28,1893637
0,48963,357,357,104,48349
