StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,72,313057,145,0,15,312338
0,69,76658,39,1,45,76494
0,83,36547,222,0,37,35690
1,35,2151652,66,0,20,2150759
1,14,749937,93,0,14,749176
1,52,1088191,237,0,19,1087412
1,4,432941,203,1,14,432381
1,20,497744,121,1,15,496932
1,87,33929,166,0,2,32910
1,73,1227756,106,0,20,1227118
1,87,652441,52,1,8,651695
0,41,402463,85,0,5,401243
1,34,2521,109,1,58,1283
1,63,394684,23,0,14,394031
1,55,1098996,238,0,19,1097833
1,55,663709,104,0,19,662936
0,75,738,2,0,23,1
0,40,41030,151,1,68,39978
0,60,2162466,65,0,20,2161639
1,3,937169,156,1,19,936387
1,13,269718,147,1,20,269074
1,8,946792,5,0,14,945539
1,2,15525,110,0,32,14710
1,84,563168,89,1,14,561921
1,43,477748,120,1,15,476525
0,60,731234,56,0,20,730422
1,0,11189,50,0,46,10047
0,24,217780,244,0,5,216641
1,19,1034038,239,0,19,1032938
0,84,779639,94,1,14,778437
0,37,10709,218,1,77,9531
0,39,23056,191,0,73,22262
1,4,667923,92,1,14,666610
0,6,497406,34,1,4,496306
1,38,365512,36,0,4,364310
1,27,3650,148,0,65,2478
0,93,13702,26,1,41,12743
0,8,1057942,132,0,14,1056725
0,57,589228,206,0,14,588062
1,0,10217,29,0,42,9084
1,25,182780,42,1,12,181743
0,50,196658,242,0,5,195561
0,63,387281,11,0,14,386064
0,3,1887968,128,1,19,1886823
1,0,12258,153,0,69,11053
0,8,581117,205,0,14,580287
0,72,386514,171,0,15,385279
1,57,599280,204,0,14,598465
0,55,745129,159,1,9,744176
0,60,1422032,55,0,20,1421220
1,12,1921338,126,1,19,1920505
0,27,28969,25,0,40,28568
0,72,1173402,230,0,15,1172566
0,81,210588,243,0,5,209491
0,29,9998,76,1,50,9753
0,63,1049347,133,0,14,1048619
0,28,358168,102,0,19,357524
0,80,1247221,176,1,18,1246121
0,8,878597,141,0,14,877761
1,27,2004,95,0,52,790
0,79,1778534,130,0,19,1777443
0,72,1193619,231,0,15,1192936
0,27,18090,96,0,53,17131
1,54,2202990,64,0,20,2202343
0,94,153559,234,0,79,152606
0,91,4472,216,0,75,3321
1,54,975187,117,0,20,974237
0,54,1745136,190,0,20,1744339
1,62,19523,47,0,29,18321
0,93,38006,197,0,74,37197
1,68,1147481,173,0,18,1146423
1,32,226729,43,0,12,226322
1,27,10011,38,0,44,9199
1,54,983808,115,0,20,982858
0,95,914563,155,0,19,913814
0,72,400728,172,0,15,399566
1,73,979496,116,0,20,978543
1,43,493669,122,1,15,492404
1,74,41773,164,1,72,40529
1,27,1860,160,0,70,1114
1,27,19594,30,0,43,18863
1,73,1447013,54,0,20,1446237
0,83,31870,221,0,37,31118
1,88,531335,169,0,1,530982
0,72,462427,170,0,15,461594
1,35,1905082,67,0,20,1904309
0,54,1474427,53,0,20,1473666
0,58,1098330,232,0,15,1097515
0,47,41345,78,1,31,40839
0,27,18040,108,0,58,16886
0,49,1062126,196,0,16,1060936
0,8,705599,91,0,14,704769
1,5,77581,7,0,8,76523
0,8,837722,210,0,14,837087
0,0,39296,62,0,48,38151
0,72,272963,214,0,15,272211
0,16,11639,198,1,74,10170
1,28,2187940,182,0,19,2187290
0,98,1471918,179,0,18,1470884
0,78,11872,131,1,61,11348
1,85,1675,215,0,35,854
1,4,551759,87,1,14,550737
1,22,9906,4,0,24,8728
0,8,863354,140,0,14,862533
0,2,2556,167,1,33,1318
1,12,2049687,185,1,19,2048413
0,38,384191,37,0,4,383100
1,53,323886,158,0,11,323095
0,89,571633,48,0,7,570836
0,13,663114,17,1,20,662260
1,23,826530,13,0,19,825718
0,0,14090,63,0,48,12945
0,17,1229889,175,0,18,1228786
0,80,1218003,107,0,20,1217665
0,4,290434,80,1,14,289571
1,5,1022329,213,0,14,1021526
1,1,27009,45,1,29,25858
1,96,987733,114,0,20,987176
1,33,11743,224,0,37,10985
1,25,295086,100,1,12,293887
1,63,941707,6,0,14,940901
0,59,12102,220,0,36,11231
0,48,1588977,123,0,18,1588012
0,61,644758,119,0,6,643769
1,90,17814,235,0,79,16873
1,95,750678,154,0,19,750031
1,44,1790,8,1,25,1116
1,64,7239,180,1,0,5971
0,27,13009,152,0,68,11804
0,67,3587,161,1,71,2544
1,4,1152958,193,1,14,1151783
0,73,1694274,68,0,20,1693627
0,0,1863,103,0,57,1015
0,72,247509,144,0,15,246700
0,96,684782,57,0,20,683826
0,8,1070767,194,0,14,1069991
0,25,137805,157,1,12,136807
1,8,461022,201,0,14,460051
0,46,1577124,187,0,19,1576114
1,27,614,51,0,46,222
0,101,5008,9,0,26,4142
0,0,31139,61,0,48,29922
1,5,375903,35,0,4,374896
0,91,12268,236,0,80,10958
1,80,2029082,21,0,20,2027874
0,27,13418,150,0,67,12669
0,89,550504,49,0,7,549704
1,66,7162,223,0,37,6368
0,34,556235,168,1,1,555144
0,72,1148502,228,0,15,1147669
0,76,381597,15,1,10,380962
1,56,36628,46,0,29,35402
0,48,2155792,183,0,19,2155145
1,18,9178,74,0,30,8375
0,100,26635,162,1,72,25832
0,98,1648331,124,0,18,1647294
0,63,492438,202,0,14,491209
0,53,23852,33,1,28,23046
1,98,1522877,178,0,18,1521903
1,47,178084,111,0,17,176870
0,84,15379,219,0,77,14528
0,82,77977,41,0,3,77144
0,5,617253,207,0,14,616495
0,44,12388,136,0,64,11468
1,8,537352,88,0,14,536177
1,60,35179,44,1,13,34406
1,27,81801,40,0,45,80905
1,95,1912694,127,0,19,1911738
1,25,287088,99,1,12,285889
0,58,1165493,229,0,15,1164663
0,74,29968,163,1,72,28721
0,97,37518,31,0,28,36670
1,55,1783506,129,0,19,1782673
0,24,432927,247,0,5,431740
1,10,2102,112,1,59,1101
0,92,320234,146,0,15,319014
1,4,827468,209,1,14,826311
1,11,4723,24,1,39,4340
1,77,3769,1,0,22,3023
0,52,335,10,0,26,3
1,32,227094,20,0,12,226831
1,27,23810,60,0,47,22572
1,13,1026,225,0,78,841
1,36,13592,101,1,56,12324
1,60,1989097,189,0,20,1988282
0,7,445921,19,1,4,445157
0,5,247162,12,0,14,246347
1,5,1018268,212,0,14,1017216
1,27,2879,134,0,62,2091
1,70,1338,195,0,34,835
0,0,19059,165,0,72,18244
1,60,2097143,188,0,20,2096334
0,28,2142542,184,0,19,2141583
0,30,392050,86,0,12,391007
1,53,55904,32,1,28,55386
0,54,1679298,71,0,20,1678525
0,79,17599,77,1,51,16553
0,45,255296,142,0,15,254511
0,8,305564,84,0,14,304740
0,26,486743,58,0,1,485586
0,5,277578,82,0,14,276769
0,63,822069,208,0,14,821287
0,38,177073,105,1,21,175745
1,51,265814,200,0,11,265029
1,99,5205,97,1,54,4201
1,8,992655,211,0,14,991897
0,8,297062,79,0,14,295851
0,27,18784,98,0,55,18002
1,0,26139,27,0,42,25351
0,5,422034,18,0,4,420934
0,63,907521,139,0,14,906301
0,27,23025,135,0,63,22318
1,95,2202884,181,0,19,2202237
1,31,65754,233,0,79,64810
1,98,1487286,177,0,18,1486264
1,9,17173,217,0,76,16040
0,0,61556,28,0,42,60249
0,8,313431,83,0,14,312547
0,8,285745,81,0,14,284939
1,73,970864,118,0,20,969914
0,73,1631767,70,0,20,1631120
0,42,6002,241,1,81,5043
1,35,1564778,72,0,20,1564014
1,80,643595,16,0,20,642765
1,8,407549,137,0,14,406749
0,5,251858,22,0,14,251211
1,86,15410,226,1,38,14340
0,0,18582,59,0,47,17713
0,76,231201,246,0,5,230431
1,55,2089274,125,0,19,2088630
0,27,9985,149,0,66,9303
0,54,1687805,69,0,20,1687044
0,16,25842,199,1,74,24370
1,44,1677,75,0,49,712
0,52,1153229,240,0,19,1151997
0,98,1221966,174,0,18,1220947
0,15,1604402,186,0,19,1603254
1,5,1075329,3,0,14,1075195
1,65,884301,138,1,14,883339
1,71,13960,14,1,27,13361
0,92,1106541,227,0,15,1105297
1,21,655,0,1,82,2
0,33,223492,245,1,5,222386
1,13,1592913,73,1,20,1591840
0,8,658646,90,0,14,657867
0,72,266241,143,0,15,265438
1,27,13082,113,0,60,12327
0,14,1207750,192,0,14,1206605
