StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,23,65081,87,0,23,62292
0,184,4679,185,1,133,1893
0,13,308397,303,1,57,305485
0,69,847503,312,1,38,845194
0,137,502030,132,0,0,499289
1,95,79193,80,1,3,76656
0,140,2449,0,1,151,11
1,139,7010,291,0,147,4233
1,128,491613,135,1,39,488857
1,26,56619,316,1,13,53854
1,83,3014,97,1,65,228
0,92,639965,258,1,22,637563
0,90,570499,252,1,25,567725
1,157,7457,214,1,39,4911
0,91,6673,233,1,138,3815
0,105,716265,36,0,28,713932
1,82,29749,162,1,27,26915
1,143,1133115,272,1,51,1130755
1,135,60671,177,1,45,58218
1,152,2940,212,1,135,73
0,19,8383,219,0,136,7271
1,182,17724,293,0,58,14986
0,172,13435,274,1,143,10745
0,161,359419,74,0,15,357746
1,4,510295,142,1,25,507728
0,90,628364,102,1,25,625434
0,27,504140,269,1,2,500865
1,18,12191,232,1,14,9909
0,1,848494,163,1,33,847454
0,166,492362,28,1,1,490971
0,46,236472,223,1,3,233641
0,93,782600,206,0,29,781197
0,108,7188,126,1,120,4384
1,109,8831,112,1,118,6234
0,90,654938,253,1,25,652152
0,106,984,305,1,150,31
1,105,1094,24,1,74,159
0,132,24358,275,0,143,21590
1,89,1225,53,0,78,1
1,3,2772,318,0,13,301
1,112,36463,117,0,16,33455
1,133,28068,65,1,66,25282
1,67,3158,255,1,92,408
0,131,2351295,266,1,57,2348338
0,29,9939,57,0,101,8926
1,75,10214,242,1,24,7875
1,14,9052,247,1,141,7148
0,45,811998,313,0,38,810235
1,111,4342,85,1,30,1385
0,86,3790,210,1,88,806
1,13,1721524,41,1,57,1718519
0,153,2010044,11,0,55,2009265
1,142,4119,43,0,32,967
0,13,1008775,190,1,57,1006142
1,164,66235,248,0,39,64469
1,35,556405,240,1,26,554000
1,168,8756,146,1,44,5919
1,60,4216,134,0,46,1460
0,173,430057,187,1,31,427406
0,154,1137976,138,0,56,1133828
0,84,1204,128,0,86,2
1,107,8397,16,0,9,5578
0,136,779582,205,0,29,776703
1,145,976,21,1,73,2
0,21,690828,276,1,35,688522
0,6,3258,40,1,76,436
1,179,6116,58,1,102,4224
0,122,628999,144,1,12,626735
0,8,688837,90,1,24,685982
1,115,9121,288,1,37,6152
1,128,33240,55,1,39,30436
0,54,490870,47,0,1,489493
1,169,4777,19,1,69,2027
1,76,26225,207,0,64,24447
0,73,783456,83,1,32,780772
1,160,15107,264,1,2,12237
1,16,169188,307,0,43,166855
0,35,683526,259,1,22,681076
1,11,63873,309,1,16,60922
0,60,1185502,70,0,46,1183688
1,13,644271,100,1,57,641242
1,136,16574,222,1,137,14088
0,155,3713,284,0,96,2106
1,120,59561,141,1,49,57681
0,2,3597,235,0,139,1834
0,102,5794,137,1,122,3014
0,91,665511,169,1,17,663544
1,165,41742,308,1,43,39727
0,21,829858,121,1,35,827087
0,24,794113,243,0,31,793295
0,79,169312,67,0,54,166550
0,74,471708,199,1,19,469507
1,77,144749,119,1,14,141924
0,35,625252,229,1,26,622190
0,74,582823,22,1,19,581135
0,62,702008,181,0,30,700188
0,28,9553,115,1,84,7784
0,143,648458,160,1,20,645735
1,153,1917064,174,0,55,1914173
1,77,122539,191,1,14,120197
1,106,71114,196,1,4,69705
0,118,103187,322,0,9,101616
0,173,411506,59,1,31,408474
0,117,594892,227,0,26,591674
0,85,2350211,167,1,58,2347587
0,134,912033,75,1,39,909235
1,77,25743,231,1,14,24748
1,113,1182,94,1,114,1
1,59,4231,136,0,50,1391
1,153,14595,66,0,66,12280
0,47,9360,256,1,93,6577
1,10,14953,302,1,52,12005
1,44,88710,161,1,27,87850
0,173,760085,244,1,31,757590
0,58,14455,92,1,112,11690
1,152,106204,280,1,17,104012
0,2,4524,241,0,140,2574
0,17,486237,25,1,46,483109
0,86,19758,186,0,134,17038
1,98,47207,84,0,111,45534
1,162,36437,104,0,116,35517
1,37,5595,69,1,106,2761
0,134,931453,225,1,39,928565
0,71,2693,281,1,95,396
1,105,4036,64,0,66,1289
1,59,93761,73,1,64,90201
0,60,11733,76,1,81,9154
1,135,27235,149,1,28,24623
0,147,120500,321,0,9,118605
1,160,26060,261,1,2,23298
0,114,351197,217,1,61,348939
1,48,33122,282,1,40,30594
0,143,1425113,14,1,51,1422420
0,4,225780,81,1,25,223900
1,164,56433,249,0,39,54619
1,25,1739,12,0,71,3
0,128,201879,300,0,60,200095
0,85,1320804,152,1,58,1318300
0,51,650247,103,0,25,648161
0,159,3779,184,0,132,1517
1,15,64637,151,0,64,62859
0,52,4799,273,1,143,2103
0,106,7313,236,1,139,4734
1,149,19476,159,0,127,17815
0,174,7957,143,1,125,5381
0,183,840765,123,0,35,837994
0,131,2120212,107,1,57,2117660
0,178,739713,326,0,29,736933
1,177,2442,156,0,34,1297
1,122,29971,145,1,44,27197
0,176,1032018,50,1,43,1029001
0,175,16396,294,1,148,13598
0,81,492103,131,1,0,489575
1,158,3892,45,0,53,599
0,135,439193,287,1,45,435576
0,4,578138,101,1,25,576360
1,180,3857,105,1,117,1095
1,123,924785,237,1,56,922281
0,106,245943,62,1,4,244298
0,35,577397,7,1,26,576201
0,65,9141,220,0,136,8410
1,119,981807,278,1,51,979324
0,173,14712,221,1,90,11650
0,148,2360044,13,1,58,2358530
1,167,11256,254,1,91,8914
0,130,7825,93,1,113,5795
1,136,9869,54,0,57,8244
1,82,128705,208,1,27,127131
1,161,86361,189,0,15,83876
0,38,1981,298,0,98,2
0,138,483389,320,1,5,481422
1,11,494127,310,1,16,492577
0,67,21702,60,0,103,18811
1,24,38827,226,1,23,35924
1,62,5339,52,1,100,2904
0,89,748745,35,0,28,745776
1,88,3210,23,1,72,616
0,118,258722,218,0,9,256827
1,50,10587,183,0,131,8119
0,26,636457,213,1,13,635763
1,160,30562,279,0,17,28739
1,123,58311,299,1,56,56848
0,48,905988,99,1,40,903148
0,103,710712,201,1,35,708220
1,135,45706,262,0,2,43370
0,12,588116,3,1,8,586977
1,141,4613,118,0,5,1626
1,104,3158,6,0,38,342
0,111,690966,180,1,30,687994
0,170,15683,257,1,94,12888
0,117,378832,38,1,62,376718
1,143,39618,86,1,51,36688
0,53,571445,200,0,19,567813
0,68,467624,172,0,11,464685
0,155,2020967,178,1,55,2018517
0,157,4567,56,0,79,1604
0,28,24449,114,1,84,21516
1,164,54516,96,0,39,53479
1,43,197559,194,1,9,195199
1,32,955,155,0,87,2
0,135,1130391,198,1,45,1127446
1,15,61849,48,0,64,60071
0,131,1824669,165,1,57,1821786
1,113,21022,63,1,104,18272
0,81,517997,133,1,0,514713
0,131,2028531,268,1,57,2025571
1,8,4543,139,1,123,1706
1,5,77950,18,0,22,74987
0,36,1337382,271,0,51,1335682
1,56,1973,1,0,153,3
1,61,9934,89,1,48,6965
1,40,16389,182,1,38,14728
1,15,242630,120,1,21,239769
1,66,31215,301,0,67,30121
0,61,1175229,147,1,48,1172704
