Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Birthplace,Uci_Rider_Id,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,13,49272.0,17881.0,13,13864.0,140294.0,13,55349.0,5,76092.0,56.0,5,6,2,13,38092.0,4863.0,6,169.0,8
0,5,68529.0,24255.0,4,29548.0,181748.0,4,,8,112351.0,53.0,13,5,6,3,105237.0,37378.0,3,173.0,9
0,14,26755.0,13635.0,5,,140629.0,5,16710.0,11,23382.0,62.0,0,0,11,4,18419.0,1151.0,6,172.0,2
0,2,,22906.0,2,,179072.0,2,,1,91626.0,71.0,11,6,0,1,92937.0,22272.0,4,190.0,9
0,8,62142.0,22703.0,11,5158.0,164943.0,11,,6,88833.0,72.0,10,6,10,10,77956.0,20448.0,6,177.0,9
0,11,,25029.0,14,,196900.0,14,,4,88623.0,66.0,12,6,1,14,91470.0,52660.0,4,178.0,9
0,0,7764.0,1237.0,3,41367.0,140800.0,3,6404.0,7,29164.0,70.0,1,1,7,2,10911.0,706.0,5,183.0,3
0,3,41075.0,10536.0,0,8232.0,140489.0,0,42346.0,10,60455.0,68.0,2,6,9,0,46549.0,948.0,5,183.0,5
0,10,,26962.0,1,,194248.0,1,,2,149163.0,80.0,14,6,3,11,116298.0,45620.0,1,190.0,9
0,12,39842.0,12843.0,10,1311517.0,140292.0,10,52504.0,12,67388.0,58.0,4,4,12,9,57418.0,2276.0,0,166.0,7
0,4,56664.0,20678.0,12,20194.0,132382.0,12,,3,72234.0,73.0,9,3,5,12,66001.0,,7,1.81,4
0,7,43388.0,14319.0,9,67673.0,140293.0,9,54517.0,9,68367.0,63.0,3,6,8,8,58588.0,2278.0,6,173.0,6
0,1,47885.0,18123.0,7,21399.0,139801.0,7,55661.0,14,68832.0,71.0,6,2,14,6,58401.0,6309.0,6,179.0,0
0,6,60237.0,21439.0,6,16255.0,137850.0,6,,0,88951.0,69.0,8,6,4,5,92418.0,22268.0,2,184.0,9
0,9,41892.0,19165.0,8,16935.0,137797.0,8,,13,66315.0,73.0,7,6,13,7,43238.0,11313.0,2,184.0,1
