GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MIDDLE_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,FULL_NAME,BIRTH_DATE
0,61,85,4,0,0,25,0,1,7,68
0,63,65,6,1,16,34,0,0,66,86
1,2,29,3,1,25,72,0,0,53,59
1,59,36,3,1,26,24,0,0,33,27
0,39,85,4,0,16,84,0,1,6,70
0,49,50,4,0,14,81,0,1,69,29
0,49,64,4,0,16,85,0,1,59,77
1,66,11,4,0,2,82,0,1,46,39
1,56,48,3,1,9,17,0,0,15,69
1,49,7,3,1,14,86,0,0,21,34
1,27,33,3,1,3,18,2,0,24,54
1,4,38,3,1,0,65,0,0,56,75
1,15,14,3,1,25,54,0,0,19,45
1,12,31,3,1,14,43,0,0,31,52
1,29,2,4,0,12,41,0,1,42,58
0,49,49,4,0,10,80,0,1,60,67
0,37,81,4,0,7,78,0,1,77,37
0,68,72,4,0,13,1,0,1,82,4
0,33,52,4,0,14,32,0,1,74,85
1,76,21,3,1,13,29,0,0,35,43
1,9,17,5,1,14,55,0,0,34,7
1,71,18,4,0,10,77,0,1,14,82
0,60,59,4,0,1,11,0,1,83,15
1,74,19,3,1,14,52,0,0,25,81
0,45,74,4,0,9,45,0,1,81,41
0,34,83,8,1,6,64,0,0,13,8
1,80,8,3,1,14,61,0,0,49,63
0,53,45,4,0,14,9,0,0,62,17
0,57,58,4,0,24,33,0,1,63,42
1,70,32,3,1,9,15,0,0,18,46
0,0,26,4,0,13,0,0,1,58,2
0,32,55,4,0,16,42,0,1,11,80
0,46,67,4,0,9,20,0,1,80,65
1,26,4,3,1,1,13,0,0,48,38
1,1,84,3,1,21,39,1,0,47,22
0,49,42,4,0,19,7,0,1,3,50
1,51,28,3,1,14,21,0,0,51,20
1,49,37,3,1,17,79,0,0,44,64
0,49,53,4,0,14,80,0,1,9,72
1,10,20,3,1,11,46,0,0,20,36
1,67,77,3,1,4,73,1,0,43,12
0,28,1,4,0,5,3,0,1,68,5
1,17,27,3,1,22,62,0,0,45,14
0,24,44,4,0,4,5,0,1,73,31
0,19,80,4,0,7,67,0,1,85,28
0,62,39,4,0,20,28,0,1,84,26
0,73,43,4,0,14,27,0,1,65,56
0,43,51,4,0,1,69,0,1,8,10
1,79,16,3,1,10,68,0,0,23,44
1,31,34,4,0,14,10,0,1,54,19
0,81,63,4,0,10,76,0,1,76,40
1,25,6,3,1,3,6,0,0,32,62
0,40,41,4,0,14,75,0,1,75,84
1,3,30,3,1,14,53,0,0,39,71
0,42,46,4,0,11,74,0,1,87,16
0,38,85,4,0,23,56,0,1,4,23
1,22,23,3,1,16,12,0,0,30,47
1,6,25,3,1,8,71,0,0,55,61
1,14,9,3,1,3,48,0,0,37,48
0,55,69,4,0,16,15,0,1,61,57
1,21,12,3,1,12,37,0,0,36,51
0,41,62,4,0,12,58,0,1,67,68
1,8,13,3,1,9,47,0,0,38,79
0,50,71,4,0,5,38,0,1,86,18
1,16,10,3,1,10,60,0,0,16,78
1,78,76,3,1,8,36,0,0,28,55
0,72,56,4,0,12,26,0,1,64,73
1,75,22,3,1,21,44,0,0,29,1
1,11,5,3,1,13,70,0,0,52,60
0,47,70,4,0,24,22,0,1,5,53
1,65,78,3,1,7,40,0,0,41,11
1,13,35,3,1,14,51,0,0,26,30
1,20,15,3,1,2,4,0,0,50,21
1,18,79,3,1,2,14,1,0,15,13
1,30,3,3,1,10,30,0,0,27,35
0,48,40,4,0,3,19,0,1,70,31
0,58,73,4,0,20,23,0,1,1,33
0,44,85,4,0,16,50,0,1,71,66
0,35,66,4,0,0,83,0,1,78,83
0,49,54,4,0,8,66,0,1,72,32
0,36,47,2,1,25,63,0,0,12,49
1,7,0,3,1,11,49,0,0,40,6
1,5,75,4,0,25,59,0,1,22,76
0,54,61,1,1,13,35,0,0,10,3
0,52,57,4,0,18,31,0,1,79,9
1,69,82,7,1,15,57,0,0,57,0
0,64,68,4,0,9,16,0,1,0,74
1,77,24,0,1,11,8,0,0,17,25
0,23,60,4,0,25,2,0,1,2,24
