GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MIDDLE_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,FULL_NAME,BIRTH_DATE
1,75,17,3,1,17,7,0,0,29,31
0,60,65,5,1,17,36,0,0,65,85
1,3,31,3,1,15,54,0,0,36,69
1,57,37,3,1,27,26,0,0,31,28
0,79,63,4,0,10,76,0,1,76,42
0,46,42,4,0,3,81,0,1,71,47
0,37,41,4,0,15,75,0,1,75,83
1,63,10,4,0,2,83,0,1,45,41
1,53,48,3,1,9,17,0,0,15,68
1,46,13,4,0,15,86,0,1,1,0
1,24,34,3,1,3,18,2,0,25,56
1,4,39,3,1,0,65,0,0,56,73
1,70,22,3,1,15,34,0,0,39,46
1,78,77,3,1,8,38,0,0,28,57
1,26,2,4,0,13,44,0,1,41,60
0,46,52,4,0,15,80,0,1,9,70
0,35,82,4,0,7,78,0,1,77,39
0,65,72,4,0,14,2,0,1,83,6
0,31,74,4,1,17,57,0,0,60,14
1,15,27,3,1,23,62,0,0,44,17
1,74,6,3,1,6,23,0,0,40,12
1,68,18,4,0,10,77,0,1,14,80
0,58,58,4,0,1,12,0,1,84,18
1,72,19,3,1,15,53,0,0,26,79
0,42,75,4,0,9,47,0,1,82,43
0,32,84,7,1,6,64,0,0,13,9
1,17,35,3,1,9,42,0,0,50,52
0,59,86,4,0,0,27,0,1,7,67
0,54,57,4,0,25,35,0,1,62,44
1,67,33,3,1,9,15,0,0,18,49
0,0,26,4,0,14,0,0,1,58,4
0,29,54,4,0,17,45,0,1,11,78
0,43,67,4,0,9,21,0,1,80,65
1,23,4,3,1,1,13,0,0,47,40
1,1,85,3,1,22,41,1,0,46,24
0,46,53,4,0,8,66,0,1,72,33
1,11,8,3,1,3,50,0,0,34,50
1,46,38,3,1,18,79,0,0,43,64
0,46,64,4,0,17,85,0,1,59,75
1,9,20,3,1,11,48,0,0,20,37
1,64,78,3,1,4,73,1,0,42,15
0,25,1,4,0,5,4,0,1,67,7
1,73,21,3,1,22,46,0,0,30,2
0,22,45,4,0,4,6,0,1,73,32
0,18,81,4,0,7,67,0,1,85,29
0,51,60,1,1,14,37,0,0,10,5
0,71,44,4,0,15,29,0,1,64,58
0,40,50,4,0,1,68,0,1,8,11
1,76,25,3,1,5,31,0,0,24,38
1,48,28,3,1,15,22,0,0,51,22
0,46,43,4,0,20,9,0,1,4,53
1,46,7,3,1,15,86,0,0,21,35
0,38,61,4,0,13,59,0,1,66,67
1,5,76,4,0,26,60,0,1,22,74
0,39,46,4,0,11,74,0,1,87,19
0,36,86,4,0,24,56,0,1,5,25
1,14,30,3,1,12,72,0,0,48,45
1,20,11,3,1,13,39,0,0,33,54
1,46,32,3,1,17,19,0,0,32,82
0,52,69,4,0,17,15,0,1,61,59
1,12,14,3,1,26,55,0,0,19,48
0,41,86,4,0,17,52,0,1,70,66
1,8,12,3,1,9,49,0,0,35,77
0,47,71,4,0,5,40,0,1,86,20
1,6,24,3,1,8,70,0,0,55,63
1,2,29,3,1,26,71,0,0,53,61
0,69,55,4,0,13,28,0,1,63,71
1,49,15,3,1,14,1,0,0,23,3
1,10,5,3,1,14,69,0,0,52,62
0,44,70,4,0,25,24,0,1,6,55
1,62,79,3,1,7,43,0,0,38,13
1,77,23,0,1,11,10,0,0,17,27
1,19,16,3,1,2,5,0,0,49,23
1,16,80,3,1,2,14,1,0,15,16
1,27,3,3,1,10,30,0,0,27,36
0,45,40,4,0,3,20,0,1,69,32
0,56,73,4,0,21,25,0,1,2,34
0,55,62,4,0,17,8,0,1,81,42
0,33,66,4,0,0,84,0,1,78,81
0,46,49,4,0,15,82,0,1,68,30
0,34,47,2,1,26,63,0,0,12,51
1,7,0,3,1,11,51,0,0,37,8
1,13,9,3,1,10,61,0,0,16,76
0,30,51,4,0,15,33,0,1,74,84
0,50,56,4,0,19,32,0,1,79,10
1,66,83,6,1,16,58,0,0,57,1
0,61,68,4,0,9,16,0,1,0,72
1,28,36,4,0,15,11,0,1,54,21
0,21,59,4,0,26,3,0,1,3,26
