Country,MuseumDigitalPlaceId,OfficialWebsite,TimeZone,ElevationMeters,Latitude,CommonsCategory,GeoNamesId,LicensePlateCode,ArchInformLocationId,Longitude,WhosOnFirstId,WorldCatIdentitiesIdSuperseded,MainCategory,LocatorMapImage,MunicipalityKey,OpenStreetMapRelationId,PostalCode,GndId,DeweyDecimalClassification,ViafId,FactGridItemId,CoatOfArmsImage,FreebaseId
1,3656.0,637,4,240.0,51.45,485,2873211.0,96,10850.0,8.85,101810135.0,46,438,495,5958024.0,157381.0,34431.0,411,172,143058116.0,388,219,573
1,5537.0,61,4,46.0,52.0333333333,381,3249080.0,116,4199.0,13.9,1125375907.0,305,151,160,,62376.0,,585,5,128028126.0,0,500,27
1,302.0,556,4,114.0,49.4122222222,284,2907911.0,84,145.0,8.71,101748539.0,83,316,66,8221000.0,285864.0,69001.0,165,124,144258029.0,16,464,599
1,58622.0,192,4,277.0,48.8883333333,460,6555501.0,202,,9.3913888889,101827583.0,0,407,443,8119042.0,401695.0,71397.0,640,195,,372,211,679
1,,377,4,59.0,53.2,262,6547691.0,154,,11.9830555556,1125322655.0,0,287,308,12070145.0,1289791.0,19348.0,782,195,,0,350,329
1,1346.0,795,4,292.0,48.8763888889,802,6557975.0,202,3341.0,9.3977777778,101828561.0,472,772,805,8119085.0,401699.0,,355,132,245647631.0,601,326,622
1,5268.0,299,4,60.0,51.7830555556,755,6551269.0,147,8557.0,14.0666666667,101820867.0,413,725,769,12066320.0,1322900.0,3226.0,513,2,239992335.0,567,634,762
1,6639.0,48,3,,52.5166666667,497,2870912.0,140,43214.0,13.3666666667,420784293.0,526,455,129,,16347.0,13347.0,512,15,316878015.0,0,30,150
1,,16,4,20.0,53.7830555556,710,6547907.0,140,15190.0,12.0166666667,101818887.0,0,687,730,13072104.0,1963383.0,18249.0,761,195,,543,350,408
1,6359.0,627,4,444.0,48.7,378,2947443.0,14,2341.0,9.01,1125362593.0,127,133,56,,62721.0,,73,130,129653623.0,0,183,120
1,79627.0,96,4,383.0,49.0375,685,6555506.0,202,,9.4458333333,101760703.0,369,658,705,8119069.0,400922.0,71579.0,672,195,234318590.0,525,290,229
1,660.0,245,4,440.0,50.8919444444,625,6550967.0,140,42095.0,10.3666666667,101823317.0,235,591,634,16063066.0,1268940.0,99842.0,427,42,157210803.0,73,716,497
1,28808.0,725,4,365.0,49.35,659,6556895.0,113,,11.2333333333,101780761.0,301,627,684,9574157.0,966163.0,90592.0,295,195,147927526.0,510,710,265
1,,67,4,22.0,52.9361111111,162,2935441.0,145,,8.3805555556,101808017.0,56,179,214,3458003.0,1187317.0,27801.0,108,195,148919451.0,217,416,595
1,13907.0,653,4,284.0,49.2,520,6557996.0,140,12709.0,9.5833333333,101761003.0,105,479,531,8126058.0,377233.0,74632.0,230,135,240614978.0,411,559,742
1,5575.0,610,4,,50.75,449,2803558.0,70,3361.0,12.53,1125325637.0,192,787,660,,62785.0,,469,37,138441035.0,0,691,456
1,7085.0,306,4,165.0,51.1166666667,489,6549023.0,21,,11.8497222222,101910277.0,0,444,501,15084335.0,2404010.0,6618.0,773,195,240160189.0,390,350,413
1,,25,4,65.0,53.4830555556,331,6548068.0,140,15144.0,12.6197222222,101818639.0,0,373,395,13071077.0,1424299.0,17192.0,602,195,159589053.0,346,480,418
1,7610.0,606,4,57.0,52.33,425,3221098.0,146,2550.0,8.17,1125412837.0,151,522,481,,62673.0,,249,180,141931063.0,0,197,12
1,,298,3,,51.2,736,,140,,11.56667,,446,790,762,,,,775,195,242807106.0,0,631,287
1,10775.0,364,4,118.0,51.6166666667,518,6547635.0,147,,14.0997222222,101909287.0,0,477,529,12066226.0,1314224.0,3103.0,776,195,249282613.0,418,350,314
1,5649.0,696,4,114.0,48.9605555556,611,2847602.0,102,,8.2897222222,101760735.0,310,575,617,8215108.0,659842.0,,273,122,130526400.0,469,583,450
1,8331.0,561,4,344.0,51.0166666667,292,6550811.0,75,,14.7416666667,101841355.0,0,326,335,14626180.0,418716.0,2747.0,379,32,144280088.0,78,466,453
1,246.0,738,4,32.0,52.4141388889,103,2945354.0,26,3408.0,12.5540833333,101748813.0,19,112,157,12051000.0,62470.0,14770.0,80,12,128479115.0,59,98,17
1,191.0,732,4,102.0,51.5166666667,677,6550632.0,140,4552.0,14.0166666667,101822447.0,295,647,700,12066304.0,1314216.0,1968.0,299,2,124508135.0,518,608,619
1,7048.0,359,4,70.0,52.5761944444,3,6547543.0,13,49364.0,13.5752777778,101913861.0,448,4,3,12060005.0,1318349.0,16356.0,595,195,243164285.0,110,360,680
