Country,MuseumDigitalPlaceId,OfficialWebsite,TimeZone,ElevationMeters,Latitude,CommonsCategory,GeoNamesId,LicensePlateCode,ArchInformLocationId,Longitude,WhosOnFirstId,WorldCatIdentitiesIdSuperseded,MainCategory,LocatorMapImage,MunicipalityKey,OpenStreetMapRelationId,PostalCode,GndId,DeweyDecimalClassification,ViafId,FactGridItemId,CoatOfArmsImage,FreebaseId
1,348.0,183,3,13.0,52.7561111111,141,2862926.0,61,2865.0,9.3930555556,85682555.0,38,104,117,,62771.0,,64,93,140653681.0,0,12,151
1,,100,3,39.0,53.7333,184,2838955.0,59,15452.0,10.8333,101818819.0,0,163,186,13074073.0,1444880.0,19217.0,187,105,241233197.0,99,169,121
1,,82,3,32.0,53.7833333333,71,6548191.0,59,,11.5833333333,1125845671.0,0,89,98,13074036.0,1444888.0,19417.0,199,105,,74,46,120
1,12975.0,208,3,849.0,47.9122222222,204,6558094.0,23,16481.0,8.2147222222,101764051.0,47,191,208,8315113.0,319155.0,79822.0,100,58,123186418.0,110,175,182
1,1680.0,186,2,4.0,53.1438888889,161,3221095.0,65,358.0,8.2138888889,101748835.0,14,133,129,3403000.0,62409.0,,68,96,140308252.0,10,90,173
1,1084.0,152,3,278.0,47.995,47,2925177.0,23,141.0,7.85,101748475.0,29,55,14,8311000.0,62768.0,,38,57,145266205.0,4,37,213
1,6659.0,52,2,118.0,50.83,80,3247453.0,21,2391.0,6.5,1125380585.0,17,45,156,,62452.0,,32,78,141897490.0,0,52,32
1,5812.0,105,3,9.0,53.6008333333,196,6557453.0,88,11222.0,9.4763888889,101806539.0,49,180,203,3359038.0,444799.0,21680.0,94,98,126702671.0,14,105,65
1,7610.0,170,3,57.0,52.33,120,3221098.0,66,2550.0,8.17,1125412837.0,52,134,130,,62673.0,,69,94,141931063.0,0,68,7
1,5563.0,22,2,628.0,49.3,206,2859444.0,61,,12.2,,0,195,121,,17596.0,,66,31,267383615.0,0,89,34
1,4177.0,49,3,605.0,47.6586,75,6559176.0,94,,11.3682,101788927.0,85,93,106,9173133.0,935265.0,82431.0,128,105,168498895.0,77,135,154
1,6356.0,73,2,,54.25,135,2843324.0,29,2592.0,13.02,1125316171.0,131,199,141,,5384754.0,,4,19,287684874.0,0,183,202
1,6805.0,134,3,465.0,47.7333333333,100,2950877.0,10,2335.0,12.8833333333,1125370639.0,40,17,26,,62712.0,,20,39,133712219.0,0,61,54
1,6771.0,53,2,418.0,50.5,81,3247452.0,22,2407.0,6.67,1125273727.0,88,51,157,,62555.0,,37,79,159728118.0,0,53,37
1,13559.0,20,3,257.0,49.0413888889,13,6557978.0,39,,9.3144444444,101760881.0,0,15,37,8125008.0,410484.0,71717.0,114,62,142543817.0,40,119,196
1,6372.0,171,3,39.0,53.9,128,8648342.0,17,3371.0,12.25,,64,155,135,,1739377.0,,165,14,127917295.0,0,73,203
2,8462.0,40,3,585.0,46.75,33,2660522.0,30,2790.0,9.5,85682255.0,0,66,100,,1686631.0,,42,104,142538950.0,19,4,23
1,5562.0,68,3,465.0,49.37,129,3220859.0,16,4690.0,12.25,1125273515.0,0,167,34,,62686.0,,88,32,239886562.0,0,74,80
1,,126,2,,54.05,6,7909958.0,61,,12.017,,99,211,8,,403570.0,,205,105,159078181.0,0,116,138
1,,8,3,59.0,53.8988888889,16,6559256.0,61,15097.0,11.8830555556,101818883.0,0,19,44,13072013.0,1958439.0,18249.0,197,105,234379691.0,42,120,100
1,,39,3,19.0,54.4666666667,191,2833228.0,83,,9.5666666667,101906445.0,133,173,198,1059078.0,1157531.0,24884.0,1,105,316739198.0,103,101,135
1,891.0,179,3,60.0,51.9625,151,3247442.0,53,410.0,7.6255555556,101913895.0,36,119,162,5515000.0,62591.0,,56,89,132447077.0,9,81,10
1,37575.0,190,3,88.0,49.8358333333,175,3272941.0,28,,8.4975,101839971.0,0,152,173,6433011.0,444332.0,64560.0,79,50,153655957.0,93,94,191
2,6283.0,202,3,392.0,47.7166666667,34,2658760.0,81,2910.0,8.5666666667,85682285.0,27,37,101,,1696112.0,,84,105,144820199.0,31,168,63
1,,75,3,74.0,53.4780555556,59,2919470.0,54,17037.0,12.5125,101913053.0,0,70,84,13071043.0,1424393.0,17213.0,147,105,123280720.0,63,40,112
1,14858.0,78,3,813.0,47.4097222222,160,6558790.0,62,7903.0,10.2791666667,101826681.0,25,131,168,9780133.0,958128.0,87561.0,67,45,129658093.0,90,157,155
1,6323.0,62,3,1296.0,47.58,105,2922531.0,26,6070.0,11.17,1125328303.0,6,61,27,,62726.0,,40,42,134848652.0,0,64,64
