Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,3114645,5,5,2,4,3113716,1
0,11338656,19,19,3,4,11337604,0
0,2584883,3,3,2,3,2583168,1
0,15208834,26,26,5,3,15207657,0
0,2484598,2,2,2,4,2482946,1
0,16035426,29,29,3,3,16034275,0
0,10739420,17,17,3,4,10738391,1
0,18874532,34,34,2,4,18872826,0
0,14037154,25,25,3,4,14036102,0
0,21652250,38,38,2,4,21651465,1
0,7265620,10,10,2,4,7263896,0
0,3408436,6,6,2,3,3406694,1
0,8102835,11,11,5,4,8101324,1
0,12475698,23,23,2,4,12473968,0
0,15966851,28,28,2,3,15965034,0
0,11110825,18,18,2,4,11109716,0
0,5858117,8,8,3,4,5857149,0
0,109749,41,41,2,2,108094,1
0,19493479,36,36,5,4,19491830,1
0,11827525,20,20,2,3,11825876,0
0,13536464,24,24,2,3,13535010,1
0,16543225,31,31,2,0,16541663,1
0,12085133,22,22,3,3,12083649,0
0,19198058,35,35,2,4,19196265,0
0,729313,0,0,2,4,727583,0
0,9500152,14,14,2,3,9498311,1
0,2078700,1,1,1,4,2077966,1
0,16940003,32,32,2,0,16938267,1
0,15222966,27,27,0,3,15221143,1
0,10151192,16,16,2,4,10149456,0
0,21644712,37,37,3,0,21643691,0
0,4856229,7,7,5,3,4855079,0
0,10013846,15,15,6,4,10011450,1
0,8727146,12,12,2,3,8725272,0
0,24170195,40,40,2,0,24168318,0
0,9262006,13,13,2,3,9260762,0
1,2789368,4,4,4,1,2788047,0
0,17939534,33,33,2,4,17938173,1
0,7182424,9,9,5,3,7181951,0
0,11903031,21,21,3,4,11901664,0
0,23930113,39,39,3,4,23929616,1
0,16536814,30,30,2,4,16535087,1
