Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Biography,Nationality,TwitterHandle,SportType,SpecialtyPosition,Birthplace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,0,53630,19651,0,3,40766.0,168753,0,,0,0,2,4,1,8,78094,61.0,11,,3,0,71432,16573,1,165.0,3
0,12,41197,13297,9,0,1652.0,128514,9,60920.0,9,5,6,3,0,2,59637,,7,,8,9,37218,14127,2,,0
0,6,45487,15789,3,5,7186.0,133565,3,54574.0,7,8,8,2,0,6,55607,72.0,3,,6,3,62028,9234,6,183.0,8
0,2,56436,20917,10,1,5649.0,156570,10,67199.0,4,4,0,3,0,5,77380,78.0,10,,0,10,71706,9746,6,180.0,10
0,8,6554,3447,5,0,,140784,5,12637.0,11,0,5,4,1,7,30299,72.0,2,126196.0,4,5,14463,512,7,178.0,5
0,1,46049,19242,1,4,,139823,1,39932.0,3,6,3,1,1,10,69149,80.0,8,,7,1,43239,7730,3,183.0,9
0,3,65955,26396,12,2,12337.0,189441,12,,2,2,7,3,1,0,92304,,12,,7,12,110201,41293,4,186.0,10
0,9,171,311,7,0,,140861,7,140.0,8,9,5,3,0,3,14494,65.0,0,126386.0,1,7,118,91,7,172.0,2
0,4,47066,16881,8,0,41605.0,140633,8,47478.0,10,3,1,3,1,11,59614,,6,,2,8,32178,2530,7,175.0,6
1,7,48135,17635,4,0,,140634,4,29008.0,5,5,5,0,0,4,53903,74.0,4,,7,4,38067,3118,7,182.0,7
0,11,52044,20798,6,6,9184.0,132438,6,66541.0,4,4,4,3,3,1,86938,70.0,9,143404.0,10,6,71789,16643,5,183.0,10
0,10,26009,12193,11,7,1940308.0,140797,11,9096.0,6,7,9,2,2,12,54603,78.0,5,125137.0,9,11,30229,784,0,184.0,4
1,5,10573,1849,2,0,,140695,2,15403.0,1,1,5,3,2,9,28865,63.0,1,,5,2,5845,856,7,177.0,1
