Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,6,0,58,154221,0
0,447552,1,1,0,0,67,446896,0
0,1524263,37,37,15,0,5,1522857,0
0,919364,82,82,11,0,56,918156,0
0,10687,107,107,16,0,58,9590,0
0,1108489,106,106,24,0,53,1107152,1
0,33930,50,50,16,0,65,32737,0
0,340376,72,72,1,0,10,339975,0
0,566165,34,34,19,0,17,564966,0
1,6500,31,31,2,1,26,5433,0
1,597683,127,127,2,1,64,596868,1
0,480599,126,126,0,0,67,480417,0
0,1494962,38,38,4,0,39,1493559,1
0,437003,64,64,1,0,17,436320,0
0,726501,40,40,9,0,5,725125,1
0,1117420,105,105,11,0,22,1116176,1
0,617159,56,56,24,0,72,615924,0
0,1404649,102,102,11,0,16,1403372,0
1,3182,22,22,2,1,38,2247,0
0,85134,86,86,13,0,49,83866,1
0,1359,79,79,0,0,8,532,1
1,492874,55,55,2,1,23,492284,0
0,512575,152,152,20,0,2,511070,0
0,831522,13,13,16,0,40,830434,1
0,7259,7,7,0,0,30,6249,0
1,496522,91,91,2,1,58,495068,1
0,68405,136,136,18,0,76,67296,1
0,1047742,141,141,18,0,52,1046660,1
0,526360,149,149,24,0,77,525035,1
0,1898756,46,46,18,0,16,1897875,1
0,1944921,119,119,0,0,16,1944244,0
0,2480,73,73,18,0,4,1071,1
0,437973,93,93,0,0,76,437293,1
0,233697,3,3,0,0,80,233434,1
0,1587887,117,117,9,0,39,1586445,1
1,1867030,45,45,2,1,45,1865636,0
0,15753,11,11,18,0,66,14641,0
0,580857,35,35,24,0,48,579490,0
1,10644,90,90,2,1,40,9307,1
0,367224,148,148,0,0,47,366097,0
0,1267766,60,60,11,0,5,1266495,1
0,1506761,113,113,23,0,46,1505442,1
0,626028,41,41,16,0,35,624868,1
0,290343,71,71,22,0,57,289018,0
0,1172370,104,104,11,0,16,1171051,0
1,411413,87,87,2,1,70,410007,1
0,42426,97,97,16,0,13,41221,0
0,532332,150,150,24,0,60,531106,1
1,1789020,70,70,2,1,21,1787623,1
0,523945,110,110,24,0,76,522770,1
0,601068,109,109,16,0,78,599905,1
0,151073,138,138,18,0,76,149964,0
0,1733432,123,123,22,0,53,1732098,0
1,924253,83,83,2,1,21,923378,1
0,1651899,47,47,16,0,5,1651012,1
0,228042,111,111,16,0,31,226948,0
0,484137,78,78,16,0,12,482659,0
0,1002291,85,85,16,0,4,1001194,0
0,1751668,122,122,4,0,22,1750310,0
0,211061,153,153,4,0,1,209817,0
1,18783,27,27,2,1,73,17596,0
1,65502,30,30,2,1,29,63997,0
1,813285,54,54,2,1,42,812281,0
0,2018230,116,116,16,0,83,2016848,0
1,434666,125,125,2,1,25,433053,0
1,665716,128,128,2,1,64,664775,1
0,1248251,61,61,14,0,5,1246854,1
0,559992,88,88,24,0,0,558766,1
1,452810,92,92,2,1,58,452175,0
0,423600,145,145,18,0,20,422017,0
1,9275,48,48,2,1,3,7716,1
0,2090497,21,21,4,0,19,2089121,1
0,472615,52,52,8,0,66,471425,0
0,412929,51,51,24,0,60,411703,0
0,1933792,5,5,1,0,16,1933010,0
1,1778404,121,121,26,1,28,1777100,1
0,1127672,133,133,3,0,15,1126485,0
0,1741983,16,16,10,0,83,1740772,0
1,1072628,132,132,26,1,23,1071504,0
0,1152412,36,36,24,0,46,1151105,1
0,231983,80,80,7,0,69,230514,1
0,432268,6,6,18,0,71,431189,0
1,1015761,63,63,2,1,28,1014583,0
1,1365596,65,65,26,1,19,1364481,0
0,405983,8,8,1,0,75,405798,0
1,52782,135,135,2,1,32,51379,1
1,852,49,49,2,1,44,1,0
1,417432,99,99,2,1,54,415855,0
0,1601313,68,68,19,0,81,1599847,0
