SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageNumber,StageDescription
1,6,4,164923.0,21,4,4,4,6,23,6,,6
1,15,11,,12,20,13,9,11,19,17,3.0,5
1,7,0,164914.0,6,9,3,4,7,9,7,,2
1,30,3,268395.0,8,20,24,17,27,20,35,1.0,7
1,5,1,150655.0,33,0,37,2,5,5,5,,6
1,27,1,270408.0,2,18,26,16,24,18,27,2.0,2
1,13,11,,12,20,11,9,9,6,35,1.0,3
1,35,1,280808.0,17,20,36,21,29,8,30,4.0,2
1,24,4,247145.0,9,20,22,15,22,26,23,2.0,2
1,39,8,279710.0,27,19,32,25,34,17,33,2.0,2
1,10,12,170971.0,32,5,8,8,14,1,10,,6
1,8,9,172294.0,11,16,5,5,8,27,8,,6
1,42,5,171098.0,7,20,9,6,38,27,35,1.0,0
1,22,4,209918.0,20,7,21,14,21,15,19,,6
1,26,1,270407.0,18,20,25,16,23,25,35,1.0,2
1,14,11,,12,20,12,9,10,7,16,2.0,4
1,9,0,170951.0,15,8,7,8,13,13,9,,6
1,0,1,133071.0,29,0,37,0,0,31,0,,6
1,38,2,279073.0,10,21,35,22,32,0,32,3.0,2
1,16,11,,12,17,14,9,12,29,18,4.0,1
1,23,7,218509.0,28,17,20,13,20,2,22,2.0,2
1,31,10,269684.0,22,20,23,18,40,17,35,1.0,2
1,20,12,,24,17,19,10,16,21,21,3.0,8
1,37,2,279072.0,4,20,34,22,31,16,31,2.0,2
1,4,5,,13,15,1,1,4,22,4,,6
1,17,0,180813.0,25,2,16,12,39,32,13,,6
1,3,6,138833.0,5,12,37,1,3,1,3,,2
1,32,13,270514.0,31,6,29,20,30,28,25,,6
1,29,1,270410.0,30,20,28,16,26,14,29,4.0,2
1,25,1,270414.0,18,0,37,20,28,4,24,,6
1,12,11,180567.0,12,1,37,11,40,7,12,,6
1,34,1,280812.0,0,0,37,24,36,16,26,,6
1,41,11,168924.0,19,20,6,3,40,11,35,1.0,2
1,21,0,180844.0,1,13,17,12,19,24,15,,6
1,11,6,179734.0,26,16,10,7,17,27,11,,6
1,36,8,279692.0,34,3,31,23,37,3,35,,2
1,18,4,180735.0,20,7,15,12,18,30,14,,6
1,1,6,119991.0,16,11,0,0,1,10,1,,2
0,33,4,,35,14,30,19,33,12,35,,2
1,2,6,138490.0,16,10,2,1,2,17,2,,2
1,19,12,,3,17,18,10,15,17,20,2.0,8
1,40,8,279711.0,14,20,33,25,35,17,34,3.0,2
1,28,1,270409.0,23,20,27,16,25,25,28,3.0,2
