GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,25,38827,224,224,1,25,35924,1
1,184,4679,182,182,1,133,1893,0
0,139,9869,53,53,0,58,8244,1
1,68,825842,310,310,1,40,823350,0
0,140,502030,128,128,0,0,499289,0
1,97,79193,77,77,1,3,76656,1
1,143,2449,0,0,1,151,11,0
0,142,7010,291,291,0,147,4233,1
0,166,66235,246,246,0,41,64469,1
1,27,21822,317,317,1,13,18838,1
0,75,104384,71,71,0,65,101526,1
0,5,77950,17,17,0,24,74987,1
1,4,510295,140,140,1,27,507728,1
1,68,847503,311,311,1,40,845194,0
1,92,6673,231,231,1,138,3815,0
1,10,181574,314,314,1,30,180063,1
1,37,625252,227,227,1,28,622190,0
1,120,981807,277,277,1,52,979324,1
1,138,16715,185,185,1,46,14439,1
1,155,2940,211,211,1,135,73,1
0,20,8383,218,218,0,136,7271,0
1,133,2351295,263,263,1,58,2348338,0
1,174,13435,271,271,1,143,10745,0
0,163,86361,187,187,0,15,83876,1
1,4,225780,78,78,1,27,223900,0
1,4,578138,98,98,1,27,576360,0
1,28,504140,267,267,1,2,500865,0
1,27,636457,212,212,1,13,635763,0
1,1,847195,162,162,1,35,845501,0
1,168,492362,27,27,1,1,490971,0
1,45,236472,222,222,1,3,233641,0
0,139,779582,202,202,0,31,776703,0
1,109,7188,123,123,1,120,4384,0
1,181,3857,103,103,1,118,1095,1
0,50,650247,100,100,0,27,648161,0
1,107,984,304,304,1,150,31,0
1,148,976,20,20,1,74,2,1
0,134,24358,272,272,0,143,21590,0
0,67,2274,50,50,0,78,1,0
1,123,628999,142,142,1,12,626735,0
1,12,13990,114,114,1,16,11384,1
0,156,14595,65,65,0,67,12280,1
1,169,11256,252,252,1,94,8914,1
1,133,2327020,262,262,1,58,2324351,0
1,60,5339,51,51,1,103,2904,1
0,24,65081,83,83,0,25,62292,1
1,15,9052,245,245,1,141,7148,1
0,180,805554,313,313,0,40,804478,0
0,94,782600,203,203,0,31,781197,0
0,34,955,154,154,0,90,2,1
1,133,1573917,165,165,1,58,1571158,0
0,9,1995400,173,173,0,56,1993454,0
0,25,794113,241,241,0,33,793295,0
1,14,644271,96,96,1,58,641242,1
0,166,56433,247,247,0,41,54619,1
1,91,654938,251,251,1,27,652152,0
1,178,1032018,49,49,1,44,1029001,0
0,40,1140600,195,195,0,46,1138639,0
1,175,411506,57,57,1,33,408474,0
1,124,924785,235,235,1,57,922281,1
0,26,4734,122,122,0,87,2191,0
0,108,8397,15,15,0,9,5578,1
0,7,764760,201,201,0,31,762982,0
1,89,3210,22,22,1,73,616,1
1,104,587182,273,273,1,37,584897,1
0,173,4421,31,31,0,76,3684,1
0,30,9939,56,56,0,104,8926,0
0,13,606712,236,236,0,12,603989,0
1,71,21218,240,240,1,26,18921,1
0,137,2501,82,82,0,38,102,1
1,160,7457,213,213,1,41,4911,1
0,53,490870,45,45,0,1,489493,0
1,38,4073,5,5,1,69,1218,0
1,142,110366,248,248,1,64,107442,1
1,73,22430,44,44,1,34,19944,1
1,162,15107,261,261,1,2,12237,1
1,167,41742,307,307,1,44,39727,1
0,128,663320,257,257,0,24,660522,0
0,25,58458,113,113,0,16,55432,1
1,18,486237,24,24,1,47,483109,0
