CyclingDiscipline,CommonsCategory,GoogleKnowledgeGraphId,FirstName,FirstCyclingRiderId,SportsTeam,CqRankingMaleCyclistId,ProfileImage,HeightCm,Languages,ProCyclingStatsCyclistId,BirthDate,InstagramUsername,TwitterUsername,UciRiderId,CycleBaseCyclistId,EventsParticipated,WeightKg,LastName,CyclingArchivesCyclistId,SocialMediaFollowers,BirthPlace
1,6,1,6,61988,8,26637.0,9,176.0,1,201838,9,7,2,111683,71992.0,5,76.0,4,125323,4,4
1,9,6,8,97547,10,30643.0,2,184.0,1,217465,10,9,2,227110,82827.0,5,,6,151350,4,7
1,11,0,11,41293,4,26396.0,7,186.0,3,189441,5,3,4,92304,65955.0,2,,8,110201,0,1
2,7,5,7,96312,5,,1,,1,239223,11,8,2,221617,,6,,10,137570,4,3
1,5,9,5,5273,9,15286.0,5,170.0,3,137756,1,0,2,55839,27804.0,3,,0,39975,4,11
1,4,2,4,45363,1,26392.0,8,176.0,1,193131,7,6,2,148275,,4,69.0,9,89152,4,6
1,8,7,9,127939,10,,10,,2,259695,12,10,2,199947,,7,,5,166006,4,10
2,10,9,10,3277,2,13362.0,11,177.0,1,139405,2,11,3,65995,41076.0,8,70.0,1,51551,2,12
2,3,8,3,18575,7,20777.0,0,180.0,3,179769,4,5,1,86568,56070.0,0,71.0,8,79781,1,5
0,2,3,2,53489,6,28448.0,6,191.0,1,197781,6,4,2,152803,69671.0,5,,7,101978,4,2
1,1,4,0,71333,11,26965.0,4,176.0,0,206730,8,1,2,162997,,5,70.0,3,128820,4,0
0,8,9,1,9030,0,2762.0,10,,3,138150,0,0,2,30887,,5,,8,10624,4,9
1,0,9,0,20584,3,20697.0,3,180.0,0,156131,3,2,0,86630,52038.0,1,68.0,2,68186,3,8
