SportType,EditionNumber,StartLocation,EndLocation
1,108.0,3,39
1,3.0,25,20
1,63.0,5,47
1,16.0,1,12
1,72.0,46,58
1,,26,15
1,,37,55
1,,32,26
1,,40,28
1,109.0,14,54
1,,0,19
1,118.0,16,44
1,,44,42
1,,15,8
1,62.0,18,13
1,104.0,3,39
1,64.0,61,49
1,,36,33
1,,42,22
1,90.0,20,20
1,117.0,16,44
1,,10,6
1,,5,2
1,119.0,16,44
1,1.0,41,62
1,,34,31
1,18.0,1,12
1,,45,48
1,,47,37
1,44.0,13,11
1,23.0,39,52
1,,56,56
1,113.0,16,44
1,,57,57
1,,35,32
1,,38,28
1,,58,59
1,86.0,7,53
1,105.0,3,39
1,71.0,33,29
1,18.0,9,4
1,,4,63
1,21.0,43,40
1,,61,64
1,82.0,60,60
1,10.0,11,23
1,,30,47
1,90.0,7,3
1,,45,43
1,,19,14
1,29.0,59,61
1,,21,17
1,,51,46
1,75.0,24,36
1,,50,50
1,,53,49
1,,40,34
1,74.0,46,58
1,92.0,49,9
1,,9,1
1,,55,51
1,8.0,22,16
1,34.0,28,17
1,31.0,8,5
1,52.0,31,27
1,,17,10
1,61.0,29,25
0,7.0,52,21
1,,2,30
1,26.0,27,24
1,82.0,54,35
1,89.0,23,18
1,47.0,13,11
1,39.0,48,45
1,111.0,12,54
1,,0,0
1,,18,7
1,,42,38
1,,6,41
1,16.0,9,19
