ChromosomeId,OrthologId,GenomicEndPosition,GeneDbId,GenomicStartPosition
0,8,4507129,158,4506258
3,11,58482,184,57650
0,8,4045564,146,4044548
0,8,809644,6,808668
5,2,1540684,198,1539719
0,8,3925106,133,3924162
0,3,3479864,114,3478912
0,8,2352377,59,2351473
0,8,2811870,80,2810993
0,8,3879177,130,3878232
0,8,2379851,66,2378994
0,8,1052365,20,1051429
8,13,1539502,220,1538500
0,7,2480301,68,2479394
0,3,3942505,136,3941590
0,8,2375390,65,2374390
0,8,1003686,16,1002743
0,8,826044,9,825257
0,8,3009797,97,3009183
0,8,2360029,61,2359047
0,8,3134531,100,3133584
0,8,1330950,36,1330142
0,8,1007599,17,1006603
0,8,2844528,88,2843538
0,8,3598785,118,3598376
0,3,702779,0,701800
0,8,2355855,60,2354884
2,1,883344,178,882190
0,8,3983006,143,3982127
0,8,3076129,98,3075227
0,8,3174298,101,3173391
4,10,59994,192,59019
0,8,2831118,84,2830191
0,8,1048548,19,1047554
0,8,4054409,148,4053370
0,8,2604167,75,2603329
5,2,1639490,207,1638522
1,5,949235,169,948584
0,8,4281472,153,4280290
0,8,2980375,96,2979374
0,8,4270736,152,4269712
1,5,1012849,171,1012217
0,8,2232853,52,2231880
0,8,4089689,150,4088784
10,0,3111097,227,3110193
6,3,1726768,212,1725811
0,8,1369830,37,1368947
0,8,4574073,160,4573255
3,11,128626,187,127746
0,8,2241711,53,2240825
0,8,4562145,159,4561270
0,8,3946818,137,3946348
0,8,2883682,91,2882695
4,10,1520249,195,1519281
0,8,3938451,135,3937813
0,8,1234293,31,1233356
0,3,1205691,27,1204738
0,8,2501037,69,2500057
3,11,121633,185,120728
0,8,3605579,120,3604775
6,3,1713820,209,1712806
0,3,959824,13,958735
0,8,2827124,83,2826149
0,8,4357200,154,4356532
5,2,1618754,204,1617789
2,1,835336,176,834360
0,8,3471297,112,3470331
0,8,4624792,161,4624492
0,8,2363229,62,2362303
0,8,3991057,145,3990489
0,8,713930,3,712959
0,8,3081081,99,3080348
0,8,3658680,124,3657775
10,0,3130797,232,3129888
0,8,3193314,102,3192405
10,0,35088,222,34091
10,0,3096667,225,3095699
0,8,3337829,107,3336940
0,8,2382674,67,2381690
0,8,1218576,30,1217713
10,0,3100508,226,3099590
5,2,1606577,202,1605587
0,8,2961608,94,2960623
0,8,3654541,123,3653626
0,8,3851936,126,3851292
6,3,1722743,211,1721734
0,8,4396545,156,4395898
3,11,38718,180,37728
0,8,2348993,58,2348378
0,8,4674500,162,4674023
0,8,2568455,74,2567453
5,2,1569787,200,1568882
0,8,870727,11,869853
0,8,1251779,34,1250937
0,8,1214186,29,1213213
0,8,3635309,122,3634361
0,8,4423505,157,4422687
6,3,1730683,213,1729945
0,8,3949671,138,3948636
0,8,1856079,47,1855124
0,8,2823781,82,2822807
2,1,813663,172,812738
3,11,54050,183,53050
0,8,1478839,40,1477894
0,8,2728505,78,2727547
5,2,1630504,206,1629542
0,8,3511547,117,3510660
0,8,1198292,26,1197318
2,14,886301,179,885423
0,8,3630502,121,3629473
4,6,37246,191,36216
0,8,706356,1,705402
10,0,3166097,234,3165117
0,8,2840902,87,2839937
8,13,1527077,218,1526144
0,3,3289870,106,3288906
9,9,3289,221,2476
0,8,2834062,85,2833074
0,8,1289899,35,1288988
0,8,2292995,55,2292070
0,8,3871709,128,3870942
5,2,1535834,197,1534863
5,2,1623017,205,1622000
5,2,1599674,201,1598787
0,8,867371,10,866391
5,12,1610485,203,1609781
10,0,3162441,233,3161514
0,8,1209985,28,1208980
4,10,33815,190,32835
0,8,750322,5,749314
0,8,3253701,104,3252689
0,8,1238650,32,1237682
1,5,41331,168,40400
0,8,3963135,141,3962225
2,1,817549,173,817059
7,4,2228516,216,2227599
0,8,3601569,119,3600815
0,8,2309588,56,2308875
0,8,3487893,116,3486897
0,8,3341774,108,3340903
0,3,4392476,155,4391482
0,8,817233,8,816237
0,8,2368035,63,2367171
10,0,3126460,231,3125490
0,8,2321136,57,2320393
0,8,1535963,42,1534977
5,2,1531659,196,1530673
0,8,3928035,134,3927312
0,8,1474816,39,1474233
0,8,3262281,105,3261420
10,0,3089002,223,3088123
0,8,3906646,132,3905933
0,8,1135405,23,1134492
10,0,3116397,228,3115586
0,3,2127533,51,2126698
0,8,2553401,72,2552386
3,11,50281,182,49319
3,11,125238,186,124273
0,8,1382865,38,1381870
5,2,1566639,199,1565667
1,16,1009605,170,1008886
8,13,1525569,217,1524684
2,1,826843,175,825971
0,8,967539,15,966566
0,8,1609685,43,1608659
0,8,2819209,81,2818421
10,0,3121885,230,3121014
0,3,1040606,18,1039800
2,1,838943,177,837978
0,8,3958817,140,3957831
0,8,1487516,41,1486532
4,10,63777,193,62796
0,8,3712714,125,3711781
0,8,4769513,166,4768631
4,10,1515860,194,1514896
6,3,1718127,210,1717211
0,8,745630,4,744707
0,8,2930278,92,2929420
0,8,2121499,49,2120598
0,8,3475811,113,3474883
0,8,710413,2,709282
0,8,3392268,111,3391673
0,8,2879567,90,2878703
0,8,1649617,45,1648674
0,8,3975591,142,3974574
0,8,2517420,71,2516791
3,11,41910,181,40986
0,8,1247370,33,1246604
0,3,963298,14,962347
0,8,813072,7,812093
0,8,4058883,149,4058242
2,1,822698,174,821677
0,3,1164370,24,1163401
0,8,2975921,95,2975048
0,8,2795416,79,2794433
0,8,2560429,73,2559575
0,8,3344923,109,3344054
0,8,1860672,48,1859648
7,4,1564,214,573
0,8,874894,12,873910
0,8,2723923,77,2723008
0,8,3986597,144,3986148
4,6,4163,189,3357
0,8,3484725,115,3483913
0,3,3883348,131,3882399
7,4,16470,215,15481
0,8,2124567,50,2123632
0,8,1799441,46,1798627
0,8,4266476,151,4265571
0,8,4739055,165,4738454
0,8,4685863,163,4685216
0,8,4049767,147,4048793
0,8,2270503,54,2269514
0,8,1612962,44,1612027
5,2,1643801,208,1642894
10,0,3092504,224,3091527
0,8,1084006,22,1083168
0,8,3954615,139,3953625
0,3,2510002,70,2509226
1,5,38255,167,37374
10,0,3120182,229,3119289
0,8,3856099,127,3855436
0,8,3391129,110,3390208
0,8,3875858,129,3874863
0,8,2837856,86,2836889
0,8,2719470,76,2718746
4,10,1066,188,97
0,8,3202332,103,3201416
8,15,1531532,219,1530570
0,8,1080374,21,1079384
0,8,4698031,164,4697363
0,8,2371632,64,2371039
0,8,2949277,93,2948707
0,3,1195244,25,1194248
0,8,2876969,89,2875871
