ViafId,MuseumDigitalPlaceId,CapitalCity,GettyThesaurusOfGeographicNamesId,CommonsCategory,GeoNamesId,CountryName,ArchInformLocationId,MapCategory,NutsCode,EuKnowledgeGraphItemId,WhosOnFirstId,BirthCategory,WorldCatIdentitiesIdSuperseded,MainCategory,NationalLibraryOfIsraelJ9uId,LocatorMapImage,OpenStreetMapRelationId,GndId,DeweyDecimalClassification,CoatOfArmsImage,FreebaseId
124251001.0,2568.0,20,1000091.0,152,798549.0,34,3033.0,99,62,46,85633745.0,76,0,143,9.870075618179052e+17,140,90689.0,64,75,55,106
141931875.0,102543.0,86,,166,2673723.0,39,,122,57,0,,120,67,160,9.870075551002052e+17,152,398021.0,160,105,126,75
146498911.0,8240.0,48,1000119.0,86,294640.0,19,2995.0,59,57,57,85632315.0,47,11,88,9.870075525353052e+17,64,1473946.0,44,84,81,81
267149707.0,10155.0,71,1001318.0,88,1642907.0,18,8451.0,61,57,0,85672001.0,49,41,90,9.870075501982052e+17,66,6362934.0,27,87,44,85
151257487.0,87883.0,72,7004548.0,13,3577279.0,22,,10,57,49,85632295.0,114,0,15,9.870075643561052e+17,12,1231749.0,97,98,29,156
138220682.0,23674.0,49,7002223.0,159,1835848.0,37,3175.0,103,57,0,85673185.0,79,27,150,9.870075642311052e+17,145,2297418.0,117,80,107,155
142538950.0,8462.0,25,,42,2660522.0,40,2790.0,122,10,15,85682255.0,100,0,76,9.870075667284051e+17,74,1686631.0,38,71,14,13
158415129.0,,2,,120,3204853.0,36,11187.0,122,57,0,85677465.0,120,77,120,9.870075677329052e+17,124,1675824.0,160,74,62,163
144231507.0,6861.0,92,7013154.0,129,6093943.0,8,2881.0,86,57,0,85682057.0,69,0,128,9.870075595300051e+17,127,68841.0,110,90,52,100
141931875.0,102543.0,86,,166,2673723.0,39,,122,57,0,,120,67,160,9.870075551002052e+17,152,398021.0,160,105,126,75
128544491.0,841.0,21,7006278.0,82,719819.0,17,3056.0,56,44,47,85633237.0,46,23,84,9.870075618085052e+17,47,21335.0,92,37,43,77
138220682.0,23674.0,49,7002223.0,159,1835848.0,37,3175.0,103,57,0,85673185.0,79,27,150,9.870075642311052e+17,145,2297418.0,117,80,107,155
143075287.0,6436.0,16,7004723.0,44,2658370.0,40,2927.0,122,11,14,85682269.0,102,0,165,9.870075620407052e+17,76,1687730.0,90,105,139,162
147740730.0,23773.0,71,,142,1871856.0,30,8403.0,93,57,0,85676611.0,117,0,139,9.870075596355052e+17,136,356443.0,127,79,111,134
312793147.0,423.0,71,7006484.0,151,456172.0,23,1225.0,98,54,75,85686065.0,75,0,142,9.870075526348051e+17,139,1554509.0,62,58,96,108
148983267.0,,29,1003127.0,145,2938912.0,15,,122,21,20,,120,71,50,9.870075647448051e+17,137,286590.0,24,6,111,26
148932214.0,56586.0,71,,0,2657782.0,43,,1,57,0,101853087.0,120,0,1,9.870075621866052e+17,165,11351080.0,95,105,111,0
133320235.0,,73,,158,,12,,102,57,0,,43,0,149,,115,11205889.0,115,105,111,96
316431278.0,,71,1006024.0,49,4020095.0,12,,37,57,73,85632689.0,120,0,44,9.870075442800051e+17,86,9823701.0,160,105,111,35
163480438.0,1741.0,71,,73,2920512.0,15,7855.0,51,57,0,101748589.0,39,43,72,9.870072617594052e+17,82,418617.0,37,5,136,48
158822968.0,199.0,71,7008038.0,132,2968815.0,12,585.0,88,42,55,101751119.0,71,73,131,9.870075617945052e+17,131,7444.0,60,40,94,103
189116956.0,209.0,17,7000084.0,72,2921044.0,15,2979.0,50,12,9,85633111.0,38,0,71,9.870075597787052e+17,57,51477.0,26,105,41,72
130246630.0,6628.0,0,1001061.0,3,325361.0,41,,4,66,25,85679443.0,1,72,4,9.870075553532051e+17,3,167216.0,142,82,111,20
158263965.0,22155.0,77,7004643.0,141,4566966.0,44,3761.0,92,57,11,85633729.0,73,0,138,9.870075643547052e+17,135,4422604.0,84,97,63,104
140751981.0,,32,1003123.0,146,2934245.0,15,,95,24,32,,120,66,55,9.870075598438052e+17,121,63306.0,29,21,51,23
125405737.0,24897.0,47,1000116.0,83,1643084.0,18,2990.0,57,57,62,85632203.0,120,44,85,9.870075525048051e+17,63,304751.0,42,86,110,80
151216682.0,,30,1001137.0,20,1650535.0,18,,16,57,0,85672023.0,120,36,22,9.870075594977052e+17,17,1615621.0,160,105,32,27
167021112.0,12980.0,60,,108,11609040.0,43,6086.0,72,68,30,,56,0,107,9.870075503181052e+17,85,1916530.0,81,105,111,140
244993536.0,5549.0,90,7003632.0,162,2743698.0,29,2925.0,106,56,51,85687041.0,82,95,153,9.870075549462052e+17,171,47772.0,88,62,147,116
126674179.0,55449.0,71,,53,460413.0,23,,40,57,0,85685795.0,28,56,51,9.870075548278052e+17,83,1788369.0,137,58,39,24
137159715.0,5869.0,19,7003672.0,32,2944387.0,15,2710.0,26,19,69,85682561.0,113,0,32,9.870075527722052e+17,91,62718.0,17,15,12,7
246277173.0,77164.0,100,7011999.0,177,689559.0,42,42302.0,115,57,0,85688783.0,91,96,174,9.870075621621052e+17,163,90726.0,147,56,24,58
151720959.0,217.0,71,7005293.0,65,2925533.0,15,315.0,46,22,80,85796795.0,33,0,64,9.870075572522052e+17,62,62400.0,33,7,133,69
151216682.0,,30,1001137.0,20,1650535.0,18,,16,57,0,85672023.0,120,36,22,9.870075594977052e+17,17,1615621.0,160,105,32,27
138220682.0,23674.0,49,7002223.0,159,1835848.0,37,3175.0,103,57,0,85673185.0,79,27,150,9.870075642311052e+17,145,2297418.0,117,80,107,155
151216682.0,,30,1001137.0,20,1650535.0,18,,16,57,0,85672023.0,120,36,22,9.870075594977052e+17,17,1615621.0,160,105,32,27
316429178.0,11296.0,71,7007227.0,118,3527646.0,27,1256.0,80,57,0,857683023.0,64,0,118,9.870075503394052e+17,111,1376330.0,56,96,47,91
146572408.0,6464.0,34,7003023.0,38,2781194.0,3,2713.0,32,1,44,85681651.0,21,32,37,9.870075525180051e+17,28,76909.0,22,26,13,171
9.425154387295232e+21,,99,,176,593118.0,25,,122,57,0,,120,0,173,,162,968952.0,160,105,93,113
261909586.0,,23,1001989.0,14,2177478.0,2,2692.0,122,57,0,85681493.0,95,51,16,9.870075620655052e+17,13,2354197.0,133,105,25,177
151216682.0,,30,1001137.0,20,1650535.0,18,,16,57,0,85672023.0,120,36,22,9.870075594977052e+17,17,1615621.0,160,105,32,27
237710820.0,4017.0,75,7006541.0,104,458258.0,23,3008.0,69,53,12,85633279.0,54,52,102,9.870075643129052e+17,48,72594.0,80,58,46,88
142472483.0,4234.0,71,7029437.0,57,,14,,122,17,0,,115,31,56,9.870075526319052e+17,125,,105,2,34,60
144231507.0,6861.0,92,7013154.0,129,6093943.0,8,2881.0,86,57,0,85682057.0,69,0,128,9.870075595300051e+17,127,68841.0,110,90,52,100
151216682.0,,30,1001137.0,20,1650535.0,18,,16,57,0,85672023.0,120,36,22,9.870075594977052e+17,17,1615621.0,160,105,32,27
167905464.0,6636.0,46,7076947.0,94,3249077.0,15,5118.0,66,34,33,1125421843.0,120,62,159,9.870075595976051e+17,144,62583.0,68,13,74,172
136036430.0,24245.0,70,1001012.0,123,1855608.0,21,5031.0,82,57,0,85672779.0,65,0,123,9.870075619367052e+17,67,358631.0,136,105,82,15
234706549.0,,71,,155,3042047.0,24,15829.0,122,57,0,1125783899.0,118,80,146,,73,1155950.0,126,105,138,121
124355341.0,62001.0,71,,143,2538475.0,28,1245.0,122,57,0,890444507.0,74,0,140,9.870075501981052e+17,115,2799215.0,85,105,108,146
150090688.0,,68,1001892.0,122,3632306.0,45,,81,57,0,85680473.0,120,35,122,9.870075596428051e+17,110,272635.0,130,105,49,63
146572408.0,6464.0,34,7003023.0,38,2781194.0,3,2713.0,32,1,44,85681651.0,21,32,37,9.870075525180051e+17,28,76909.0,22,26,13,171
137212840.0,79990.0,3,7000272.0,5,2113124.0,21,4724.0,6,57,0,85672825.0,3,60,6,9.870075501911052e+17,5,3791413.0,160,105,80,148
168669942.0,101.0,71,,62,2926272.0,15,469.0,44,33,34,101748871.0,120,50,61,9.870073091992051e+17,143,62675.0,31,12,70,166
125452751.0,,79,,60,3229999.0,6,,122,57,0,,119,0,60,9.870074698895052e+17,51,2528144.0,150,105,18,45
