Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,346,1159709,0
1,0,18293,403,17649,0
0,0,7200,132,6637,0
0,0,55025,358,54438,0
0,0,1464254,86,1463646,0
0,0,494817,200,494134,1
0,0,2016292,328,2015537,0
0,0,9057,387,8128,0
0,0,4555,130,3962,0
0,0,683253,96,682675,0
1,0,844685,367,844098,0
1,0,112468,400,111971,0
0,0,4870,339,4217,0
0,0,2682,262,1954,0
0,0,158502,17,158113,0
0,0,1955674,331,1955171,0
0,0,756041,97,755460,1
0,0,1368555,308,1367977,1
0,0,1487064,90,1486369,1
1,0,44362,299,43754,1
0,0,265007,256,264339,0
0,0,128464,415,128075,0
0,0,1921473,106,1920904,1
0,0,458814,351,458125,0
0,0,316703,370,316059,0
0,0,548591,223,548190,0
0,0,1604078,114,1603452,0
0,0,85370,59,84681,0
0,0,17407,259,16820,0
0,0,1033564,296,1032920,0
1,0,1738968,26,1738420,0
0,0,6677,378,6162,1
0,0,278070,219,277438,1
0,0,1731530,335,1730895,0
0,0,477620,203,476973,0
0,0,567879,380,567310,0
0,0,10321,124,9749,0
0,0,1686468,110,1685914,0
0,0,7629,227,6979,0
0,0,1645,355,1004,0
0,0,376974,53,376393,1
1,0,807869,23,807330,1
0,0,426818,134,426186,1
0,0,39701,50,39237,1
0,0,307213,257,306524,0
0,0,782,44,129,1
0,0,1132814,316,1132212,1
0,0,36247,70,35642,1
0,0,170789,66,170208,1
0,0,717564,268,716974,1
0,0,1637787,112,1637185,1
0,0,487905,167,487330,0
1,0,628319,181,627354,1
0,0,1932015,105,1931470,0
0,0,2027,38,1341,0
0,0,1743790,334,1743146,0
0,0,515441,204,514617,0
0,0,1118634,318,1117975,1
1,0,347837,16,347313,0
0,0,250738,322,250097,0
0,0,1579,2,1004,1
0,0,578960,74,578253,0
0,0,552848,142,552180,1
0,0,52129,263,51491,0
1,0,19103,379,18480,1
