Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,594395,23,23,2,0,11,593853,1
1,1604553,30,30,0,1,3,1603456,1
1,378233,22,22,5,1,12,377547,1
1,8556,2,2,0,1,16,7472,1
0,6367,12,12,2,0,5,5834,1
0,54698,3,3,4,0,17,53715,0
1,6827,7,7,5,1,13,5760,1
0,13749,10,10,2,0,4,13234,0
0,927609,15,15,1,0,15,926731,1
0,14346,11,11,2,0,4,13795,0
1,122568,1,1,10,1,9,121405,1
1,336756,13,13,6,1,1,335671,1
1,33285,31,31,0,1,0,32272,0
0,1588619,28,28,1,0,21,1587750,1
1,4053888,18,18,0,1,20,4052872,0
1,2761019,33,33,5,1,16,2760096,1
0,36252,21,21,4,0,11,35719,0
0,4849003,17,17,4,0,18,4848473,1
1,1071790,14,14,6,1,3,1071045,0
0,190769,35,35,1,0,14,189732,0
1,19032,5,5,9,1,1,17995,0
1,1183,26,26,9,1,5,74,0
0,284683,32,32,4,0,1,284348,0
1,4656399,19,19,8,1,21,4655350,0
1,1572271,29,29,0,1,1,1571225,1
1,4908678,20,20,7,1,10,4907866,1
0,4783153,16,16,1,0,15,4782500,1
1,1507271,27,27,0,1,19,1506174,1
1,148407,0,0,10,1,7,147286,1
1,13833,9,9,0,1,8,12931,1
1,1184890,25,25,0,1,4,1183907,1
0,594902,24,24,2,0,11,594441,1
1,9870,6,6,0,1,6,8895,0
0,75149,8,8,2,0,2,74385,0
1,147119,34,34,3,1,22,146937,0
1,24316,4,4,9,1,8,23380,0
