FREEBASE_ID,OFFICIAL_WEBSITE,PRO_CYCLING_STATS_RACE_ID,EDITION_NUMBER,COMMONS_CATEGORY
22,8,3,101.0,13
0,4,5,69.0,21
6,7,0,92.0,12
5,18,9,,16
16,5,2,67.0,20
19,12,9,25.0,1
9,19,9,,11
9,19,9,,11
24,0,9,,7
15,2,1,66.0,19
15,2,1,66.0,19
7,13,9,30.0,4
22,8,3,101.0,13
25,9,6,102.0,14
20,14,9,19.0,0
12,0,9,61.0,17
5,18,9,,16
15,2,1,66.0,19
9,19,9,,11
21,1,9,1.0,6
3,6,7,70.0,22
20,14,9,19.0,0
5,18,9,,16
5,18,9,,16
22,8,3,101.0,13
9,19,9,,11
11,4,9,65.0,18
16,5,2,67.0,20
24,0,9,,7
3,6,7,70.0,22
2,0,8,103.0,15
7,13,9,30.0,4
16,5,2,67.0,20
8,3,9,20.0,5
5,18,9,,16
14,0,9,,10
1,11,9,5.0,10
11,4,9,65.0,18
8,3,9,20.0,5
0,4,5,69.0,21
7,13,9,30.0,4
25,9,6,102.0,14
15,2,1,66.0,19
11,4,9,65.0,18
23,16,4,97.0,9
23,16,4,97.0,9
23,16,4,97.0,9
4,17,9,,8
17,0,9,,3
13,10,9,7.0,10
9,19,9,,11
26,11,9,4.0,10
10,0,9,2.0,10
21,1,9,1.0,6
18,15,9,27.0,2
14,0,9,,10
