SPORT_COUNTRY,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,MEMOIRE_DU_CYCLISME_CYCLIST_ID,GTAA_ID,TWITTER_USERNAME,BIRTH_PLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CITIZENSHIP_COUNTRY,SPORTS_REFERENCECOM_OLYMPIC_ATHLETE_ID_ARCHIVED,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
8,18417.0,449.0,4,,140547.0,20953.0,172365.0,4,9,14324.0,67.0,0,2,111605.0,13,4,8,11,6643.0,48.0,183.0,7
0,,18239.0,3,6233.0,137576.0,,,7,0,67201.0,,13,12,,5,3,0,0,66614.0,6410.0,188.0,0
6,2453.0,73.0,5,475000.0,140846.0,1844.0,88265.0,8,13,15924.0,81.0,1,7,103662.0,9,5,6,1,703.0,12.0,186.0,8
1,43329.0,17902.0,6,,131925.0,32534.0,,4,2,68833.0,,12,9,124648.0,4,6,3,5,39987.0,6100.0,180.0,14
4,44733.0,16677.0,12,213342.0,140118.0,55213.0,225975.0,10,4,73892.0,69.0,11,11,135249.0,2,12,4,3,64982.0,2324.0,185.0,13
7,38094.0,13229.0,7,92341.0,140659.0,17815.0,,2,1,59962.0,72.0,9,5,,11,7,7,0,32681.0,2313.0,185.0,6
0,10770.0,7089.0,2,,140301.0,15551.0,222202.0,4,6,45955.0,70.0,7,3,113241.0,6,2,0,6,16714.0,767.0,181.0,2
8,5275.0,846.0,13,,140758.0,11520.0,214555.0,4,12,26885.0,74.0,2,8,126676.0,3,13,8,4,10655.0,53.0,183.0,10
1,58428.0,21992.0,8,23650.0,168776.0,,,3,11,86895.0,,14,10,,10,8,3,0,77835.0,16793.0,179.0,1
3,11585.0,1994.0,14,569371.0,140778.0,16105.0,225135.0,11,5,28378.0,65.0,3,0,111576.0,8,14,2,8,13069.0,133.0,181.0,11
7,23014.0,7606.0,1,95405.0,140501.0,9831.0,,9,8,45633.0,68.0,6,5,111629.0,12,1,7,9,20340.0,828.0,179.0,3
5,20041.0,6807.0,10,61270.0,140781.0,28206.0,229019.0,5,7,32596.0,67.0,4,13,125028.0,1,11,5,2,21225.0,114.0,182.0,5
4,11009.0,5139.0,0,188233.0,140904.0,15722.0,223655.0,0,3,55131.0,65.0,5,6,135241.0,7,0,4,7,27924.0,581.0,183.0,4
2,47066.0,16881.0,9,41605.0,140633.0,47478.0,238917.0,1,14,59614.0,,10,4,,0,9,1,0,32178.0,2530.0,175.0,12
8,19619.0,7225.0,11,5782.0,140782.0,10243.0,229018.0,6,10,45077.0,68.0,8,1,126667.0,14,10,8,10,15435.0,799.0,185.0,9
