WEIGHT_KG,BIRTHDATE,SPORTS_TEAM,CYCLE_BASE_CYCLIST_ID,OLYMPEDIA_PEOPLE_ID,CQ_RANKING_MALE_CYCLIST_ID,FIRST_NAME,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,BIRTHPLACE,UCI_RIDER_ID,CYCLING_ARCHIVES_CYCLIST_ID
4,10,5,52529,132665.0,19274.0,3,9042,8,178,3,7809.0,141312,0,73573,57052
2,4,2,43386,135495.0,14310.0,7,3991,2,173,7,35954.0,140509,10,53804,36343
5,8,4,44733,135249.0,16677.0,10,2324,4,185,10,213342.0,140118,5,73892,64982
6,6,10,46998,,16666.0,8,2338,3,176,8,22458.0,140492,3,64680,48356
8,5,0,26009,125137.0,12193.0,5,784,1,184,5,1940308.0,140797,11,54603,30229
0,11,6,80654,,,0,65240,5,176,0,,202483,9,157221,121401
1,2,9,19630,,10023.0,2,794,7,175,2,28543.0,140233,2,54679,22431
5,1,1,19478,125021.0,7838.0,11,918,0,180,11,63706.0,140805,4,44337,19062
3,3,9,39238,,13078.0,1,780,7,182,1,10240.0,140385,6,284170,22432
4,9,3,49390,133421.0,18146.0,6,6266,8,179,6,,134488,7,75225,59380
3,0,8,17795,103619.0,43.0,9,139,7,177,9,55134.0,140553,8,13980,8149
7,7,7,38259,,13066.0,4,2211,6,178,4,26443.0,140384,1,62919,39964
