WEIGHT_KG,BIRTHDATE,SPORTS_TEAM,CYCLE_BASE_CYCLIST_ID,OLYMPEDIA_PEOPLE_ID,CQ_RANKING_MALE_CYCLIST_ID,FIRST_NAME,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,BIRTHPLACE,UCI_RIDER_ID,CYCLING_ARCHIVES_CYCLIST_ID
7,9,3,54395.0,141009.0,20730.0,15,18258,6,187,15,252749.0,168961,7,75859,74709
4,1,13,56041.0,135863.0,20719.0,10,18655,2,177,10,127549.0,174582,13,88889,72449
8,8,1,57346.0,141008.0,21244.0,13,16786,2,190,13,17154.0,153344,6,77502,59352
8,3,6,43345.0,,15281.0,8,6246,2,178,8,3825.0,140722,12,64941,32784
2,15,10,83295.0,141007.0,28377.0,11,84019,7,171,11,84000.0,212377,0,587366,141854
6,13,2,,,26392.0,5,45363,6,176,5,,193131,11,148275,89152
3,12,4,62255.0,142857.0,24189.0,2,34011,6,176,2,5751.0,187231,3,79522,82930
3,4,5,41890.0,145561.0,17794.0,4,7724,0,187,4,16190.0,139904,15,68844,52412
11,11,7,58116.0,142862.0,22910.0,12,27111,1,186,12,15237.0,170625,5,99713,81488
5,14,12,71935.0,,28298.0,1,45987,7,176,1,,192457,1,98774,114071
4,2,10,27794.0,120895.0,12923.0,9,2961,8,176,9,156620.0,140821,4,58528,36053
1,7,9,51602.0,,20770.0,7,18564,9,178,7,,138672,14,86539,81864
0,5,11,56666.0,133999.0,18975.0,0,20147,3,172,0,32176.0,133024,2,70590,65132
10,6,0,,,19953.0,3,14737,2,189,3,9081.0,137740,9,81980,77405
9,10,8,62729.0,142164.0,23558.0,6,27121,5,192,6,20811.0,181257,8,97437,101407
11,0,1,,,16895.0,14,1970,4,190,14,16372.0,140066,10,53352,21913
