StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition
0,301826,242,2,31,299487
1,32772,97,1,4,29866
1,373899,29,2,5,371611
0,736453,77,3,23,733583
1,190552,79,2,21,188093
1,1516533,42,2,32,1514173
0,465591,161,2,15,462814
1,54199,32,2,58,51578
1,988200,206,2,23,985546
1,1062895,233,2,31,1060310
0,246580,86,2,19,243767
0,758419,44,2,22,756089
0,488327,202,3,23,485541
0,322020,236,1,19,319249
0,33755,27,2,44,30969
0,355891,244,2,6,353552
1,993191,43,2,32,990858
1,1150558,192,1,23,1147775
0,1152306,221,2,24,1149583
0,1161129,165,2,32,1158613
1,32977,215,1,85,30248
1,33431,26,2,55,30843
0,184674,6,2,12,182293
1,1757922,188,2,32,1755496
0,553480,173,3,1,550610
0,16153,30,2,56,13502
1,292921,245,2,6,290183
0,256062,178,2,5,253732
0,25495,49,2,61,22811
1,8691,195,2,78,6085
1,180436,212,2,11,177890
1,15222,211,2,82,12538
0,867065,116,2,23,864531
1,1966199,103,2,31,1963551
0,546874,142,2,15,544250
0,1024944,232,2,31,1022305
0,519004,251,2,7,516413
0,1176004,164,2,32,1173581
1,82609,137,3,19,79808
1,447956,176,2,24,445458
0,735391,128,2,31,733043
0,1102343,225,2,24,1099539
0,1314205,89,2,32,1311887
1,1034195,208,2,23,1031508
1,204433,61,2,14,201761
1,1800605,108,2,31,1797939
1,125132,80,2,4,122370
0,17633,22,1,53,14982
0,4209,121,2,69,1423
0,187941,231,2,5,185287
0,1065877,198,2,26,1063010
0,425184,135,2,16,422410
0,513629,257,3,15,510834
1,568671,172,2,32,566338
0,1123469,220,1,24,1120611
0,432436,158,1,15,429818
1,218715,54,2,17,215884
1,86749,152,1,3,84020
1,50888,151,2,20,48174
0,107074,254,1,2,104540
0,622377,40,2,31,620053
0,389747,163,1,15,387120
0,422008,200,2,17,419294
0,185153,24,2,27,182502
0,378614,162,2,15,375975
0,309384,110,2,5,306937
1,585607,81,2,6,583331
0,7162,20,2,51,4697
1,650434,38,3,14,647633
1,23290,217,2,50,20606
0,9867,59,2,63,7462
0,473501,201,3,23,470631
0,1713823,8,2,30,1711409
0,700388,15,2,15,697620
0,14845,46,3,60,11996
0,8092,213,2,83,5759
1,13979,197,1,80,11352
0,1053239,112,2,23,1050549
0,15062,85,2,66,12438
1,1100880,194,1,23,1098211
1,8115,171,3,49,5269
1,379418,169,2,34,376740
1,2047179,184,2,31,2044399
1,665447,72,3,23,662586
0,475012,141,2,7,472298
0,1324430,88,2,32,1322082
0,1156973,235,2,31,1154469
1,9580,196,1,79,6749
0,428427,87,3,20,425755
1,1096585,234,2,31,1093946
0,810651,168,2,22,808318
0,12594,150,2,76,9967
1,9089,216,2,85,6579
0,45075,124,1,72,42286
1,1611964,100,1,30,1609262
0,1828534,107,2,31,1825916
1,483376,96,2,24,480707
0,1865809,105,2,31,1862957
0,139709,253,2,1,138117
0,404584,118,2,22,402206
0,1731005,190,3,29,1728183
1,2060220,183,2,31,2057611
0,255561,18,1,23,253126
1,12158,11,2,43,9363
0,21771,83,2,64,19363
0,506933,19,3,23,504105
0,454333,157,2,15,451748
0,262330,243,2,6,259847
0,568854,259,2,15,566233
1,16377,144,2,74,13513
1,199898,35,1,19,197364
0,1633076,186,1,31,1630521
0,602587,41,2,31,600077
0,768058,74,2,23,765323
1,1129346,167,2,32,1126764
0,20976,56,2,46,18310
0,5331,149,2,75,2932
1,629809,113,3,13,627020
0,1825289,187,2,32,1822929
0,590672,258,1,15,588504
1,6553,120,2,68,4166
0,1169591,222,3,24,1166769
1,13678,155,2,3,10931
0,468388,67,3,6,465485
0,476059,148,1,5,473501
0,1251196,180,2,30,1248512
1,1015945,207,2,23,1013150
1,1147282,166,2,32,1144757
1,721934,73,2,23,719244
0,1582479,185,1,31,1579936
1,221070,140,2,9,218443
0,463778,78,2,16,460986
0,11062,5,2,39,8450
1,1570228,99,5,30,1568267
0,308185,64,1,23,306188
0,546370,45,2,8,543824
0,399549,238,2,16,396772
0,57145,55,3,46,54284
0,849988,204,2,23,847319
0,408107,17,1,5,405750
1,60414,226,2,87,57859
1,1007699,205,2,23,1005114
1,7898,10,2,42,5274
0,245264,47,2,0,242583
0,4732,123,2,71,2051
0,21506,57,2,62,18858
1,23129,126,3,73,20358
0,428401,68,2,18,425663
0,1014233,134,1,31,1011738
0,34218,58,2,62,31414
1,2102129,102,2,31,2099463
0,15093,156,3,19,12226
0,1317329,98,2,30,1314768
1,352788,249,2,18,350182
1,565683,139,2,6,563344
1,10603,7,3,40,7772
1,212927,0,5,13,211077
0,276688,209,1,24,274223
0,652210,95,2,8,649424
1,10893,90,2,33,8359
1,4709,31,2,57,2067
0,119436,255,2,2,116878
1,14331,229,2,88,11776
1,1650945,12,2,31,1648582
0,7054,122,2,70,4541
1,456596,16,2,5,453903
1,3590,210,2,82,942
0,1816759,189,2,32,1814429
1,2010450,109,2,32,2008033
1,529696,175,2,1,526820
0,280853,62,2,23,278046
1,423886,65,2,6,421607
1,408724,138,1,35,406415
0,1036042,117,2,25,1033382
0,25731,9,3,41,22858
0,35248,50,2,61,32438
1,2099,3,5,37,3
0,903444,115,1,23,900637
1,460231,147,2,13,457457
1,2171498,182,2,31,2169063
0,817323,76,2,23,814468
1,35322,191,2,77,32611
0,585177,203,3,23,582301
1,41459,218,3,86,38613
0,584285,174,0,1,581721
0,404953,160,2,15,402317
0,16042,111,3,67,13142
1,574686,146,1,13,571897
1,596823,94,2,8,594229
0,71558,153,1,3,69066
0,1115182,219,2,24,1112378
0,556640,252,2,7,553878
0,22835,145,2,74,20457
0,65602,25,2,54,62846
0,321121,170,2,32,318503
1,3099,84,2,65,313
1,2201057,53,2,32,2198634
0,1882048,104,1,31,1879670
0,2065088,101,1,31,2062416
1,8030,143,2,74,5538
1,54570,28,3,44,51787
1,12466,228,2,87,9926
0,1745786,13,2,31,1743231
0,1189938,224,2,24,1187140
1,580806,93,5,8,578836
1,565358,82,2,32,563163
1,935144,131,2,31,932427
1,7331,91,3,48,4482
1,156435,34,3,19,153649
1,249052,70,2,9,246272
1,344245,14,2,0,341906
1,194602,248,3,9,191840
0,536061,256,2,15,533287
0,1851640,106,2,31,1848668
1,450835,66,2,6,448496
0,14547,21,2,52,12235
0,417885,136,2,16,415123
1,237391,69,2,9,234584
0,7271,23,2,53,4884
0,3982,2,2,36,1541
1,21057,154,2,3,18763
0,388287,239,2,16,385492
0,11601,39,2,59,9187
1,175571,92,2,28,172800
0,110238,227,3,87,107374
0,783613,75,2,23,780839
1,8573,214,2,84,6039
1,7513,4,2,38,4757
1,191757,114,2,10,188965
1,205713,246,2,9,202903
1,1484951,181,3,30,1482129
1,880730,133,2,31,877992
1,12861,240,2,89,10087
0,763632,129,2,31,761305
1,1152001,179,1,30,1149578
0,171302,230,4,12,169443
1,187696,247,2,9,185057
1,2180588,52,2,32,2178147
1,17047,37,2,45,14579
0,222070,177,2,5,219359
0,1181628,223,2,24,1179322
1,2776,48,1,61,113
1,950785,132,2,31,948302
0,8596,125,2,72,5819
0,24923,60,2,47,22032
0,42017,199,1,81,39222
0,1200167,193,2,23,1197396
0,696919,71,2,23,694046
0,316755,119,1,24,314314
1,396615,250,1,18,394090
0,381075,237,2,16,378301
0,2113696,51,1,31,2111357
0,272153,63,2,23,269451
1,22052,241,2,90,19278
0,198843,127,2,5,196225
1,775880,130,2,31,773208
0,421319,159,2,15,418704
1,167573,36,3,19,164778
1,11536,33,2,58,9554
1,597333,1,1,18,595705
