PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,SPORT_TYPE,BIRTHPLACE,UCI_RIDER_ID,WEIGHT_KG,BIRTHDATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,1,49682.0,17893,28,134456,5,5,2,553301,58.0,26,35,26,65130,6242,172.0,30,15
0,33,57500.0,21405,22,170313,22,3,28,86710,65.0,30,11,20,82089,17252,180.0,2,10
0,15,44733.0,16677,36,140118,12,0,12,73892,69.0,23,10,33,64982,2324,185.0,25,8
0,2,3262.0,387,1,137456,27,3,13,518429,62.0,5,6,1,1567,3,176.0,21,13
0,21,11713.0,1041,18,140802,21,2,33,32155,63.0,6,25,15,15413,408,176.0,12,10
0,11,5172.0,161,6,140762,1,2,9,13388,68.0,0,12,19,5689,86,174.0,8,0
0,27,30026.0,7147,24,140611,0,3,10,57601,62.0,8,27,22,32008,563,172.0,18,9
0,25,,27671,14,206811,20,3,23,155026,,36,17,12,121990,67824,,33,9
0,26,56041.0,20719,23,174582,25,4,31,88889,65.0,18,29,21,72449,18655,177.0,32,9
0,31,56666.0,18975,0,133024,4,5,2,70590,58.0,26,35,0,65132,20147,172.0,31,15
0,12,22663.0,5789,7,140869,3,3,17,43936,69.0,10,13,6,22017,713,186.0,10,6
0,19,19558.0,3828,13,140870,10,2,5,34012,69.0,9,14,11,21215,264,182.0,13,3
1,18,19255.0,3891,12,140196,31,5,3,32532,71.0,11,30,10,11292,716,183.0,5,15
0,20,69190.0,25740,15,196424,9,3,7,112082,,33,32,12,115868,38195,175.0,33,3
0,35,15225.0,2437,29,140630,33,3,29,30369,68.0,12,36,26,13510,147,176.0,9,12
0,3,43410.0,17901,5,139783,19,1,22,66795,70.0,27,18,5,42590,6413,189.0,20,7
0,30,8783.0,4443,31,140517,11,3,18,44439,64.0,14,19,28,19060,730,178.0,17,9
0,10,3132.0,1861,16,140928,28,3,30,23069,69.0,3,5,13,1472,288,175.0,6,9
0,4,46381.0,18610,17,137427,13,1,24,71557,62.0,25,0,14,63999,12474,173.0,0,9
0,12,22663.0,5789,7,140869,3,3,17,43936,69.0,10,13,6,22017,713,186.0,10,6
0,28,3827.0,4557,34,140194,2,3,26,48167,69.0,13,8,31,25237,1783,179.0,16,1
0,12,22663.0,5789,7,140869,3,3,17,43936,69.0,10,13,6,22017,713,186.0,10,6
0,22,51170.0,11818,26,137745,16,3,6,77534,62.0,17,22,24,66567,6222,178.0,28,4
0,30,8783.0,4443,31,140517,11,3,18,44439,64.0,14,19,28,19060,730,178.0,17,9
1,18,19255.0,3891,12,140196,31,5,3,32532,71.0,11,30,10,11292,716,183.0,5,15
0,27,30026.0,7147,24,140611,0,3,10,57601,62.0,8,27,22,32008,563,172.0,18,9
0,13,3518.0,3,9,140315,17,3,4,16554,58.0,4,7,7,1807,149,169.0,11,5
0,5,16289.0,5,2,140924,26,3,16,14575,61.0,1,31,2,7005,38,177.0,15,13
0,32,56672.0,22018,32,168758,6,5,8,86735,,31,15,29,74063,16639,183.0,4,15
0,8,,24316,3,181239,24,0,34,97280,67.0,32,33,3,104872,37281,186.0,33,11
0,7,,25026,27,198985,7,3,14,109855,54.0,35,16,25,109700,58639,163.0,33,2
0,29,39842.0,12843,21,140292,8,3,32,67388,58.0,19,28,18,57418,2276,166.0,24,2
0,6,47589.0,20960,30,158017,29,5,35,74994,83.0,28,20,27,65329,16724,193.0,1,14
0,17,46909.0,16707,11,134924,32,3,25,62712,65.0,22,2,9,56765,10303,183.0,29,5
1,1,49682.0,17893,28,134456,5,5,2,553301,58.0,26,35,26,65130,6242,172.0,30,15
0,5,16289.0,5,2,140924,26,3,16,14575,61.0,1,31,2,7005,38,177.0,15,13
0,34,47214.0,16722,35,140674,23,0,27,64531,71.0,24,34,32,52973,6228,183.0,27,1
0,9,41075.0,10536,4,140489,14,3,21,60455,68.0,16,24,4,46549,948,183.0,23,9
0,31,56666.0,18975,0,133024,4,5,2,70590,58.0,26,35,0,65132,20147,172.0,31,15
0,23,171.0,311,19,140861,30,3,1,14494,65.0,2,1,16,118,91,172.0,7,9
0,20,69190.0,25740,15,196424,9,3,7,112082,,33,32,12,115868,38195,175.0,33,3
0,16,65688.0,24926,10,198937,7,3,36,95844,60.0,34,3,8,100412,58275,175.0,33,2
0,34,47214.0,16722,35,140674,23,0,27,64531,71.0,24,34,32,52973,6228,183.0,27,1
0,37,11585.0,1994,37,140778,18,3,15,28378,65.0,7,23,34,13069,133,181.0,22,5
0,24,61866.0,23334,20,185156,7,3,19,97634,65.0,29,21,17,100717,35077,170.0,3,2
0,16,65688.0,24926,10,198937,7,3,36,95844,60.0,34,3,8,100412,58275,175.0,33,2
0,24,61866.0,23334,20,185156,7,3,19,97634,65.0,29,21,17,100717,35077,170.0,3,2
0,35,15225.0,2437,29,140630,33,3,29,30369,68.0,12,36,26,13510,147,176.0,9,12
0,36,41885.0,13080,33,140628,15,3,11,64737,65.0,21,26,30,58535,860,180.0,19,4
0,15,44733.0,16677,36,140118,12,0,12,73892,69.0,23,10,33,64982,2324,185.0,25,8
0,11,5172.0,161,6,140762,1,2,9,13388,68.0,0,12,19,5689,86,174.0,8,0
0,26,56041.0,20719,23,174582,25,4,31,88889,65.0,18,29,21,72449,18655,177.0,32,9
0,14,22917.0,6177,8,140232,18,3,20,45643,65.0,15,4,7,20659,1006,179.0,26,5
0,26,56041.0,20719,23,174582,25,4,31,88889,65.0,18,29,21,72449,18655,177.0,32,9
1,0,28095.0,12823,25,137337,0,5,0,58891,71.0,20,9,23,34412,2322,182.0,14,0
1,18,19255.0,3891,12,140196,31,5,3,32532,71.0,11,30,10,11292,716,183.0,5,15
