ViafId,GeoNamesId,CommonsCategory,OpenStreetMapRelationId,ArchInformLocationId,WhosOnFirstId,AssociatedPeopleCategory,MusicBrainzAreaId,NationalLibraryOfIsraelJ9uId,OfficialWebsite,CountryName,StoreNorskeLeksikonId,BirthsCategory,MainCategory,FreebaseId,LibraryOfCongressAuthorityId,CoatOfArmsImage,INaturalistPlaceId
130168302.0,6252001.0,30,148838.0,3058.0,85633793.0,0,9,9.870072691397052e+17,29,30,28,31,30,21,1,25,1.0
237710820.0,458258.0,17,72594.0,3008.0,85633279.0,18,13,9.870075643129052e+17,26,16,15,17,16,11,21,11,8050.0
152361066.0,3175395.0,15,365331.0,2996.0,85633253.0,16,24,9.870075549582052e+17,7,14,12,15,14,7,8,21,6973.0
154775570.0,3996063.0,19,114686.0,3017.0,85633293.0,21,6,9.870075481680051e+17,1,18,17,19,18,22,22,13,6793.0
135958350.0,2623032.0,8,50046.0,2978.0,85633121.0,8,8,9.870075548070052e+17,4,7,5,7,7,31,7,28,8051.0
153009195.0,2264397.0,24,295480.0,3032.0,85633735.0,27,17,9.870075480693052e+17,25,24,22,23,24,16,17,16,7122.0
124906451.0,1522867.0,16,214665.0,3003.0,85632307.0,17,21,9.870075676381052e+17,23,15,13,16,15,10,30,22,7342.0
156652814.0,2750405.0,20,47796.0,3020.0,85633337.0,9,29,9.870075503590052e+17,27,19,18,30,19,13,0,31,7506.0
135375457.0,1269750.0,13,304716.0,2989.0,85632469.0,13,26,9.870075597778052e+17,3,12,9,12,12,8,20,20,6681.0
128919823.0,2077456.0,0,80500.0,2966.0,85632793.0,1,2,9.870075548096051e+17,16,0,0,0,0,24,5,1,6744.0
136600716.0,6251999.0,5,1428125.0,3002.0,85633041.0,5,16,9.870075525311052e+17,17,5,4,5,5,27,4,30,6712.0
134334037.0,690791.0,29,60199.0,3055.0,85633805.0,30,20,9.870075481625052e+17,14,29,29,27,29,19,23,27,8860.0
133609710.0,2510769.0,28,1311341.0,3043.0,85633129.0,29,7,9.870075525318052e+17,10,28,24,26,28,18,3,24,6774.0
125422022.0,597427.0,18,72596.0,3011.0,85633269.0,19,0,9.870075551332051e+17,13,17,16,18,17,12,27,12,8266.0
155855229.0,3144096.0,22,1059668.0,3023.0,85633341.0,22,14,9.870075548074052e+17,8,21,20,21,21,14,6,15,7016.0
157021581.0,732800.0,3,186382.0,2975.0,85633001.0,24,3,9.870075550520051e+17,6,3,2,3,3,1,24,5,8241.0
129679518.0,3469034.0,2,59470.0,2974.0,85633009.0,3,30,9.870075549459052e+17,21,2,1,2,2,0,15,4,6878.0
142995804.0,6269131.0,9,58447.0,2773.0,1360699091.0,10,22,9.870075667994052e+17,30,8,6,8,8,4,26,23,6858.0
135978180.0,718075.0,21,53293.0,6006.0,85632373.0,20,31,9.870075572153052e+17,15,20,19,20,20,23,25,14,10303.0
151203068.0,895949.0,31,195271.0,4556.0,85632559.0,31,27,9.870075527877052e+17,9,31,30,28,31,20,18,18,7145.0
158208597.0,2963597.0,25,62273.0,2993.0,85633241.0,15,5,9.870075643556051e+17,5,25,11,14,25,9,11,10,6718.0
8.055148947783456e+21,99237.0,14,304934.0,2991.0,85632191.0,14,23,9.870075478117052e+17,12,13,10,13,13,25,13,9,8206.0
189116956.0,2921044.0,12,51477.0,2979.0,85633111.0,23,19,9.870075597787052e+17,19,11,27,11,11,6,19,8,7207.0
159069376.0,953987.0,27,87565.0,3045.0,85633813.0,28,10,9.870075609817052e+17,24,27,25,25,27,30,9,17,6986.0
141810140.0,798544.0,23,49715.0,3031.0,85633723.0,25,28,9.870075550897052e+17,0,23,21,22,23,15,16,26,7800.0
168830626.0,2017370.0,26,60189.0,3034.0,85632685.0,26,4,9.870075309815052e+17,2,26,23,24,26,17,31,2,7161.0
264091107.0,3017382.0,11,2202162.0,2984.0,85633147.0,12,1,9.870075525332051e+17,28,10,8,10,10,28,2,0,6753.0
132441531.0,1814991.0,6,270056.0,2977.0,85632695.0,6,18,9.870075503485052e+17,22,22,14,6,22,26,14,29,6903.0
132440532.0,660013.0,10,54224.0,2983.0,85633143.0,11,15,9.870075642310052e+17,11,9,7,9,9,5,12,7,7020.0
148842731.0,2782113.0,1,16239.0,3025.0,85632785.0,2,25,9.870075596513052e+17,0,1,31,1,1,29,10,3,8057.0
137159957.0,3077311.0,7,51684.0,3051.0,85633105.0,7,11,9.870075652515052e+17,18,6,26,29,6,3,29,19,8264.0
140653363.0,2361809.0,4,192783.0,6009.0,85632213.0,4,12,9.870075647543052e+17,20,4,3,4,4,2,28,6,8510.0
