SportType,StageLabel,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,GeneralClassificationLeader,StageDescription
1,72,270.8,290123.0,3,23,69,43,71,28,63,21,14
1,18,45.7,213193.0,25,8,16,14,21,51,13,39,8
1,25,714.9,221278.0,5,15,70,20,29,50,20,41,4
1,43,177.25,264492.0,1,6,42,27,43,38,36,29,14
1,10,203.4,170953.0,46,5,8,8,15,53,9,41,6
1,22,177.0,221197.0,26,28,27,16,19,23,23,14,18
1,56,157.0,268336.0,37,28,52,31,50,41,55,40,8
1,5,201.1,,32,28,5,1,5,2,6,23,8
1,60,175.7,280401.0,40,31,59,35,52,12,58,8,8
1,2,231.0,150825.0,14,18,6,2,6,29,2,22,1
1,67,171.2,279383.0,0,28,64,36,57,32,61,36,8
1,44,257.7,255695.0,16,17,45,28,44,15,40,33,14
1,19,1.6,181881.0,44,32,20,11,16,3,68,1,19
1,71,170.9,279588.0,15,31,56,41,60,37,65,32,8
1,7,860.0,164467.0,18,9,70,4,8,4,4,2,14
1,42,241.0,247169.0,3,23,39,25,40,28,33,21,14
1,36,673.1,248688.0,61,15,70,24,38,18,27,12,5
1,29,8.9,218501.0,36,29,22,18,23,13,68,9,8
1,13,203.4,171107.0,42,31,12,9,12,53,14,41,9
1,69,271.1,278771.0,20,27,61,38,68,28,57,21,14
1,28,257.0,209938.0,16,17,25,21,32,36,21,28,0
1,6,6.85,,10,33,3,1,3,30,68,23,8
1,26,7.4,221274.0,5,29,29,17,22,43,28,34,19
1,51,257.2,268313.0,16,17,46,34,55,9,45,7,14
1,79,192.7,181832.0,41,12,19,12,71,34,68,25,8
1,75,154.2,171101.0,34,31,10,6,70,10,67,34,7
1,63,177.0,280444.0,1,6,58,37,65,38,50,29,14
1,16,182.2,181773.0,45,28,18,10,14,17,16,20,17
1,53,202.2,268332.0,47,31,49,31,47,12,52,40,8
1,41,188.6,247154.0,13,3,40,25,34,53,30,41,15
1,9,40.0,172289.0,39,26,7,5,10,49,8,38,14
1,15,12.7,181769.0,56,29,17,10,13,43,15,34,17
1,3,253.5,149887.0,16,17,2,3,7,21,3,15,14
1,74,9.0,171099.0,57,29,9,6,69,43,66,34,13
1,30,159.6,209992.0,35,30,26,19,24,25,31,17,20
1,4,178.5,,38,31,4,1,4,48,7,23,8
1,49,2.7,270456.0,58,32,53,30,0,13,68,9,12
1,8,764.8,164573.0,7,22,70,4,9,7,5,5,16
1,47,254.3,255626.0,3,23,41,28,51,23,41,17,14
1,24,201.1,219068.0,33,14,23,20,28,3,19,1,14
1,65,,279388.0,9,0,70,39,67,46,43,36,14
1,38,181.3,248686.0,4,28,33,23,31,27,38,12,19
1,73,150.0,292831.0,43,24,68,42,71,16,64,11,14
1,37,7.1,253249.0,61,28,32,23,30,18,37,12,19
1,35,238.0,247166.0,60,10,38,25,37,26,25,19,14
1,45,197.7,256742.0,11,19,44,27,45,14,26,10,14
1,27,142.1,221277.0,30,28,30,17,71,11,29,41,19
1,46,,256143.0,7,22,70,27,41,39,32,30,14
1,34,8.14,247349.0,45,29,37,22,27,44,35,19,8
1,61,172.6,280403.0,19,28,60,35,53,28,59,21,8
1,57,34.2,272198.0,59,26,55,33,59,47,46,37,14
1,23,160.0,221198.0,21,30,28,16,71,42,24,14,18
1,77,191.4,256579.0,51,31,43,26,71,35,68,27,8
1,40,200.0,247131.0,24,16,31,25,39,20,69,14,14
1,66,13.6,279382.0,50,29,63,36,56,22,60,16,8
1,39,171.7,248687.0,53,28,34,23,71,40,39,12,19
1,48,169.9,270176.0,40,31,47,29,42,26,68,19,8
1,78,182.8,209929.0,46,5,24,21,36,28,18,21,15
1,59,,280407.0,49,22,70,37,62,28,48,21,14
1,32,132.1,247346.0,9,31,35,22,25,19,68,13,8
1,54,182.0,268333.0,55,31,50,31,48,8,53,40,8
1,64,29.5,,22,8,66,40,66,22,51,16,8
1,21,703.0,221199.0,28,4,70,20,35,20,17,14,3
1,14,197.4,182042.0,8,1,21,12,18,6,11,4,8
1,0,205.0,,31,20,0,0,1,24,0,18,8
1,52,13.2,268331.0,17,29,48,31,46,53,68,41,8
1,17,206.5,180796.0,29,7,15,13,20,33,12,26,14
0,1,197.5,,52,21,1,0,2,45,1,35,8
1,20,192.6,,2,31,14,15,17,8,68,6,11
1,58,204.0,279314.0,27,13,62,39,61,26,47,19,14
1,62,190.6,280915.0,54,2,67,37,63,1,56,0,14
1,50,197.6,270563.0,23,11,54,32,54,5,44,3,14
1,76,211.0,279106.0,13,3,57,39,64,19,49,13,14
1,70,1143.0,279601.0,48,25,70,37,71,31,42,24,14
1,11,234.5,174321.0,12,18,13,7,72,29,10,22,2
1,33,157.0,247348.0,0,31,36,22,26,26,34,19,8
1,55,171.5,268335.0,18,28,51,31,49,52,54,40,8
1,12,13.7,171106.0,42,34,11,9,11,0,68,31,10
1,68,179.4,279384.0,6,31,65,36,58,46,62,36,8
1,31,689.2,247353.0,9,0,70,25,33,28,22,21,14
