SportType,StageLabel,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription,EndLocation
0,49,127.5,34,13,30,23,42,32,50,6.0,20,18,4,29
0,29,209.0,39,12,19,14,23,17,32,5.0,12,10,4,16
0,36,28.6,42,11,23,15,45,23,39,8.0,16,15,4,36
0,7,833.1,12,8,18,4,8,35,5,,11,10,5,3
0,4,176.0,10,13,22,3,2,2,7,5.0,15,12,4,28
0,27,57.0,25,13,11,12,45,16,29,9.0,6,9,4,12
0,43,123.8,4,14,3,18,36,29,44,8.0,1,12,9,4
0,16,161.1,40,12,12,9,12,7,19,2.0,7,20,4,35
0,33,222.0,6,12,19,15,28,20,36,4.0,12,5,4,8
0,5,9.6,33,11,22,3,45,3,8,7.0,15,12,4,10
0,8,132.0,1,12,26,5,5,5,11,3.0,17,16,0,23
0,34,160.8,47,13,26,15,29,21,37,6.0,17,15,4,37
0,11,841.0,35,8,0,8,10,35,9,,11,0,5,26
0,42,170.5,13,13,18,18,35,28,43,7.0,10,12,9,2
0,1,264.0,8,7,28,1,1,1,1,,11,17,5,27
0,13,192.7,14,1,35,10,18,6,12,,11,22,5,15
0,23,646.66,24,4,18,13,25,35,16,,11,10,3,17
0,6,761.9,27,4,6,4,7,35,4,,11,4,6,17
0,35,100.0,42,10,19,15,30,22,38,7.0,12,15,4,36
0,0,203.0,23,0,13,0,0,0,0,,11,7,5,21
0,47,19.2,20,11,34,22,41,34,49,8.0,24,6,9,19
0,46,216.6,37,13,8,22,40,33,48,7.0,3,6,9,20
0,15,711.7,44,4,36,11,20,35,15,,11,23,5,24
0,25,162.8,45,12,20,12,21,14,27,6.0,13,21,4,1
0,22,38.4,5,11,32,9,45,13,25,9.0,22,15,4,5
0,21,164.6,7,10,2,9,17,12,24,7.0,0,19,4,13
0,38,186.0,14,1,1,19,38,25,31,,11,1,5,15
0,12,689.9,16,9,16,7,11,35,10,,11,8,5,39
0,28,852.3,15,8,0,13,31,35,18,,11,0,5,14
0,52,107.6,28,13,21,21,46,31,52,4.0,14,11,8,38
0,51,217.4,43,3,24,16,45,24,51,,11,13,4,37
0,31,1166.3,9,5,26,17,32,35,26,,11,15,5,36
0,26,16.8,11,11,10,12,22,15,28,8.0,5,9,4,12
0,32,150.2,5,13,14,15,27,19,35,3.0,8,5,4,40
0,44,34.1,4,11,27,18,45,30,45,9.0,18,12,9,4
0,2,695.04,26,4,4,2,3,35,2,,11,2,5,11
0,18,193.2,18,10,15,9,14,9,21,4.0,9,20,4,22
0,3,834.6,22,8,25,2,4,35,3,,11,14,5,32
0,39,1215.4,19,5,22,20,39,35,34,,11,12,1,4
0,10,195.5,31,10,33,6,6,4,14,7.0,23,3,4,7
0,30,168.0,2,10,9,14,24,18,33,6.0,4,10,4,9
0,41,186.0,17,13,29,18,34,27,42,6.0,19,12,9,18
0,20,193.1,46,14,19,9,16,11,23,6.0,12,19,4,6
0,48,1253.0,41,6,30,25,45,35,46,,11,18,5,33
0,9,1447.0,29,2,5,8,9,35,6,,11,3,5,30
0,19,237.3,37,13,31,9,15,10,22,5.0,21,19,4,34
0,24,1197.2,3,5,17,13,26,35,17,,11,9,5,12
0,45,699.52,32,4,21,25,44,35,40,,11,11,2,17
0,37,770.2,0,9,21,16,37,35,30,,11,11,5,0
0,17,117.3,38,12,19,9,13,8,20,3.0,12,20,4,31
0,50,778.6,36,9,30,24,43,35,47,,11,18,7,0
0,14,1144.7,30,2,22,11,19,35,13,,11,12,5,10
0,40,155.7,21,13,7,18,33,26,41,5.0,2,12,9,25
