SportType,StageLabel,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription,EndLocation
1,5,195.0,10,8,8,4,5,4,5,1.0,5,6,0,6
1,8,170.5,0,7,7,4,8,7,8,4.0,4,1,0,9
1,11,195.5,8,5,12,5,9,9,10,7.0,8,2,0,0
1,7,170.5,1,5,1,4,7,6,7,3.0,0,1,0,1
1,3,724.9,2,4,0,3,3,11,3,,6,0,1,8
1,12,128.0,9,5,2,5,11,10,11,8.0,1,2,0,7
1,9,9.6,9,6,10,4,11,8,9,7.0,7,8,0,2
1,1,298.0,7,1,6,2,1,2,1,,6,5,1,10
1,10,1447.0,6,2,3,6,10,11,4,,6,2,1,7
0,4,2.9,5,9,4,4,4,3,12,0.0,2,3,0,5
1,6,200.5,11,8,5,4,6,5,6,2.0,3,4,0,3
1,2,190.0,4,3,11,1,2,1,2,3.0,6,9,1,11
1,0,200.0,3,0,9,0,0,0,0,,6,7,0,4
