GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,23,65081,85,85,0,22,62292,1
1,0,183,4679,184,184,3,132,1893,0
1,0,13,308397,303,303,3,56,305485,0
1,0,68,847503,312,312,3,37,845194,0
1,0,80,517997,131,131,3,0,514713,0
1,0,46,236472,222,222,3,4,233641,0
1,0,138,2449,0,0,3,150,11,0
0,0,137,7010,291,291,0,146,4233,1
1,0,127,491613,133,133,3,38,488857,1
1,0,26,56619,316,316,3,12,53854,1
1,0,82,3014,94,94,3,64,228,1
1,0,91,639965,258,258,3,21,637563,0
1,0,89,570499,251,251,3,24,567725,0
1,0,156,7457,212,212,3,38,4911,1
1,0,90,6673,232,232,3,137,3815,0
0,0,104,716265,36,36,0,27,713932,0
1,0,81,29749,161,161,3,26,26915,1
1,0,141,1133115,271,271,3,50,1130755,1
1,0,134,60671,176,176,3,44,58218,1
1,0,151,2940,210,210,3,134,73,1
0,0,19,8383,218,218,0,135,7271,0
0,0,181,17724,293,293,1,57,14986,1
1,0,171,13435,273,273,3,142,10745,0
0,0,160,359419,73,73,0,14,357746,0
1,0,4,510295,140,140,3,24,507728,1
1,0,89,628364,100,100,3,24,625434,0
1,0,159,514297,268,268,3,3,512000,0
1,0,18,12191,231,231,3,13,9909,1
1,0,1,848494,162,162,3,32,847454,0
1,0,184,496021,27,27,3,1,493463,0
1,0,46,485801,34,34,3,4,483723,0
0,0,92,782600,204,204,0,28,781197,0
1,0,107,7188,125,125,3,119,4384,0
1,0,108,8831,111,111,3,117,6234,1
1,0,89,654938,252,252,3,24,652152,0
1,0,105,984,305,305,3,149,31,0
1,0,104,1094,24,24,3,73,159,1
0,0,131,24358,274,274,0,142,21590,0
0,0,88,1225,53,53,0,77,1,1
0,0,3,2772,318,318,0,12,301,1
0,0,111,36463,116,116,0,15,33455,1
1,0,132,28068,64,64,3,65,25282,1
1,0,66,3158,254,254,3,91,408,1
1,0,130,2351295,265,265,3,56,2348338,0
0,0,29,9939,57,57,0,100,8926,0
1,0,74,10214,241,241,3,23,7875,1
1,0,14,9052,246,246,3,140,7148,1
0,0,45,811998,313,313,0,37,810235,0
1,0,110,4342,83,83,3,29,1385,1
1,0,85,3790,208,208,3,87,806,0
1,0,13,1721524,41,41,3,56,1718519,1
0,0,152,2010044,11,11,2,54,2009265,0
0,0,140,4119,43,43,0,31,967,1
1,0,13,1008775,189,189,3,56,1006142,0
0,0,163,66235,247,247,0,38,64469,1
1,0,35,556405,239,239,3,25,554000,1
1,0,167,8756,144,144,3,43,5919,1
0,0,59,4216,132,132,0,45,1460,1
1,0,172,430057,186,186,3,30,427406,0
0,0,153,1137976,136,136,0,55,1133828,0
0,0,83,1204,127,127,0,85,2,0
0,0,117,103187,322,322,1,9,101616,0
0,0,135,779582,203,203,0,28,776703,0
1,0,143,976,21,21,3,72,2,1
1,0,21,690828,275,275,3,34,688522,0
1,0,6,3258,40,40,3,75,436,0
1,0,178,6116,58,58,3,101,4224,1
1,0,121,628999,142,142,3,11,626735,0
1,0,8,688837,88,88,3,23,685982,0
1,0,114,9121,288,288,3,36,6152,1
1,0,127,33240,55,55,3,38,30436,1
1,0,165,492362,28,28,3,1,490971,0
1,0,168,4777,19,19,3,68,2027,1
0,0,75,26225,205,205,0,63,24447,1
1,0,72,783456,81,81,3,31,780772,0
1,0,159,26060,261,261,3,3,23298,1
0,0,16,169188,307,307,0,42,166855,1
1,0,35,683526,259,259,3,21,681076,0
1,0,11,63873,309,309,3,15,60922,1
0,0,59,1185502,69,69,0,45,1183688,0
1,0,13,644271,98,98,3,56,641242,1
1,0,135,16574,221,221,3,136,14088,1
0,0,154,3713,284,284,1,95,2106,0
1,0,119,59561,139,139,3,48,57681,1
0,0,2,3597,234,234,0,138,1834,0
1,0,100,5794,135,135,3,121,3014,0
1,0,90,665511,168,168,3,16,663544,0
1,0,164,41742,308,308,3,42,39727,1
1,0,21,829858,120,120,3,34,827087,0
0,0,24,794113,242,242,1,30,793295,0
0,0,78,169312,66,66,0,53,166550,0
1,0,73,471708,198,198,3,18,469507,0
1,0,76,144749,118,118,3,13,141924,1
1,0,35,625252,228,228,3,25,622190,0
1,0,73,582823,22,22,3,18,581135,0
0,0,61,702008,180,180,0,29,700188,0
1,0,28,9553,114,114,3,83,7784,0
1,0,141,648458,159,159,3,19,645735,0
0,0,152,1917064,173,173,0,54,1914173,1
1,0,76,122539,190,190,3,13,120197,1
1,0,114,84540,306,306,3,5,82828,1
0,0,145,120500,321,321,0,9,118605,0
1,0,172,411506,59,59,3,30,408474,0
0,0,116,594892,226,226,0,25,591674,0
1,0,84,2350211,166,166,3,57,2347587,0
1,0,133,912033,74,74,3,38,909235,0
1,0,76,25743,230,230,3,13,24748,1
1,0,112,1182,92,92,3,113,1,1
0,0,58,4231,134,134,0,49,1391,1
0,0,152,14595,65,65,0,65,12280,1
1,0,47,9360,255,255,3,92,6577,0
1,0,10,14953,302,302,3,51,12005,1
1,0,44,88710,160,160,0,26,87850,1
1,0,172,760085,243,243,3,30,757590,0
1,0,57,14455,90,90,3,111,11690,0
1,0,151,106204,280,280,4,16,104012,1
0,0,2,4524,240,240,0,139,2574,0
1,0,17,486237,25,25,3,45,483109,0
0,0,85,19758,185,185,0,133,17038,0
0,0,96,47207,82,82,0,110,45534,1
0,0,161,36437,102,102,0,115,35517,1
1,0,37,5595,68,68,3,105,2761,1
1,0,133,931453,224,224,3,38,928565,0
1,0,70,2693,281,281,3,94,396,0
0,0,104,4036,63,63,0,65,1289,1
1,0,58,93761,72,72,3,63,90201,1
1,0,59,11733,75,75,3,80,9154,0
1,0,134,27235,147,147,3,27,24623,1
0,0,102,166461,193,193,0,9,164566,1
0,0,134,45706,262,262,0,3,43370,1
1,0,113,351197,215,215,3,60,348939,0
1,0,48,33122,282,282,3,39,30594,1
1,0,141,1425113,14,14,3,50,1422420,0
1,0,4,225780,79,79,3,24,223900,0
0,0,163,56433,248,248,1,38,54619,1
0,0,25,1739,12,12,1,70,3,1
0,0,127,201879,300,300,0,59,200095,0
1,0,84,1320804,150,150,3,57,1318300,0
0,0,51,650247,101,101,0,24,648161,0
0,0,158,3779,183,183,0,131,1517,0
0,0,15,64637,149,149,0,63,62859,1
1,0,52,4799,272,272,3,142,2103,0
1,0,105,7313,235,235,3,138,4734,0
0,0,148,19476,157,157,0,126,17815,1
1,0,173,7957,141,141,3,124,5381,0
0,0,182,840765,122,122,0,34,837994,0
1,0,130,2120212,106,106,3,56,2117660,0
0,0,177,739713,326,326,0,28,736933,0
0,0,176,2442,154,154,0,33,1297,1
1,0,121,29971,143,143,3,43,27197,1
1,0,175,1032018,50,50,3,42,1029001,0
1,0,174,16396,294,294,3,147,13598,0
1,0,80,492103,130,130,3,0,489575,0
0,0,157,3892,45,45,0,52,599,1
1,0,134,439193,287,287,3,44,435576,0
1,0,4,578138,99,99,3,24,576360,0
1,0,179,3857,104,104,3,116,1095,1
1,0,122,924785,236,236,3,55,922281,1
1,0,105,474181,192,192,3,5,471830,0
1,0,35,577397,7,7,3,25,576201,0
0,0,64,9141,219,219,0,135,8410,0
1,0,118,981807,278,278,3,50,979324,1
1,0,172,14712,220,220,3,89,11650,0
1,0,147,2360044,13,13,3,57,2358530,0
1,0,166,11256,253,253,3,90,8914,1
1,0,129,7825,91,91,3,112,5795,0
0,0,135,9869,54,54,0,56,8244,1
1,0,81,128705,206,206,3,26,127131,1
0,0,160,86361,188,188,0,14,83876,1
0,0,38,1981,298,298,0,97,2,0
0,0,93,16147,257,257,0,7,12986,1
1,0,11,494127,310,310,3,15,492577,1
0,0,66,21702,60,60,0,102,18811,0
1,0,24,38827,225,225,3,22,35924,1
1,0,61,5339,52,52,3,99,2904,1
0,0,88,748745,35,35,0,27,745776,0
1,0,87,3210,23,23,3,71,616,1
1,0,43,265842,216,216,3,9,263029,0
0,0,50,10587,182,182,0,130,8119,1
1,0,26,636457,211,211,3,12,635763,0
0,0,159,30562,279,279,1,16,28739,1
1,0,122,58311,299,299,3,55,56848,1
1,0,48,905988,97,97,3,39,903148,0
1,0,101,710712,200,200,3,34,708220,0
1,0,27,68416,263,263,3,3,66416,1
0,0,106,8397,16,16,0,9,5578,1
1,0,136,483389,320,320,3,6,481422,0
0,0,103,3158,6,6,0,37,342,1
1,0,110,690966,179,179,3,29,687994,0
1,0,169,15683,256,256,3,93,12888,0
1,0,116,378832,38,38,3,61,376718,0
1,0,141,39618,84,84,3,50,36688,1
0,0,53,571445,199,199,0,18,567813,0
0,0,20,478312,10,10,0,10,477440,0
1,0,154,2020967,177,177,3,54,2018517,0
0,0,156,4567,56,56,0,78,1604,0
1,0,28,24449,113,113,3,83,21516,0
0,0,163,54516,93,93,0,38,53479,1
1,0,43,203978,194,194,3,9,202245,1
0,0,32,955,153,153,1,86,2,1
1,0,134,1130391,197,197,3,44,1127446,0
0,0,15,61849,48,48,0,63,60071,1
1,0,130,1824669,164,164,3,56,1821786,0
1,0,112,21022,62,62,3,103,18272,1
0,0,146,472191,47,47,0,1,470518,0
1,0,130,2028531,267,267,3,56,2025571,0
1,0,8,4543,137,137,3,122,1706,1
0,0,5,77950,18,18,0,21,74987,1
0,0,36,1337382,270,270,1,50,1335682,0
0,0,55,1973,1,1,1,152,3,1
1,0,60,9934,87,87,3,47,6965,1
1,0,40,16389,181,181,3,37,14728,1
1,0,15,242630,119,119,3,20,239769,1
0,0,65,31215,301,301,1,66,30121,1
1,0,60,1175229,145,145,3,47,1172704,0
1,0,95,6217,319,319,3,12,3602,1
1,0,120,79885,229,229,3,10,77750,1
0,0,41,517648,169,169,0,7,514706,0
1,0,147,1709527,108,108,3,57,1707056,1
1,0,121,905310,39,39,3,43,902803,0
1,0,30,5025,155,155,3,125,2677,1
0,0,139,4613,117,117,0,6,1626,1
0,0,116,20670,138,138,0,123,18052,1
0,0,144,1434052,152,152,0,50,1432280,0
1,0,130,2327020,264,264,3,56,2324351,0
1,0,106,30617,148,148,3,64,28410,1
0,0,54,791878,121,121,0,34,790079,0
1,0,2,10460,78,78,3,109,8049,1
0,0,7,764760,202,202,0,28,762982,0
1,0,26,21822,317,317,3,12,18838,1
1,0,97,411543,244,244,3,28,408877,0
1,0,44,706189,15,15,3,26,704129,0
0,0,146,512863,95,95,0,2,510464,0
1,0,26,145152,315,315,3,12,142906,1
0,0,170,4421,32,32,0,74,3684,1
1,0,27,244861,158,158,3,3,243077,0
1,0,28,19013,46,46,3,33,16263,1
1,0,43,197559,195,195,3,9,195199,1
1,0,4,8963,175,175,3,129,6399,1
0,0,163,6840,285,285,0,144,3826,0
0,0,149,34372,2,2,0,48,33320,1
1,0,137,110366,249,249,3,62,107442,1
1,0,41,7278,96,96,3,114,4399,0
0,0,176,67475,297,297,0,54,65139,1
0,0,39,1140600,196,196,0,44,1138639,0
1,0,33,1174681,77,77,3,46,1172813,0
1,0,49,1443,20,20,3,69,1,1
0,0,96,7112,283,283,0,143,4374,1
1,0,13,1113039,296,296,3,56,1110685,1
1,0,79,7245,290,290,3,145,4687,1
1,0,80,12451,174,174,3,128,9695,1
0,0,67,2274,51,51,0,76,1,0
1,0,84,2194888,107,107,3,57,2192474,1
1,0,134,16715,187,187,3,44,14439,1
0,0,180,750304,207,207,0,34,747923,0
0,0,117,258722,217,217,0,9,256827,0
1,0,13,44770,26,26,3,48,42977,1
1,0,22,56555,323,323,3,40,54387,1
1,0,77,18751,110,110,3,82,16475,1
1,0,130,2149200,266,266,3,56,2146741,0
0,0,63,13820,29,29,0,22,12766,1
0,0,8,645301,276,276,0,10,642806,0
1,0,80,19819,123,123,3,0,16985,1
1,0,155,458839,17,17,3,10,457553,0
0,0,24,58458,115,115,0,15,55432,1
0,0,115,447897,286,286,1,44,446350,0
1,0,12,588116,3,3,3,8,586977,0
1,0,147,342240,151,151,3,57,339421,1
1,0,175,130785,105,105,3,17,128263,0
1,0,124,2892,67,67,3,104,97,0
1,0,120,596370,277,277,3,10,593812,0
1,0,31,46833,76,76,3,108,44356,0
1,0,84,670094,37,37,3,57,667467,0
0,0,142,2028848,178,178,2,54,2027736,0
0,0,100,117865,209,209,0,3,115973,1
1,0,93,4460,128,128,3,85,2295,0
0,1,0,655728,167,167,0,16,653962,0
1,0,107,201254,156,156,3,58,198909,0
1,0,52,4289,170,170,3,35,3018,1
1,0,62,3538,292,292,3,96,857,1
1,0,145,12394,304,304,3,148,9605,0
1,0,6,396132,245,245,3,28,393928,0
1,0,128,14564,61,61,3,79,12819,1
0,0,184,39476,269,269,0,141,36720,1
1,0,99,13956,213,213,3,88,10954,0
1,0,86,68621,191,191,3,55,67503,1
0,0,94,390438,238,238,0,11,389477,0
1,0,5,5678,129,129,3,120,4257,1
0,0,67,467624,171,171,0,10,464685,0
1,0,68,825842,311,311,3,37,823350,0
0,0,109,38223,31,31,0,40,36197,1
0,0,154,968,8,8,0,151,3,0
1,2,100,11541,325,325,3,40,8509,1
0,0,180,12865,289,289,0,36,9965,1
0,0,12,606712,237,237,0,11,603989,0
0,0,8,392186,223,223,0,10,389424,0
1,0,150,2982,71,71,3,107,445,1
1,0,162,22938,86,86,3,54,21226,1
1,0,130,1573917,165,165,3,56,1571158,0
1,0,105,59850,103,103,3,5,57439,1
0,0,25,4734,124,124,0,84,2191,0
0,0,180,729858,201,201,0,34,727477,0
0,0,98,367390,214,214,1,60,364778,0
0,0,56,966472,30,30,0,41,963723,0
0,0,87,18183,233,233,0,137,15433,0
1,0,37,4073,5,5,3,67,1218,0
1,0,50,15577,70,70,3,106,12521,1
1,0,13,2071578,163,163,3,56,2068987,0
1,0,123,27589,109,109,3,81,25172,0
1,0,72,22430,44,44,3,31,19944,1
1,0,9,181574,314,314,3,27,180063,1
1,0,126,801320,80,80,3,31,798915,0
0,0,76,11142,112,112,0,118,8839,1
1,0,91,16034,126,126,3,21,13233,0
1,0,78,10610,172,172,3,127,8169,1
0,0,51,553364,250,250,0,16,550602,0
1,0,71,16963,49,49,3,98,14936,0
0,0,149,1171911,146,146,0,47,1168945,0
1,0,15,585311,227,227,3,25,582390,0
1,0,34,1820,9,9,3,153,189,0
0,0,42,531490,33,33,0,4,528650,0
1,0,22,26744,324,324,3,40,24147,1
1,0,109,71684,295,295,3,14,69120,1
0,0,63,22871,4,4,0,22,21810,1
1,0,147,2325261,42,42,3,57,2323705,0
1,0,69,10910,89,89,3,111,8910,0
0,0,125,663320,260,260,0,21,660522,0
