GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,25,38827,224,224,3,25,35924,1
1,0,186,4679,182,182,3,133,1893,0
0,0,140,9869,52,52,0,58,8244,1
1,0,69,825842,310,310,3,40,823350,0
0,0,141,502030,129,129,0,0,499289,0
1,0,97,79193,76,76,3,3,76656,1
1,0,144,2449,0,0,3,151,11,0
0,0,143,7010,291,291,0,147,4233,1
0,0,167,66235,246,246,0,41,64469,1
1,0,27,21822,317,317,3,13,18838,1
0,0,76,104384,70,70,0,65,101526,1
0,0,5,77950,17,17,0,24,74987,1
1,0,4,510295,140,140,3,27,507728,1
1,0,69,847503,311,311,3,40,845194,0
1,0,92,6673,231,231,3,138,3815,0
1,0,10,181574,314,314,3,30,180063,1
1,0,37,625252,227,227,3,28,622190,0
1,0,122,981807,277,277,3,52,979324,1
1,0,139,16715,185,185,3,46,14439,1
1,0,156,2940,211,211,3,135,73,1
0,0,20,8383,218,218,0,136,7271,0
1,0,134,2351295,263,263,3,58,2348338,0
1,0,175,13435,271,271,3,143,10745,0
0,0,164,86361,187,187,0,15,83876,1
1,0,4,225780,77,77,3,27,223900,0
1,0,4,578138,98,98,3,27,576360,0
1,0,28,504140,267,267,3,2,500865,0
1,0,27,636457,212,212,3,13,635763,0
1,0,1,847195,162,162,3,35,845501,0
1,0,169,492362,27,27,3,1,490971,0
1,0,46,236472,222,222,3,3,233641,0
0,0,140,779582,202,202,0,31,776703,0
1,0,110,7188,123,123,3,120,4384,0
1,0,111,8831,109,109,3,118,6234,1
0,0,51,650247,100,100,0,27,648161,0
1,0,108,984,304,304,3,150,31,0
1,0,149,976,20,20,3,74,2,1
0,0,135,24358,272,272,0,143,21590,0
0,0,90,1225,51,51,0,78,1,1
1,0,125,628999,142,142,3,12,626735,0
1,0,12,13990,114,114,3,16,11384,1
0,0,157,14595,64,64,0,67,12280,1
1,0,67,3158,253,253,3,92,408,1
1,0,134,2327020,262,262,3,58,2324351,0
0,0,30,9939,55,55,0,101,8926,0
0,0,24,65081,82,82,0,25,62292,1
1,0,15,9052,245,245,3,141,7148,1
0,2,181,805554,313,313,0,40,804478,0
0,0,94,782600,203,203,0,31,781197,0
1,0,86,3790,209,209,3,88,806,0
1,0,134,1573917,165,165,3,58,1571158,0
0,0,9,1995400,173,173,0,56,1993454,0
0,0,25,794113,241,241,1,33,793295,0
1,0,14,644271,96,96,3,58,641242,1
0,0,167,56433,247,247,1,41,54619,1
1,0,91,654938,251,251,3,27,652152,0
1,0,179,1032018,48,48,3,44,1029001,0
0,0,40,1140600,195,195,0,46,1138639,0
1,0,176,411506,57,57,3,33,408474,0
1,0,126,924785,235,235,3,57,922281,1
0,0,84,1204,125,125,0,86,2,0
0,0,109,8397,15,15,0,9,5578,1
0,0,7,764760,201,201,0,31,762982,0
1,0,89,3210,22,22,3,73,616,1
1,0,105,587182,273,273,3,37,584897,1
0,0,174,4421,31,31,0,76,3684,1
1,0,182,6116,56,56,3,102,4224,1
0,0,13,606712,236,236,0,12,603989,0
1,0,73,21218,240,240,3,26,18921,1
0,0,138,2501,81,81,1,38,102,1
1,0,161,7457,213,213,3,41,4911,1
0,0,54,490870,44,44,0,1,489493,0
1,0,38,4073,5,5,3,69,1218,0
1,0,143,110366,248,248,3,64,107442,1
1,0,74,22430,43,43,3,34,19944,1
1,0,163,15107,261,261,3,2,12237,1
1,0,168,41742,307,307,3,44,39727,1
0,0,130,663320,257,257,0,24,660522,0
0,0,25,58458,113,113,0,16,55432,1
1,0,18,486237,24,24,3,47,483109,0
1,0,14,353345,137,137,3,58,350952,0
1,0,140,16574,221,221,3,137,14088,1
0,0,159,3713,283,283,1,96,2106,0
1,0,14,44770,25,25,3,50,42977,1
0,0,2,3597,233,233,0,139,1834,0
1,0,103,5794,134,134,3,122,3014,0
0,1,0,655728,167,167,0,18,653962,0
0,0,135,33262,308,308,0,44,31331,1
0,0,55,791878,120,120,0,37,790079,0
1,0,176,760085,242,242,3,33,757590,0
0,0,128,1852491,172,172,0,54,1847980,0
1,0,179,130785,103,103,3,20,128263,0
