Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,654188,50,3,1,650496,0
1,1056376,79,3,1,1052489,0
1,243279,49,3,1,239581,1
0,68272,3,1,0,58754,0
1,429433,58,3,1,427442,0
1,350186,25,3,1,346785,1
0,66842,1,1,0,57327,0
1,335949,40,3,1,332707,0
0,681513,77,2,0,680680,0
1,12430,54,3,1,10808,0
1,788786,11,3,1,784983,1
1,515535,64,3,1,511714,0
0,13686177,101,1,0,13681198,0
1,213136,65,3,1,209912,0
1,523896,82,3,1,520486,1
0,683957,10,2,0,682659,0
1,11747,61,3,1,8811,1
0,13341943,99,2,0,13338355,0
1,75404,51,3,1,71586,1
1,142018,87,3,1,138758,0
0,5300473,98,1,0,5299394,0
0,15212101,100,2,0,15211018,0
0,691157,94,1,0,690288,0
1,259348,92,3,1,255518,0
1,49886,73,3,1,46212,1
1,605221,44,3,1,603080,0
1,4154,14,3,1,495,1
0,66669,0,1,0,58960,0
1,608315,31,3,1,604602,1
0,1167562,7,1,0,1158722,0
0,682808,76,1,0,681615,0
1,1372594,32,3,1,1368890,0
1,300213,42,3,1,298375,0
1,337613,96,3,1,336009,1
1,45188,12,3,1,41949,1
1,581064,63,3,1,577246,0
1,44223,88,3,1,37483,0
1,602157,19,3,1,598276,0
1,1448442,37,3,1,1444648,0
1,469174,16,3,1,465341,0
1,458499,81,3,1,454699,1
1,1065895,84,3,1,1062773,0
1,5940,29,3,1,2119,1
1,11129,46,3,1,7485,1
1,469188,89,3,1,465982,0
1,430849,57,3,1,429539,0
1,1515,26,3,1,1,1
0,3249490,5,1,0,3247895,1
1,605437,62,3,1,602729,1
1,250445,43,3,1,248646,0
1,1109524,75,3,1,1105571,1
1,22025,17,3,1,18780,1
1,89728,24,3,1,86798,1
1,1359008,38,3,1,1356018,0
1,2438,52,3,1,6,1
1,1560,55,3,1,1,0
1,1219117,102,3,1,1216267,0
1,377243,97,3,1,373542,1
1,8619,78,3,1,6454,1
1,24589,80,3,1,20873,1
1,7843,41,3,1,4586,1
1,1054897,56,3,1,1051832,0
0,8248,8,1,0,38,1
1,1708705,70,3,1,1705583,1
1,26933,85,3,1,23172,1
1,3051,9,3,1,1,0
1,337509,68,3,1,335044,0
1,233680,59,3,1,230456,1
1,65270,53,3,1,61929,1
1,296568,95,3,1,292768,1
1,66045,91,3,1,62704,1
1,37473,47,3,1,33883,1
1,80768,60,3,1,77490,1
1,506172,33,3,1,503089,1
1,507690,35,3,1,504439,0
1,74860,86,3,1,71606,1
1,280505,28,3,1,278556,1
0,680050,93,2,0,678353,0
1,22348,45,3,1,18539,1
1,248545,69,3,1,245762,0
1,643039,71,3,1,641519,0
1,2692,72,3,1,2,0
0,1413533,6,1,0,1404693,0
1,587652,30,3,1,583996,1
1,43248,34,3,1,39526,1
0,3247776,4,1,0,3246661,1
1,247107,66,3,1,243913,0
1,7274,20,3,1,4287,1
1,4357,15,3,1,527,1
1,1671383,23,3,1,1667499,1
1,10865,74,3,1,9594,1
1,31420,90,3,1,29030,1
1,1529406,67,3,1,1525576,1
1,1287934,36,3,1,1284098,1
0,68055,2,1,0,58540,0
0,6687,13,0,0,6370,1
1,250771,48,3,1,246869,1
1,956510,83,3,1,952710,1
1,19296,39,3,1,16819,0
1,444498,22,3,1,440737,1
1,1690,21,3,1,2,0
1,446032,27,3,1,442286,1
1,8539,18,3,1,4712,0
