GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,0,31,3,7,17,1,17,76
0,0,0,85,5,36,64,1,17,61
1,0,0,69,3,54,31,1,15,3
1,0,0,28,3,26,37,1,27,58
0,0,1,68,4,84,85,0,17,37
0,0,1,30,4,81,48,0,15,47
0,0,1,83,4,75,41,0,15,38
1,0,1,41,4,82,10,0,2,64
1,0,0,67,3,17,47,1,9,54
1,0,1,0,4,86,13,0,15,47
1,2,0,55,3,18,34,1,3,24
1,0,0,73,3,65,39,1,0,4
1,0,0,46,3,34,22,1,15,71
1,0,0,56,3,38,76,1,8,79
1,0,1,59,4,44,2,0,13,26
0,0,1,70,4,80,51,0,15,47
0,0,1,39,4,78,81,0,7,35
0,0,1,6,4,2,71,0,14,66
0,0,0,14,4,57,73,1,17,31
1,0,0,17,3,62,27,1,23,15
1,0,0,12,3,23,6,1,6,75
1,0,1,80,4,77,18,0,10,69
0,0,1,18,4,12,57,0,1,59
1,0,0,79,3,53,19,1,15,73
0,0,1,43,4,47,74,0,9,43
0,0,0,9,7,64,83,1,6,32
1,0,0,51,3,42,35,1,9,17
0,0,1,66,4,27,85,0,0,60
0,0,1,44,4,35,56,0,25,55
1,0,0,48,3,15,33,1,9,68
0,0,1,4,4,0,26,0,14,0
0,0,1,78,4,45,53,0,17,29
0,0,1,64,4,21,66,0,9,44
1,0,0,40,3,13,4,1,1,23
1,1,0,24,3,41,84,1,22,1
0,0,1,52,4,9,42,0,20,47
1,0,0,49,3,50,8,1,3,11
1,0,0,63,3,79,38,1,18,47
0,0,1,75,4,85,63,0,17,47
1,0,0,37,3,48,20,1,11,9
1,1,0,15,3,73,77,1,4,65
0,0,1,7,4,4,1,0,5,25
1,0,0,2,3,46,21,1,22,74
0,0,1,32,4,6,44,0,4,22
0,0,1,29,4,67,80,0,7,18
0,0,0,5,1,37,59,1,14,52
0,0,1,57,4,29,43,0,15,72
0,0,1,11,4,68,49,0,1,41
1,0,0,38,3,31,25,1,5,77
1,0,0,22,3,22,28,1,15,49
0,0,1,42,4,76,62,0,10,80
1,0,0,35,3,86,7,1,15,47
0,0,1,66,4,59,60,0,13,39
1,0,1,74,4,60,75,0,26,5
0,0,1,19,4,74,45,0,11,40
0,0,1,25,4,56,85,0,24,36
1,0,0,45,3,72,30,1,12,14
1,0,0,53,3,39,11,1,13,20
1,0,0,82,3,19,32,1,17,47
0,0,1,58,4,15,68,0,17,53
1,0,0,47,3,55,14,1,26,12
0,0,1,65,4,52,85,0,17,42
1,0,0,77,3,49,12,1,9,8
0,0,1,20,4,40,70,0,5,48
1,0,0,62,3,70,24,1,8,6
1,0,0,60,3,71,29,1,26,2
0,0,1,71,4,28,54,0,13,70
1,0,0,3,3,1,15,1,14,50
1,0,0,61,3,69,5,1,14,10
0,0,1,54,4,24,69,0,25,45
1,0,0,13,3,43,78,1,7,63
1,0,0,27,0,10,23,1,11,78
1,0,0,23,3,5,16,1,2,19
1,1,0,16,3,14,79,1,2,16
1,0,0,36,3,30,3,1,10,27
0,0,1,32,4,20,40,0,3,46
0,0,1,34,4,25,72,0,21,57
0,0,1,42,4,8,61,0,17,56
0,0,1,81,4,83,65,0,0,33
0,0,1,33,4,66,52,0,8,47
0,0,0,50,2,63,46,1,26,34
1,0,0,8,3,51,0,1,11,7
1,0,0,76,3,61,9,1,10,13
0,0,1,84,4,33,50,0,15,30
0,0,1,10,4,32,55,0,19,51
1,0,0,1,6,58,82,1,16,67
0,0,1,72,4,16,67,0,9,62
1,0,1,21,4,11,36,0,15,28
0,0,1,26,4,3,58,0,26,21
