GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,BIOGRAPHICAL_NOTE,FIRST_NAME,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE,VIETNAMESE_MIDDLE_NAME
1,0,0,31,11,3,7,31,17,17,75,1
0,0,1,79,11,4,44,13,53,17,29,0
1,0,0,69,11,3,53,38,31,15,3,1
1,0,0,28,11,3,27,33,37,27,59,1
0,0,1,42,11,4,75,76,62,10,79,0
0,0,1,46,11,4,80,71,42,3,48,0
0,0,1,84,11,4,74,75,41,15,39,0
1,0,1,41,11,4,82,47,10,2,64,0
1,0,0,67,10,3,17,17,47,9,56,1
1,0,1,0,9,4,86,1,13,15,48,0
1,2,0,55,11,3,18,27,34,3,24,1
1,0,0,73,11,3,64,58,39,0,4,1
1,0,0,45,11,3,34,41,22,15,71,1
1,0,0,56,11,3,36,30,76,8,78,1
1,0,1,59,11,4,43,43,2,13,26,0
0,0,1,70,11,4,79,11,51,15,48,0
0,0,1,39,13,4,77,77,81,7,36,0
0,0,1,6,11,4,2,83,71,14,66,0
0,0,0,14,11,4,56,62,73,17,31,1
1,0,0,17,4,3,61,46,27,23,15,1
1,0,0,12,3,3,24,42,6,6,74,1
1,0,1,81,11,4,76,16,18,10,69,0
0,0,1,18,11,4,12,84,57,1,60,0
1,0,0,80,11,3,52,28,19,15,72,1
0,0,1,43,11,4,46,82,74,9,44,0
0,0,0,9,13,6,63,15,83,6,32,1
1,0,0,51,11,3,41,52,35,9,17,1
0,0,1,66,11,4,28,8,85,0,61,0
0,0,1,54,11,4,25,6,69,25,46,0
1,0,0,48,11,3,15,20,33,9,68,1
0,0,1,4,11,4,0,60,26,14,0,0
0,0,1,11,11,4,67,9,49,1,42,0
0,0,1,71,11,4,29,64,54,13,70,0
1,0,0,40,11,3,13,49,4,1,23,1
1,1,0,24,11,3,39,48,84,22,1,1
0,0,1,33,11,4,65,72,52,8,48,0
1,0,0,49,7,3,49,36,8,3,11,1
1,0,0,63,11,3,78,45,38,18,48,1
0,0,1,75,11,4,85,61,63,17,48,0
1,0,0,37,11,3,47,22,20,11,9,1
1,1,0,15,15,3,72,44,77,4,65,1
0,0,1,7,11,4,4,66,1,5,25,0
1,0,0,2,0,3,45,32,21,22,73,1
0,0,1,32,11,4,6,73,44,4,22,0
0,0,1,29,12,4,66,85,80,7,18,0
0,0,0,5,11,1,35,12,59,14,54,1
0,0,1,58,11,4,15,63,68,17,55,0
0,0,1,32,11,4,21,69,40,3,47,0
1,0,0,38,11,3,31,26,25,5,76,1
1,0,0,22,6,3,23,53,28,15,50,1
0,0,1,52,11,4,9,4,43,20,48,0
1,0,0,35,11,3,86,23,7,15,48,1
0,0,1,66,11,4,58,65,60,13,40,0
1,0,1,74,11,4,59,24,75,26,5,0
0,0,1,19,11,4,73,87,45,11,41,0
0,0,1,25,11,4,55,5,85,24,37,0
1,0,0,44,11,3,71,50,30,12,14,1
1,0,0,53,11,3,37,35,11,13,20,1
1,0,0,83,11,3,20,34,32,17,48,1
0,0,1,64,11,4,22,80,65,9,45,0
1,0,0,47,11,3,54,21,14,26,12,1
0,0,1,65,11,4,51,70,85,17,43,0
1,0,0,78,11,3,48,37,12,9,8,1
0,0,1,20,11,4,38,86,70,5,49,0
1,0,0,62,11,3,69,57,24,8,6,1
1,0,0,60,11,3,70,55,29,26,2,1
0,0,1,72,11,4,16,0,66,9,62,0
1,0,0,3,1,3,1,25,15,14,52,1
1,0,0,61,11,3,68,54,5,14,10,1
0,0,1,57,11,4,19,68,67,9,51,0
1,0,0,13,16,3,42,40,78,7,63,1
1,0,0,27,11,0,10,19,23,11,77,1
1,0,0,23,11,3,5,51,16,2,19,1
1,1,0,16,8,3,14,17,79,2,16,1
1,0,0,36,11,3,30,29,3,10,27,1
0,0,1,82,11,4,83,78,64,0,33,0
0,0,1,34,11,4,26,2,72,21,58,0
0,0,1,42,11,4,8,81,61,17,57,0
0,0,1,68,11,4,84,7,85,17,38,0
0,0,1,30,11,4,81,67,48,15,48,0
0,0,0,50,11,2,62,14,46,26,34,1
1,0,0,8,2,3,50,39,0,11,7,1
1,0,0,76,11,3,60,18,9,10,13,1
0,0,1,85,11,4,33,74,50,15,30,0
0,0,1,10,11,4,32,79,56,19,53,0
1,0,0,1,14,5,57,59,82,16,67,1
0,0,1,77,11,4,40,10,55,13,35,0
1,0,1,21,5,4,11,56,36,15,28,0
0,0,1,26,11,4,3,3,58,26,21,0
