Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,301826,242,2,0,299487
1,0,125132,82,2,0,122370
0,0,387675,28,1,1,385183
0,0,736453,80,3,0,733583
1,1,190552,81,2,0,188093
1,0,1516533,43,2,0,1514173
0,0,476728,160,2,0,474101
1,0,54199,31,2,0,51578
1,0,988200,208,2,0,985546
1,0,1062895,233,2,0,1060310
0,0,246580,88,2,0,243767
0,0,758419,46,2,0,756089
0,0,488327,204,3,0,485541
0,0,322020,236,1,1,319249
0,0,33755,25,2,0,30969
1,0,423886,68,2,0,421607
1,0,993191,44,2,0,990858
1,0,1150558,194,1,1,1147775
0,0,1152306,222,2,0,1149583
0,0,1161129,167,2,0,1158613
1,0,32977,216,1,1,30248
1,0,33431,24,2,0,30843
1,0,504459,247,2,0,501763
1,0,1757922,190,2,0,1755496
0,0,553480,175,3,0,550610
0,0,16153,29,2,0,13502
0,0,355891,244,2,0,353552
0,0,309384,109,2,0,306937
0,0,25495,52,2,0,22811
1,0,8691,197,2,0,6085
0,0,200907,151,2,0,198367
1,0,15222,213,2,0,12538
0,0,867065,115,2,0,864531
1,0,1966199,102,2,0,1963551
0,0,557682,143,2,0,555076
0,0,1024944,232,2,0,1022305
0,0,556640,254,2,0,553878
0,0,1176004,166,2,0,1173581
1,0,156435,33,3,0,153649
1,0,447956,178,2,0,445458
0,0,735391,127,2,0,733043
0,0,1102343,226,2,0,1099539
0,0,1314205,91,2,0,1311887
1,0,1034195,210,2,0,1031508
1,0,650434,39,3,0,647633
1,0,1800605,107,2,0,1797939
0,0,187941,231,2,0,185287
0,0,17633,20,1,1,14982
0,0,4209,120,2,0,1423
0,0,198843,126,2,0,196225
0,0,1065877,200,2,0,1063010
0,0,432191,134,2,0,429708
0,0,536061,258,2,0,533287
1,0,568671,174,2,0,566338
0,0,1123469,221,1,1,1120611
0,0,443238,158,2,0,440629
0,0,422008,202,2,0,419294
1,0,125047,38,2,0,122324
1,0,50888,153,2,0,48174
0,0,107074,256,1,1,104540
0,0,622377,41,2,0,620053
0,0,404953,162,2,0,402317
1,0,352788,251,2,0,350182
0,0,185153,22,2,0,182502
0,0,389747,165,1,1,387120
1,0,373899,27,2,0,371611
0,0,475012,141,2,0,472298
0,0,7162,18,2,0,4697
0,0,378614,164,2,0,375975
1,0,23290,218,2,0,20606
0,0,9867,62,2,0,7462
0,0,473501,203,3,0,470631
0,0,1713823,7,2,0,1711409
0,0,381075,237,2,0,378301
0,0,14845,49,3,0,11996
0,0,8092,214,2,0,5759
1,0,13979,199,1,1,11352
0,0,1053239,111,2,0,1050549
0,0,15062,87,2,0,12438
1,0,1100880,196,1,1,1098211
1,0,8115,173,3,0,5269
1,0,379418,171,2,0,376740
1,0,2047179,186,2,0,2044399
1,0,665447,75,3,0,662586
0,0,519004,253,2,0,516413
