Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,1097,13,7,0,1
1,0,30308,54,6,0,27168
1,0,81368,21,2,1,80808
0,0,763,10,1,0,5
0,0,703218,19,8,0,701626
1,0,5286,81,2,1,4336
1,0,93861,100,2,1,92599
0,0,716461,50,6,0,713525
0,0,581462,112,5,0,578019
0,0,213521,149,2,1,212382
0,0,38881,133,2,1,36347
0,0,302755,62,8,0,301802
1,0,83014,122,8,0,81473
1,0,720,141,8,0,1
0,0,666404,22,8,0,665952
1,0,30302,0,2,1,29316
1,0,5807,131,2,1,3882
1,0,140526,98,7,0,137425
0,0,9728,43,6,0,6585
0,0,12029,48,8,0,11478
1,0,6579,69,2,1,5257
1,0,4234,77,2,1,3116
0,0,100844,35,7,0,99663
1,1,54155,60,6,0,50976
0,0,929052,124,2,1,925927
1,0,4123,89,5,0,1628
0,0,297517,80,6,0,294389
0,0,8113,66,2,1,5945
1,0,4229,138,6,0,1371
1,0,35758,6,7,0,35156
0,0,1206,16,8,0,1
0,0,789292,96,2,1,788021
1,0,53098,127,2,1,49949
1,0,99066,113,2,1,97825
0,0,506906,101,0,0,503742
0,0,1289,11,8,0,3
1,0,546,143,8,0,1
1,0,383983,5,2,1,383429
1,0,37772,136,6,0,34755
1,0,57661,45,2,1,55166
0,0,642289,108,6,0,639173
0,0,8781,28,2,1,5653
0,0,599,1,7,0,3
0,0,201983,147,2,1,197949
1,0,341238,29,2,1,338959
0,0,227216,78,8,0,225387
0,0,5181,105,2,1,4192
1,0,99079,55,2,1,97820
1,0,43791,73,6,0,40663
1,0,46653,87,2,1,44743
0,0,521345,25,6,0,518232
1,0,81855,146,6,0,78709
1,0,96937,121,2,1,96035
0,0,1771,20,8,0,5
0,0,9252,128,8,0,7177
1,0,1005,18,8,0,1
0,0,573456,49,2,1,572590
1,0,552643,118,2,1,550361
0,0,1017672,51,2,1,1015075
1,0,1291,14,8,0,11
1,0,55385,130,6,0,52233
0,0,6751,106,2,1,5450
1,0,3425,119,2,1,855
1,0,68231,99,6,0,65097
0,0,750258,9,7,0,748432
1,0,201286,39,2,1,199007
0,0,313484,153,6,0,310344
1,0,13944,64,5,0,11467
1,0,118859,97,2,1,115842
0,0,116617,57,6,0,113450
1,0,1126783,132,5,0,1124243
1,0,4790,125,6,0,1644
0,0,304,129,7,0,2
1,0,33235,7,8,0,30782
1,0,19635,115,6,0,16504
1,0,40231,111,7,0,38468
1,0,704,15,3,0,18
0,0,701522,72,2,1,698580
1,0,33620,86,6,0,30504
0,0,673825,83,2,1,670661
0,0,782421,65,2,1,781378
0,0,100486,56,2,1,98009
0,0,632799,52,6,0,629461
0,0,559272,82,6,0,556483
1,0,4270,38,5,0,1799
0,0,673601,75,2,1,670680
0,0,429068,84,6,0,425925
1,0,484,140,8,0,2
1,0,7065,71,2,1,6076
0,0,532553,154,2,1,531252
1,0,28960,2,2,1,27503
1,0,1651,94,2,1,830
0,0,307836,152,8,0,304756
0,0,1330,12,8,0,2
0,0,492209,24,2,1,489726
0,0,704396,17,8,0,703461
0,0,225838,92,6,0,222980
1,0,24175,40,6,0,21059
0,0,1482,107,2,1,1
0,0,3560,33,2,1,861
1,0,40333,120,6,0,37199
0,0,296392,26,6,0,293633
0,0,694715,135,2,1,691713
0,0,212280,148,8,0,211864
0,0,232598,155,2,1,230508
1,0,52289,85,6,0,48939
0,0,796646,63,2,1,794730
0,0,762911,104,2,1,760413
0,0,1815,93,2,1,1
1,0,11460,144,7,0,9091
0,0,767496,95,2,1,766105
1,0,341160,156,2,1,338881
0,0,135805,157,6,0,132644
0,0,458580,59,2,1,455587
1,0,2735,79,2,1,246
1,0,4884,53,2,1,1753
0,0,562767,61,6,0,559651
0,0,720169,30,6,0,717008
1,0,11360,91,6,0,8184
0,0,1011,8,8,0,1
0,0,7732,68,6,0,4595
0,0,696,116,7,0,1
1,0,153763,103,5,0,151067
0,0,329442,67,7,0,326975
1,0,5115,58,5,0,2545
0,0,315827,126,6,0,312663
1,0,36371,142,2,1,34218
0,0,326955,34,6,0,323962
1,0,6322,47,6,0,3197
0,0,772874,150,6,0,769737
1,0,74545,151,2,1,72053
0,0,220362,117,5,0,217744
1,0,40751,44,2,1,38379
1,0,5438,139,7,0,3198
1,0,8449,123,6,0,5315
0,0,99546,110,2,1,97369
0,0,11809,41,2,1,9641
0,0,8362,134,2,1,5834
1,0,96112,114,6,0,92984
1,0,7840,70,2,1,6842
1,0,16287,37,2,1,13156
1,0,371763,4,9,1,371065
1,0,3141,90,7,0,982
1,0,5564,42,2,1,2433
0,0,567659,27,1,0,567123
0,0,634208,32,8,0,633441
1,0,34862,88,1,0,34431
0,0,742903,102,2,1,741965
1,0,11203,46,2,1,8075
0,0,12199,145,2,1,10430
0,0,638513,74,2,1,636579
1,0,2165,137,7,0,1
0,0,676357,31,2,1,675068
1,0,46094,76,5,0,43491
1,0,301337,23,2,1,298548
1,0,48145,3,4,0,47690
1,0,11508,109,5,0,8902
0,0,1015710,36,6,0,1014604
