GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1831592,66,0,0,0,1830638,1
0,2175621,227,0,0,9,2174909,0
0,1951267,179,0,0,6,1950308,0
1,2005679,74,1,1,0,2004696,1
0,566514,18,0,0,0,565550,1
0,738624,27,0,0,0,737919,0
0,1771461,163,0,0,4,1770454,0
0,2196287,229,0,0,9,2195330,0
0,2659219,246,0,0,12,2658195,0
1,1528688,54,1,1,0,1527763,1
0,1190403,142,0,0,2,1189413,0
0,3189315,109,0,0,0,3188324,0
0,1234677,137,0,0,1,1233707,1
1,2741232,209,1,1,7,2740189,0
0,3374873,112,0,0,0,3373889,0
0,81446,173,0,0,6,80444,1
0,2247622,80,0,0,0,2246622,0
1,2958958,256,1,1,12,2958174,0
0,3411054,113,0,0,0,3410011,0
1,2126124,78,1,1,0,2125348,0
0,854400,33,0,0,0,853408,0
0,130190,234,0,0,10,129258,1
0,148899,264,0,0,13,147857,1
0,1314686,149,0,0,2,1313668,0
1,914773,35,1,1,0,913902,0
0,3114291,107,0,0,0,3113458,0
0,1364183,140,0,0,1,1363335,0
0,1786847,65,0,0,0,1785821,1
1,2604343,243,1,1,12,2603401,0
0,505712,16,0,0,0,504731,1
0,240684,6,0,0,0,239723,0
0,117913,233,0,0,10,116867,1
0,2700655,208,0,0,7,2699685,0
0,2731623,92,0,0,0,2730656,0
0,845231,32,0,0,0,844259,0
0,705383,25,0,0,0,704423,0
1,2960312,100,1,1,0,2959559,1
1,292637,159,1,1,4,291670,1
0,1742526,63,0,0,0,1741561,1
0,69437,172,0,0,6,68407,1
0,312759,8,0,0,0,311723,0
0,89815,220,0,0,9,88823,0
0,61311,231,0,0,10,60333,1
0,2294782,82,0,0,0,2293787,0
0,1782786,164,0,0,4,1781826,0
0,1158170,44,0,0,0,1157129,1
0,2579902,242,0,0,12,2578929,0
0,3008310,103,0,0,0,3007265,1
1,407514,11,1,1,0,406664,0
0,127076,191,0,0,7,126066,1
1,155111,217,1,1,8,154099,1
0,3615342,120,0,0,0,3614358,1
0,3958204,132,0,0,0,3957431,1
0,1951701,71,0,0,0,1950744,1
0,2751961,210,0,0,7,2751003,0
0,605384,19,0,0,0,604369,1
0,196073,194,0,0,7,195096,1
0,65837,260,0,0,13,64781,1
0,1261944,146,0,0,2,1260960,0
0,632947,22,0,0,0,631997,0
0,232090,195,0,0,7,231104,1
0,2708277,91,0,0,0,2707301,1
0,2012514,75,0,0,0,2011537,1
0,2663503,207,0,0,7,2662569,0
0,2825953,94,0,0,0,2825009,1
0,2886495,95,0,0,0,2885569,0
0,2885211,252,0,0,12,2884260,0
0,1989967,73,0,0,0,1988968,1
0,727451,26,0,0,0,726416,0
0,1043987,41,0,0,0,1043027,1
0,2950391,255,0,0,12,2949454,0
0,1962233,72,0,0,0,1961243,1
1,621314,21,1,1,0,620361,0
0,1317363,139,0,0,1,1316438,0
0,3591099,119,0,0,0,3590238,1
0,42295,171,0,0,6,41246,1
0,2595178,85,0,0,0,2594197,1
1,2687685,90,1,1,0,2686888,1
0,1276401,147,0,0,2,1275562,0
1,2923780,97,1,1,0,2922814,1
1,2218428,230,1,1,9,2217492,0
0,132449,263,0,0,13,131407,1
0,278997,158,0,0,4,278392,1
0,2093905,225,0,0,9,2092884,0
0,143681,151,0,0,3,142743,1
0,96817,221,0,0,9,95832,0
0,3699200,123,0,0,0,3698199,1
0,1123510,43,0,0,0,1122552,1
0,2631052,245,0,0,12,2630098,0
0,2642245,206,0,0,7,2641489,0
1,1789660,165,1,1,4,1788675,0
0,3185796,108,0,0,0,3184809,0
0,2363219,200,0,0,7,2362256,0
0,162872,192,0,0,7,161859,1
0,3350446,111,0,0,0,3349469,0
1,320709,199,1,1,7,319707,0
1,250517,237,1,1,10,249557,1
1,1894910,177,1,1,6,1894237,0
0,1725242,161,0,0,4,1724254,0
1,8035,152,1,1,4,7042,1
1,311627,160,1,1,4,310667,1
0,1287410,148,0,0,2,1286397,0
1,613465,20,1,1,0,612696,1
0,63052,3,0,0,0,62038,0
0,3232387,110,0,0,0,3231450,0
0,2083278,224,0,0,9,2082312,0
0,2922898,253,0,0,12,2921940,0
0,3422379,114,0,0,0,3421396,0
0,315605,267,0,0,13,314638,1
1,1302731,138,1,1,1,1301798,0
0,3626724,121,0,0,0,3625683,1
0,2153355,79,0,0,0,2152392,0
0,841681,31,0,0,0,840713,0
0,2534123,83,0,0,0,2533101,0
1,1661637,60,1,1,0,1660898,1
0,3087645,106,0,0,0,3086711,0
0,90623,189,0,0,7,89650,1
1,1975350,222,1,1,9,1974370,0
0,3821699,126,0,0,0,3820752,1
0,2000482,180,0,0,6,1999413,0
0,2410931,239,0,0,12,2409980,0
0,1253539,48,0,0,0,1252514,0
1,2191993,228,1,1,9,2191163,0
0,1925586,70,0,0,0,1924600,1
1,196537,176,1,1,6,195815,1
0,2580660,84,0,0,0,2579676,1
0,2037842,181,0,0,6,2036855,0
0,2023898,76,0,0,0,2022911,1
0,36053,153,0,0,4,35076,1
0,361388,10,0,0,0,360375,0
0,1029803,39,2,0,0,1028849,1
0,829945,30,0,0,0,828981,0
0,1819402,167,0,0,4,1818421,0
0,85503,136,0,0,1,84520,1
1,2500826,202,1,1,7,2499858,0
0,3771594,125,0,0,0,3770581,1
0,2052986,223,0,0,9,2051981,0
0,1550036,55,0,0,0,1549070,1
0,2811023,93,0,0,0,2810056,1
0,192905,265,0,0,13,191876,1
0,125184,174,0,0,6,124229,1
0,2402964,201,0,0,7,2401983,0
0,3538333,117,0,0,0,3537279,1
0,1190746,46,0,0,0,1189733,0
0,2625596,88,0,0,0,2624615,1
1,175684,5,1,1,0,174773,0
0,2611171,204,0,0,7,2610116,0
0,3943402,131,0,0,0,3942518,1
0,797603,28,0,0,0,796557,0
1,2620539,244,1,1,12,2619563,0
0,74070,135,0,0,1,73103,1
1,1719528,62,1,1,0,1718592,1
0,2929889,254,0,0,12,2928926,0
0,29762,1,0,0,0,28779,0
1,146994,175,1,1,6,146054,1
1,3832545,127,1,1,0,3831499,1
1,1944091,178,1,1,6,1943137,0
0,2943363,99,0,0,0,2942390,1
0,80570,188,0,0,7,79583,1
1,3864794,128,1,1,0,3863936,1
0,29305,219,0,0,9,28341,1
0,2787380,212,0,0,7,2786407,0
0,2987289,102,0,0,0,2986294,1
0,1858012,168,0,0,4,1857026,0
0,2901620,96,0,0,0,2900680,1
0,1036988,40,0,0,0,1036017,1
0,47733,215,0,0,8,46712,1
0,1842055,67,0,0,0,1841258,1
0,1242580,144,0,0,2,1241593,0
0,1410592,50,0,0,0,1409631,0
0,2991514,257,0,0,12,2990543,0
1,1609442,57,1,1,0,1608554,0
0,350270,9,0,0,0,349232,0
1,2866118,251,1,1,12,2865319,0
0,257930,196,0,0,7,256958,1
1,825304,169,1,1,5,824320,0
0,818515,29,0,0,0,817520,0
1,62075,134,1,1,1,61062,1
0,83058,232,0,0,10,82100,1
0,243795,236,0,0,10,242828,1
0,101259,4,0,0,0,100271,0
0,3501883,116,0,0,0,3500926,1
0,901672,34,0,0,0,900687,0
1,530848,17,1,1,0,529877,1
0,194080,157,0,0,4,193107,1
1,2164937,226,1,1,9,2163912,0
1,3565904,118,1,1,0,3564858,1
0,2729418,249,0,0,12,2728442,0
0,3997753,133,0,0,0,3996772,1
0,1856758,68,0,0,0,1855779,1
0,3907034,130,0,0,0,3906026,1
0,3675676,122,0,0,0,3674736,1
0,264759,7,0,0,0,263742,0
0,1896974,69,0,0,0,1895961,1
0,434763,13,0,0,0,433749,0
0,16637,150,0,0,3,15686,1
0,1169323,45,0,0,0,1168314,1
1,188127,193,1,1,7,187156,1
1,1104725,42,0,1,0,1103973,1
0,59985,216,0,0,8,58996,1
1,3129,141,1,1,2,2111,1
0,2571118,241,0,0,12,2570141,0
0,2630816,205,0,0,7,2629838,0
0,2768159,211,0,0,7,2767187,0
1,2075234,182,1,1,6,2074416,0
0,77248,261,0,0,13,76246,1
1,19593,238,1,1,11,18641,1
1,116363,190,1,1,7,115392,1
1,992940,37,1,1,0,992231,1
0,268646,197,0,0,7,267636,1
0,93901,155,0,0,4,93026,1
0,1227129,47,0,0,0,1226153,0
0,10066,218,0,0,9,9119,1
0,47279,186,0,0,7,46316,1
1,7609,0,1,1,0,6614,0
0,3035493,104,0,0,0,3034472,1
