google_knowledge_graph_id,edition_number,official_website,commons_category
18,76.0,10,10
12,74.0,2,8
12,74.0,2,8
5,66.0,0,6
9,30.0,1,1
6,72.0,3,7
16,75.0,10,9
13,5.0,0,1
11,8.0,0,1
8,105.0,11,4
7,10.0,6,2
15,4.0,0,1
15,4.0,0,1
13,5.0,0,1
6,72.0,3,7
2,51.0,7,1
1,80.0,4,0
3,104.0,5,3
15,4.0,0,1
13,5.0,0,1
1,80.0,4,0
0,6.0,0,1
16,75.0,10,9
11,8.0,0,1
15,4.0,0,1
0,6.0,0,1
14,54.0,8,1
0,6.0,0,1
3,104.0,5,3
5,66.0,0,6
2,51.0,7,1
4,7.0,0,1
11,8.0,0,1
17,109.0,0,5
7,10.0,6,2
10,40.0,9,1
17,109.0,0,5
0,6.0,0,1
8,105.0,11,4
18,76.0,10,10
1,80.0,4,0
14,54.0,8,1
5,66.0,0,6
11,8.0,0,1
8,105.0,11,4
14,54.0,8,1
4,7.0,0,1
