SportType,StageLabel,HostCountry,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,16,5,24.5,,20,12,0,9,13,12,15,3.0,11,9
1,21,6,680.0,173759.0,7,0,8,12,18,20,19,,6,15
1,17,5,228.0,,0,10,16,9,14,13,16,4.0,11,9
1,27,7,145.2,182094.0,1,10,17,14,21,19,24,2.0,5,17
1,4,7,614.3,111507.0,2,6,22,3,4,20,25,,14,15
1,5,4,1080.3,116985.0,14,1,23,6,9,20,4,,16,4
1,24,2,358.2,180627.0,15,5,13,15,22,20,20,,9,15
1,10,5,170.5,,6,8,3,5,8,4,9,3.0,2,9
1,13,0,179.1,139125.0,14,10,16,7,11,9,12,4.0,10,8
1,3,3,198.0,,11,10,2,1,2,2,3,3.0,1,9
1,20,5,188.6,149980.0,21,8,15,10,24,15,18,7.0,12,12
1,2,3,3395.5,,16,3,6,2,3,20,2,,4,3
1,7,0,150.0,116982.0,19,8,5,4,6,6,7,6.0,13,10
1,1,0,262.0,,17,4,1,0,1,1,1,,0,9
1,26,7,107.4,182093.0,1,10,7,14,20,18,25,1.0,5,17
1,0,8,191.0,,8,2,9,16,0,0,0,,7,15
1,25,0,660.8,181273.0,5,7,12,15,23,20,21,,8,2
1,6,4,13.2,116981.0,22,9,18,4,5,5,6,5.0,10,13
1,22,1,19.1,181655.0,18,9,14,13,19,16,22,4.0,15,16
1,19,5,198.0,149979.0,12,8,20,10,16,14,17,6.0,12,7
1,15,0,183.4,139128.0,19,8,11,7,24,11,14,7.0,12,11
1,12,4,9.6,139124.0,4,9,21,7,10,8,11,3.0,10,5
1,8,0,208.0,116983.0,24,8,23,4,24,7,8,7.0,16,14
1,11,4,1067.4,139129.0,23,1,20,8,15,20,5,,12,0
1,14,0,162.5,139126.0,10,8,10,7,12,10,13,5.0,13,6
1,18,4,1120.7,149981.0,3,1,20,11,17,20,10,,12,1
0,9,5,2.9,,13,11,4,5,7,3,25,0.0,3,9
1,23,1,199.1,181656.0,9,10,19,13,24,17,23,5.0,15,16
