Profession,ProfileImage,CqRankingFemaleCyclistId,BirthDate,CycleBaseCyclistId,OlympediaPeopleId,LastName,FirstName,FirstCyclingRiderId,EventsParticipated,CommonsCategory,BirthPlace,ProCyclingStatsCyclistId,UciRiderId,FreebaseId,CyclingArchivesCyclistId
0,5,6432.0,10,,,7,13,89420.0,5,14,1,174507,86854,2,76134
0,8,1986.0,1,37006.0,121890.0,9,2,89434.0,2,3,16,134509,60655,6,40699
0,3,5621.0,9,,144046.0,10,15,89448.0,5,16,13,162081,75244,1,68855
0,15,1428.0,4,33110.0,145139.0,9,12,89463.0,5,13,15,134537,44906,5,20370
0,2,1056.0,3,34235.0,123789.0,12,0,89433.0,0,0,7,139342,32706,7,13462
0,0,5105.0,8,47084.0,129827.0,11,3,89480.0,5,4,4,183754,71998,3,61154
0,14,9746.0,14,,,0,10,97208.0,5,11,10,196410,151523,12,162412
0,16,3470.0,2,37565.0,122234.0,9,4,89555.0,1,5,9,140894,69196,8,62449
0,11,4984.0,7,48800.0,130650.0,5,7,89745.0,2,8,14,139421,76149,9,52227
0,13,,15,70786.0,144041.0,1,9,89716.0,5,10,0,194671,111432,12,115477
0,6,10179.0,6,68098.0,140862.0,3,1,89882.0,4,1,3,198602,928703,12,125176
0,1,12143.0,16,73367.0,140604.0,2,14,96036.0,5,15,5,208200,552207,12,135637
0,4,17813.0,10,,,9,16,177299.0,6,17,6,270230,1183978,12,175119
0,17,3146.0,0,,136647.0,8,11,89431.0,7,12,12,138950,73424,10,62480
0,12,6608.0,12,55668.0,129144.0,4,8,89883.0,7,9,11,159347,73504,0,65492
0,10,5658.0,11,55286.0,142132.0,6,5,89554.0,3,6,2,168160,86838,4,82057
0,9,10413.0,13,68273.0,145459.0,13,6,93562.0,5,7,8,196374,151466,12,132429
0,7,2819.0,5,35840.0,131139.0,9,1,89403.0,2,2,17,139268,59726,11,34070
